well	carbon_source
blank_1	blank
blank_2	blank
blank_3	blank
blank_ST1	blank_ST
blank_ST2	blank_ST
blank_ST3	blank_ST
no_carb1	No substrate
no_carb2	No substrate
no_carb3	No substrate
Glc1	D-glucose (Glc)
Glc2	D-glucose (Glc)
Glc3	D-glucose (Glc)
Gal1	D-galactose (Gal)
Gal2	D-galactose (Gal)
Gal3	D-galactose (Gal)
Fru1	D-fructose (Fru)
Fru2	D-fructose (Fru)
Fru3	D-fructose (Fru)
Man1	D-mannose (Man)
Man2	D-mannose (Man)
Man3	D-mannose (Man)
Xyl1	D-xylose (Xyl)
Xyl2	D-xylose (Xyl)
Xyl3	D-xylose (Xyl)
Ara1	L-arabinose (Ara)
Ara2	L-arabinose (Ara)
Ara3	L-arabinose (Ara)
Rib1	D-ribose (Rib)
Rib2	D-ribose (Rib)
Rib3	D-ribose (Rib)
GlcNAc1	N-acetyl-D-glucosamine (GlcNAc)
GlcNAc2	N-acetyl-D-glucosamine (GlcNAc)
GlcNAc3	N-acetyl-D-glucosamine (GlcNAc)
GalNAc1	N-acetyl-D-galactosamine (GalNAc)
GalNAc2	N-acetyl-D-galactosamine (GalNAc)
GalNAc3	N-acetyl-D-galactosamine (GalNAc)
ManNAc1	N-acetyl-D-mannosamine (ManNAc)
ManNAc2	N-acetyl-D-mannosamine (ManNAc)
ManNAc3	N-acetyl-D-mannosamine (ManNAc)
Neu5Ac1	N-acetylneuraminic acid (Neu5Ac)
Neu5Ac2	N-acetylneuraminic acid (Neu5Ac)
Neu5Ac3	N-acetylneuraminic acid (Neu5Ac)
GlcA1	D-glucuronate (GlcA)
GlcA2	D-glucuronate (GlcA)
GlcA3	D-glucuronate (GlcA)
GalA1	D-galacturonate (GalA)
GalA2	D-galacturonate (GalA)
GalA3	D-galacturonate (GalA)
Gco1	D-gluconate (Gco)
Gco2	D-gluconate (Gco)
Gco3	D-gluconate (Gco)
Ino1	Myo-inositol (Ino)
Ino2	Myo-inositol (Ino)
Ino3	Myo-inositol (Ino)
Mtl1	D-mannitol (Mtl)
Mtl2	D-mannitol (Mtl)
Mtl3	D-mannitol (Mtl)
Stl1	D-sorbitol (Stl)
Stl2	D-sorbitol (Stl)
Stl3	D-sorbitol (Stl)
Mal1	Maltose (Mal)
Mal2	Maltose (Mal)
Mal3	Maltose (Mal)
MOS1	Maltotriose (MOS)
MOS2	Maltotriose (MOS)
MOS3	Maltotriose (MOS)
Pan1	Panose (IMO)
Pan2	Panose (IMO)
Pan3	Panose (IMO)
IMO1	Isomaltotriose (IMO)
IMO2	Isomaltotriose (IMO)
IMO3	Isomaltotriose (IMO)
Mlz1	Melezitose (Mlz)
Mlz2	Melezitose (Mlz)
Mlz3	Melezitose (Mlz)
Cld1	Cellobiose (BglOS)
Cld2	Cellobiose (BglOS)
Cld3	Cellobiose (BglOS)
Gen1	Gentiobiose (BglOS)
Gen2	Gentiobiose (BglOS)
Gen3	Gentiobiose (BglOS)
Lam1	Laminaritriose (BglOS)
Lam2	Laminaritriose (BglOS)
Lam3	Laminaritriose (BglOS)
Sop1	Sophorose (BglOS)
Sop2	Sophorose (BglOS)
Sop3	Sophorose (BglOS)
Mel1	Melibiose (Mel)
Mel2	Melibiose (Mel)
Mel3	Melibiose (Mel)
RFO1	Raffinose (RFO)
RFO2	Raffinose (RFO)
RFO3	Raffinose (RFO)
Lac1	Lactose (Lac)
Lac2	Lactose (Lac)
Lac3	Lactose (Lac)
Scr1	Sucrose (Scr)
Scr2	Sucrose (Scr)
Scr3	Sucrose (Scr)
scFOS1	Fructooligosaccharide DP=3 (scFOS)
scFOS2	Fructooligosaccharide DP=3 (scFOS)
scFOS3	Fructooligosaccharide DP=3 (scFOS)
lcFOS1	Chicory fructooligosaccharides (lcFOS)
lcFOS2	Chicory fructooligosaccharides (lcFOS)
lcFOS3	Chicory fructooligosaccharides (lcFOS)
bMnOS1	Mannotriose (bMnOS)
bMnOS2	Mannotriose (bMnOS)
bMnOS3	Mannotriose (bMnOS)
XOS1	Xylotriose (XOS)
XOS2	Xylotriose (XOS)
XOS3	Xylotriose (XOS)
aAOS1	Arabinotriose (aAOS)
aAOS2	Arabinotriose (aAOS)
aAOS3	Arabinotriose (aAOS)
LNT1	Lacto-N-tetraose (LNT)
LNT2	Lacto-N-tetraose (LNT)
LNT3	Lacto-N-tetraose (LNT)
LNnT1	Lacto-N-neotetraose (LNnT)
LNnT2	Lacto-N-neotetraose (LNnT)
LNnT3	Lacto-N-neotetraose (LNnT)
2FL1	2'-fucosyllactose (2'FL)
2FL2	2'-fucosyllactose (2'FL)
2FL3	2'-fucosyllactose (2'FL)
3SL1	3'-sialyllactose (SHMO)
3SL2	3'-sialyllactose (SHMO)
3SL3	3'-sialyllactose (SHMO)
6SL1	6'-sialyllactose (SHMO)
