time	blank_1	blank_2	blank_3	ATCC_1	ATCC_2	ATCC_3	Bg463_1	Bg463_2	Bg463_3	2D9_1	2D9_2	2D9_3	1C11_1	1C11_2	1C11_3
0	0.104	0.109	0.106	0.108	0.108	0.11	0.117	0.114	0.115	0.11	0.109	0.111	0.112	0.112	0.12
0.25	0.103	0.109	0.105	0.108	0.108	0.11	0.116	0.115	0.115	0.111	0.109	0.111	0.113	0.112	0.12
0.5	0.103	0.109	0.105	0.108	0.109	0.11	0.116	0.114	0.114	0.11	0.109	0.111	0.114	0.112	0.12
0.75	0.103	0.109	0.106	0.107	0.109	0.11	0.116	0.114	0.115	0.11	0.109	0.111	0.114	0.113	0.121
1	0.103	0.109	0.105	0.108	0.109	0.11	0.117	0.115	0.115	0.111	0.109	0.111	0.115	0.115	0.122
1.25	0.103	0.109	0.105	0.108	0.11	0.111	0.117	0.115	0.116	0.111	0.11	0.112	0.116	0.116	0.124
1.5	0.103	0.109	0.105	0.109	0.11	0.112	0.118	0.116	0.117	0.112	0.111	0.112	0.119	0.118	0.126
1.75	0.103	0.109	0.105	0.11	0.111	0.112	0.119	0.117	0.117	0.113	0.112	0.113	0.121	0.121	0.129
2	0.103	0.109	0.105	0.111	0.112	0.113	0.121	0.119	0.119	0.114	0.113	0.114	0.124	0.124	0.132
2.25	0.104	0.109	0.106	0.111	0.113	0.114	0.123	0.121	0.121	0.115	0.114	0.116	0.125	0.124	0.132
2.5	0.104	0.109	0.105	0.112	0.114	0.115	0.125	0.123	0.123	0.117	0.116	0.117	0.126	0.125	0.133
2.75	0.104	0.109	0.105	0.114	0.116	0.116	0.127	0.126	0.126	0.119	0.117	0.119	0.127	0.127	0.134
3	0.104	0.109	0.105	0.115	0.118	0.118	0.131	0.129	0.129	0.121	0.12	0.121	0.128	0.128	0.136
3.25	0.104	0.109	0.105	0.117	0.12	0.12	0.134	0.133	0.133	0.123	0.122	0.123	0.129	0.129	0.137
3.5	0.104	0.109	0.105	0.119	0.122	0.122	0.139	0.136	0.137	0.124	0.123	0.124	0.13	0.13	0.137
3.75	0.104	0.109	0.105	0.122	0.125	0.125	0.144	0.141	0.142	0.125	0.125	0.126	0.131	0.131	0.138
4	0.104	0.109	0.105	0.124	0.128	0.128	0.149	0.149	0.148	0.127	0.126	0.127	0.132	0.131	0.139
4.25	0.104	0.109	0.105	0.128	0.132	0.131	0.157	0.155	0.155	0.127	0.126	0.127	0.133	0.132	0.14
4.5	0.104	0.109	0.105	0.132	0.136	0.135	0.165	0.163	0.164	0.128	0.126	0.128	0.133	0.133	0.141
4.75	0.104	0.109	0.105	0.136	0.141	0.139	0.175	0.174	0.173	0.128	0.127	0.128	0.134	0.134	0.142
5	0.104	0.109	0.105	0.141	0.147	0.145	0.187	0.185	0.185	0.129	0.128	0.129	0.135	0.135	0.143
5.25	0.104	0.109	0.105	0.147	0.154	0.151	0.202	0.2	0.199	0.129	0.128	0.13	0.136	0.136	0.143
5.5	0.104	0.109	0.105	0.155	0.162	0.159	0.218	0.217	0.215	0.13	0.128	0.13	0.137	0.137	0.144
5.75	0.104	0.109	0.105	0.164	0.172	0.168	0.24	0.237	0.236	0.129	0.128	0.13	0.138	0.138	0.145
6	0.104	0.109	0.105	0.174	0.183	0.178	0.262	0.26	0.258	0.129	0.128	0.13	0.14	0.139	0.146
6.25	0.104	0.109	0.105	0.186	0.196	0.191	0.292	0.289	0.287	0.129	0.128	0.129	0.14	0.14	0.147
6.5	0.104	0.109	0.105	0.2	0.211	0.205	0.324	0.321	0.318	0.128	0.128	0.129	0.142	0.141	0.149
6.75	0.104	0.109	0.105	0.216	0.229	0.222	0.358	0.359	0.353	0.129	0.128	0.129	0.143	0.142	0.15
7	0.104	0.109	0.105	0.235	0.25	0.241	0.4	0.397	0.393	0.129	0.128	0.129	0.144	0.143	0.151
7.25	0.104	0.109	0.105	0.258	0.276	0.263	0.442	0.441	0.435	0.129	0.127	0.129	0.145	0.145	0.152
7.5	0.104	0.109	0.105	0.283	0.302	0.29	0.489	0.485	0.48	0.128	0.127	0.128	0.146	0.146	0.153
7.75	0.104	0.109	0.105	0.313	0.333	0.32	0.546	0.544	0.534	0.127	0.127	0.128	0.147	0.146	0.154
8	0.104	0.109	0.105	0.345	0.368	0.352	0.597	0.597	0.585	0.127	0.126	0.128	0.149	0.148	0.155
8.25	0.104	0.109	0.105	0.381	0.406	0.388	0.646	0.639	0.631	0.127	0.126	0.127	0.15	0.149	0.156
8.5	0.104	0.109	0.105	0.419	0.446	0.427	0.697	0.689	0.677	0.127	0.125	0.127	0.151	0.15	0.158
8.75	0.104	0.109	0.105	0.46	0.492	0.467	0.747	0.734	0.719	0.126	0.125	0.127	0.152	0.151	0.159
9	0.104	0.109	0.105	0.504	0.538	0.51	0.809	0.786	0.777	0.126	0.125	0.126	0.153	0.152	0.16
9.25	0.104	0.109	0.105	0.549	0.584	0.553	0.868	0.841	0.831	0.126	0.124	0.126	0.154	0.153	0.161
9.5	0.104	0.109	0.106	0.591	0.631	0.597	0.934	0.895	0.899	0.125	0.124	0.126	0.155	0.155	0.162
9.75	0.104	0.109	0.105	0.637	0.679	0.642	0.989	0.942	0.963	0.125	0.124	0.125	0.156	0.155	0.163
10	0.104	0.109	0.105	0.68	0.73	0.687	1.042	0.992	1.013	0.125	0.123	0.125	0.157	0.156	0.163
10.25	0.104	0.109	0.105	0.723	0.78	0.729	1.093	1.023	1.07	0.124	0.123	0.124	0.158	0.157	0.164
10.5	0.104	0.11	0.105	0.766	0.834	0.772	1.136	1.052	1.117	0.124	0.123	0.124	0.159	0.158	0.165
10.75	0.104	0.11	0.105	0.811	0.886	0.816	1.158	1.445	1.144	0.124	0.122	0.124	0.16	0.159	0.166
11	0.104	0.11	0.105	0.853	0.937	0.861	1.136	1.314	1.125	0.124	0.122	0.124	0.16	0.16	0.167
11.25	0.104	0.11	0.105	0.893	0.987	0.901	1.132	1.278	1.124	0.123	0.122	0.123	0.161	0.16	0.168
11.5	0.104	0.109	0.105	0.935	1.061	0.944	1.127	1.253	1.125	0.123	0.122	0.123	0.162	0.161	0.168
11.75	0.104	0.109	0.105	0.979	1.138	0.996	1.129	1.234	1.125	0.123	0.121	0.123	0.162	0.162	0.169
12	0.104	0.11	0.105	1.024	1.245	1.046	1.13	1.216	1.121	0.122	0.121	0.123	0.163	0.163	0.171
12.25	0.104	0.109	0.105	1.075	1.363	1.121	1.128	1.195	1.118	0.122	0.12	0.122	0.164	0.163	0.171
12.5	0.104	0.109	0.105	1.159	1.434	1.233	1.127	1.18	1.116	0.122	0.121	0.122	0.164	0.164	0.172
12.75	0.104	0.109	0.105	1.28	1.459	1.292	1.127	1.162	1.113	0.122	0.12	0.122	0.165	0.165	0.173
13	0.104	0.11	0.105	1.33	1.466	1.29	1.125	1.148	1.112	0.121	0.12	0.121	0.165	0.166	0.173
13.25	0.104	0.11	0.105	1.366	1.462	1.31	1.128	1.13	1.114	0.121	0.12	0.121	0.166	0.166	0.173
13.5	0.104	0.11	0.105	1.388	1.455	1.338	1.127	1.115	1.117	0.12	0.119	0.121	0.166	0.167	0.174
13.75	0.104	0.11	0.105	1.396	1.45	1.366	1.128	1.093	1.117	0.12	0.119	0.121	0.167	0.168	0.175
14	0.104	0.11	0.105	1.399	1.442	1.379	1.126	1.111	1.117	0.12	0.119	0.12	0.167	0.168	0.175
14.25	0.104	0.11	0.105	1.391	1.439	1.375	1.13	1.115	1.121	0.12	0.119	0.12	0.168	0.17	0.176
14.5	0.104	0.11	0.105	1.359	1.429	1.336	1.134	1.125	1.125	0.12	0.118	0.12	0.168	0.171	0.176
14.75	0.104	0.11	0.105	1.389	1.43	1.379	1.136	1.122	1.127	0.12	0.118	0.12	0.169	0.172	0.176
15	0.104	0.11	0.105	1.377	1.423	1.341	1.136	1.119	1.127	0.119	0.118	0.12	0.169	0.172	0.177
15.25	0.104	0.109	0.105	1.363	1.415	1.327	1.138	1.118	1.128	0.119	0.118	0.119	0.17	0.173	0.177
15.5	0.104	0.109	0.105	1.381	1.414	1.364	1.138	1.115	1.131	0.119	0.118	0.119	0.17	0.173	0.177
15.75	0.104	0.109	0.105	1.375	1.404	1.353	1.138	1.115	1.131	0.118	0.117	0.119	0.171	0.174	0.178
16	0.104	0.109	0.105	1.365	1.4	1.337	1.14	1.116	1.132	0.118	0.117	0.118	0.171	0.174	0.178
16.25	0.104	0.109	0.105	1.354	1.393	1.342	1.141	1.123	1.131	0.118	0.117	0.118	0.171	0.174	0.179
16.5	0.104	0.109	0.105	1.278	1.374	1.271	1.14	1.122	1.13	0.118	0.117	0.118	0.172	0.175	0.179
16.75	0.104	0.109	0.105	1.342	1.387	1.346	1.141	1.115	1.131	0.118	0.117	0.118	0.172	0.175	0.179
17	0.104	0.109	0.105	1.331	1.382	1.34	1.138	1.114	1.126	0.118	0.116	0.118	0.172	0.176	0.179
17.25	0.104	0.109	0.105	1.354	1.377	1.38	1.139	1.113	1.128	0.117	0.116	0.117	0.173	0.176	0.18
17.5	0.104	0.109	0.105	1.306	1.367	1.34	1.134	1.117	1.12	0.117	0.116	0.117	0.173	0.176	0.18
17.75	0.104	0.11	0.105	1.332	1.366	1.361	1.133	1.108	1.119	0.117	0.116	0.117	0.173	0.177	0.18
18	0.104	0.109	0.105	1.322	1.362	1.357	1.127	1.1	1.112	0.117	0.116	0.117	0.174	0.177	0.181
18.25	0.104	0.11	0.105	1.333	1.361	1.362	1.128	1.101	1.112	0.117	0.116	0.117	0.174	0.177	0.181
18.5	0.104	0.11	0.105	1.315	1.359	1.343	1.131	1.099	1.114	0.117	0.115	0.117	0.174	0.178	0.181
18.75	0.104	0.11	0.105	1.331	1.366	1.358	1.124	1.095	1.109	0.116	0.115	0.116	0.174	0.178	0.182
19	0.104	0.11	0.105	1.305	1.343	1.319	1.121	1.09	1.106	0.116	0.115	0.116	0.174	0.178	0.182
19.25	0.104	0.11	0.105	1.302	1.343	1.309	1.117	1.089	1.1	0.116	0.115	0.116	0.175	0.179	0.182
19.5	0.104	0.11	0.105	1.325	1.347	1.329	1.107	1.083	1.088	0.116	0.115	0.116	0.175	0.179	0.183
19.75	0.104	0.11	0.105	1.352	1.343	1.362	1.099	1.081	1.079	0.116	0.114	0.116	0.175	0.18	0.183
20	0.104	0.11	0.106	1.335	1.332	1.349	1.099	1.081	1.088	0.116	0.115	0.116	0.175	0.18	0.183
20.25	0.104	0.11	0.105	1.345	1.337	1.365	1.101	1.072	1.093	0.116	0.114	0.116	0.176	0.18	0.183
20.5	0.104	0.11	0.105	1.337	1.341	1.352	1.092	1.063	1.085	0.116	0.114	0.115	0.176	0.181	0.183
20.75	0.104	0.11	0.105	1.32	1.34	1.323	1.087	1.063	1.078	0.116	0.114	0.115	0.176	0.181	0.183
21	0.104	0.11	0.106	1.306	1.332	1.3	1.075	1.065	1.06	0.116	0.114	0.116	0.176	0.181	0.184
21.25	0.104	0.11	0.105	1.367	1.353	1.351	1.079	1.05	1.061	0.116	0.114	0.115	0.176	0.181	0.184
21.5	0.104	0.11	0.105	1.334	1.34	1.32	1.071	1.05	1.043	0.116	0.114	0.116	0.176	0.181	0.184
21.75	0.104	0.11	0.105	1.315	1.336	1.312	1.021	1.047	1.036	0.117	0.114	0.116	0.176	0.182	0.184
22	0.104	0.11	0.105	1.325	1.336	1.322	1.057	1.042	1.046	0.117	0.114	0.116	0.176	0.182	0.184
22.25	0.104	0.11	0.105	1.318	1.33	1.312	1.044	1.033	1.027	0.116	0.114	0.116	0.176	0.182	0.184
22.5	0.104	0.11	0.105	1.315	1.333	1.309	1.04	1.033	1.05	0.116	0.113	0.115	0.177	0.183	0.184
22.75	0.104	0.11	0.105	1.328	1.341	1.332	1.044	1.022	1.049	0.116	0.113	0.116	0.177	0.183	0.185
23	0.104	0.11	0.105	1.297	1.323	1.303	1.045	1.016	1.059	0.116	0.113	0.115	0.177	0.184	0.185
23.25	0.104	0.11	0.105	1.313	1.328	1.32	1.038	1.021	1.128	0.116	0.114	0.115	0.177	0.184	0.185
23.5	0.104	0.11	0.105	1.317	1.311	1.321	1.035	1.008	1.171	0.115	0.114	0.115	0.177	0.184	0.185
23.75	0.104	0.11	0.105	1.353	1.33	1.349	1.038	1.004	1.181	0.115	0.113	0.115	0.177	0.184	0.185
24	0.104	0.11	0.105	1.319	1.309	1.315	1.036	1.011	1.172	0.115	0.113	0.115	0.177	0.185	0.185
24.25	0.104	0.11	0.106	1.314	1.292	1.297	1.045	1.003	1.176	0.115	0.113	0.114	0.178	0.185	0.185
