time	blank_1	blank_2	blank_3	1C11_1	1C11_2	1C11_3	4F7_1	4F7_2	4F7_3	Bg463_1	Bg463_2	Bg463_3	LFYP81_1	LFYP81_2	LFYP81_3
0	0.104	0.109	0.106	0.122	0.112	0.112	0.116	0.116	0.128	0.113	0.111	0.113	0.109	0.113	0.112
0.25	0.103	0.109	0.105	0.122	0.112	0.112	0.116	0.117	0.127	0.113	0.111	0.113	0.111	0.113	0.113
0.5	0.103	0.109	0.105	0.123	0.112	0.113	0.116	0.116	0.127	0.114	0.112	0.114	0.11	0.112	0.113
0.75	0.103	0.109	0.106	0.123	0.113	0.114	0.117	0.117	0.129	0.114	0.113	0.115	0.11	0.113	0.112
1	0.103	0.109	0.105	0.124	0.115	0.115	0.119	0.119	0.131	0.115	0.114	0.116	0.111	0.114	0.113
1.25	0.103	0.109	0.105	0.126	0.116	0.117	0.121	0.122	0.133	0.117	0.115	0.117	0.111	0.114	0.113
1.5	0.103	0.109	0.105	0.128	0.118	0.119	0.124	0.125	0.136	0.118	0.116	0.118	0.112	0.115	0.115
1.75	0.103	0.109	0.105	0.13	0.121	0.122	0.127	0.128	0.14	0.119	0.117	0.12	0.113	0.117	0.115
2	0.103	0.109	0.105	0.133	0.124	0.124	0.13	0.131	0.142	0.121	0.119	0.122	0.114	0.118	0.117
2.25	0.104	0.109	0.106	0.134	0.124	0.125	0.132	0.132	0.144	0.123	0.121	0.124	0.115	0.119	0.118
2.5	0.104	0.109	0.105	0.134	0.125	0.126	0.133	0.134	0.145	0.125	0.123	0.126	0.116	0.12	0.119
2.75	0.104	0.109	0.105	0.135	0.126	0.126	0.134	0.135	0.146	0.125	0.123	0.126	0.117	0.121	0.12
3	0.104	0.109	0.105	0.136	0.126	0.127	0.136	0.136	0.148	0.126	0.123	0.126	0.118	0.121	0.12
3.25	0.104	0.109	0.105	0.136	0.126	0.127	0.137	0.137	0.15	0.126	0.124	0.127	0.118	0.121	0.121
3.5	0.104	0.109	0.105	0.137	0.127	0.128	0.139	0.139	0.151	0.127	0.125	0.128	0.118	0.122	0.12
3.75	0.104	0.109	0.105	0.137	0.127	0.128	0.141	0.141	0.153	0.128	0.126	0.129	0.118	0.121	0.121
4	0.104	0.109	0.105	0.137	0.127	0.128	0.145	0.144	0.156	0.129	0.127	0.13	0.118	0.121	0.12
4.25	0.104	0.109	0.105	0.137	0.127	0.128	0.148	0.149	0.159	0.131	0.128	0.131	0.118	0.121	0.12
4.5	0.104	0.109	0.105	0.137	0.127	0.128	0.153	0.153	0.164	0.132	0.13	0.133	0.118	0.121	0.12
4.75	0.104	0.109	0.105	0.137	0.127	0.128	0.159	0.159	0.17	0.134	0.132	0.135	0.118	0.121	0.12
5	0.104	0.109	0.105	0.137	0.127	0.128	0.165	0.165	0.176	0.138	0.134	0.137	0.118	0.121	0.12
5.25	0.104	0.109	0.105	0.137	0.127	0.128	0.172	0.172	0.183	0.143	0.137	0.14	0.117	0.121	0.12
5.5	0.104	0.109	0.105	0.137	0.127	0.128	0.181	0.18	0.191	0.147	0.143	0.143	0.117	0.121	0.12
5.75	0.104	0.109	0.105	0.137	0.127	0.128	0.19	0.19	0.199	0.151	0.151	0.152	0.117	0.121	0.12
6	0.104	0.109	0.105	0.137	0.127	0.128	0.201	0.201	0.209	0.162	0.156	0.157	0.117	0.121	0.12
6.25	0.104	0.109	0.105	0.137	0.127	0.128	0.213	0.212	0.22	0.169	0.162	0.163	0.117	0.121	0.12
6.5	0.104	0.109	0.105	0.137	0.127	0.128	0.226	0.225	0.233	0.176	0.169	0.169	0.117	0.121	0.119
6.75	0.104	0.109	0.105	0.137	0.127	0.128	0.24	0.239	0.247	0.185	0.177	0.177	0.117	0.12	0.119
7	0.104	0.109	0.105	0.137	0.127	0.128	0.257	0.255	0.262	0.194	0.186	0.185	0.117	0.12	0.119
7.25	0.104	0.109	0.105	0.137	0.127	0.128	0.274	0.272	0.279	0.206	0.197	0.196	0.116	0.12	0.119
7.5	0.104	0.109	0.105	0.137	0.127	0.128	0.292	0.289	0.295	0.22	0.209	0.207	0.116	0.12	0.119
7.75	0.104	0.109	0.105	0.137	0.127	0.128	0.31	0.309	0.313	0.233	0.226	0.226	0.116	0.12	0.119
8	0.104	0.109	0.105	0.137	0.127	0.128	0.33	0.329	0.332	0.253	0.24	0.239	0.116	0.12	0.119
8.25	0.104	0.109	0.105	0.137	0.127	0.128	0.35	0.349	0.352	0.269	0.255	0.254	0.116	0.119	0.118
8.5	0.104	0.109	0.105	0.137	0.127	0.128	0.37	0.369	0.372	0.287	0.271	0.269	0.116	0.12	0.118
8.75	0.104	0.109	0.105	0.137	0.127	0.128	0.391	0.389	0.393	0.304	0.286	0.285	0.116	0.12	0.118
9	0.104	0.109	0.105	0.137	0.127	0.128	0.41	0.409	0.412	0.323	0.303	0.301	0.116	0.119	0.118
9.25	0.104	0.109	0.105	0.137	0.127	0.128	0.431	0.428	0.432	0.341	0.32	0.319	0.115	0.119	0.118
9.5	0.104	0.109	0.106	0.137	0.127	0.128	0.449	0.448	0.45	0.359	0.339	0.335	0.115	0.119	0.118
9.75	0.104	0.109	0.105	0.137	0.127	0.128	0.467	0.465	0.468	0.381	0.354	0.352	0.115	0.119	0.118
10	0.104	0.109	0.105	0.137	0.127	0.128	0.483	0.482	0.485	0.397	0.37	0.371	0.115	0.119	0.118
10.25	0.104	0.109	0.105	0.137	0.127	0.128	0.499	0.498	0.506	0.413	0.384	0.385	0.115	0.119	0.118
10.5	0.104	0.11	0.105	0.137	0.127	0.128	0.514	0.514	0.521	0.428	0.397	0.399	0.115	0.118	0.118
10.75	0.104	0.11	0.105	0.137	0.127	0.128	0.528	0.528	0.536	0.443	0.41	0.412	0.115	0.119	0.117
11	0.104	0.11	0.105	0.137	0.127	0.128	0.545	0.542	0.551	0.457	0.422	0.425	0.115	0.118	0.117
11.25	0.104	0.11	0.105	0.137	0.127	0.128	0.556	0.554	0.564	0.468	0.434	0.436	0.115	0.118	0.118
11.5	0.104	0.109	0.105	0.137	0.127	0.128	0.568	0.571	0.579	0.48	0.444	0.451	0.115	0.119	0.117
11.75	0.104	0.109	0.105	0.137	0.127	0.128	0.579	0.582	0.599	0.494	0.454	0.46	0.115	0.118	0.117
12	0.104	0.11	0.105	0.137	0.127	0.128	0.592	0.595	0.616	0.504	0.463	0.47	0.115	0.118	0.117
12.25	0.104	0.109	0.105	0.137	0.127	0.128	0.603	0.609	0.636	0.514	0.471	0.481	0.115	0.118	0.117
12.5	0.104	0.109	0.105	0.137	0.128	0.128	0.615	0.621	0.649	0.524	0.48	0.49	0.115	0.118	0.117
12.75	0.104	0.109	0.105	0.137	0.127	0.128	0.627	0.638	0.664	0.534	0.488	0.499	0.115	0.118	0.117
13	0.104	0.11	0.105	0.137	0.127	0.128	0.637	0.65	0.679	0.543	0.496	0.508	0.115	0.118	0.117
13.25	0.104	0.11	0.105	0.137	0.127	0.128	0.648	0.662	0.692	0.553	0.504	0.517	0.115	0.118	0.117
13.5	0.104	0.11	0.105	0.137	0.127	0.128	0.658	0.673	0.703	0.562	0.511	0.525	0.114	0.118	0.117
13.75	0.104	0.11	0.105	0.137	0.127	0.128	0.667	0.684	0.713	0.57	0.517	0.532	0.115	0.118	0.117
14	0.104	0.11	0.105	0.136	0.127	0.128	0.677	0.695	0.724	0.58	0.523	0.54	0.115	0.118	0.117
14.25	0.104	0.11	0.105	0.136	0.127	0.128	0.689	0.705	0.737	0.586	0.53	0.548	0.114	0.118	0.117
14.5	0.104	0.11	0.105	0.136	0.127	0.128	0.702	0.718	0.746	0.595	0.537	0.555	0.115	0.118	0.117
14.75	0.104	0.11	0.105	0.136	0.127	0.128	0.71	0.727	0.757	0.602	0.542	0.561	0.115	0.118	0.117
15	0.104	0.11	0.105	0.136	0.127	0.128	0.714	0.735	0.765	0.608	0.547	0.568	0.115	0.118	0.117
15.25	0.104	0.109	0.105	0.136	0.127	0.128	0.72	0.743	0.773	0.615	0.553	0.576	0.115	0.118	0.117
15.5	0.104	0.109	0.105	0.136	0.127	0.128	0.728	0.754	0.783	0.623	0.559	0.584	0.115	0.118	0.117
15.75	0.104	0.109	0.105	0.136	0.127	0.128	0.737	0.762	0.79	0.63	0.565	0.592	0.115	0.118	0.117
16	0.104	0.109	0.105	0.136	0.127	0.128	0.742	0.768	0.805	0.635	0.57	0.598	0.115	0.118	0.117
16.25	0.104	0.109	0.105	0.136	0.126	0.127	0.746	0.773	0.813	0.641	0.575	0.606	0.115	0.119	0.117
16.5	0.104	0.109	0.105	0.136	0.127	0.127	0.752	0.779	0.819	0.646	0.582	0.613	0.116	0.119	0.118
16.75	0.104	0.109	0.105	0.136	0.126	0.127	0.758	0.787	0.825	0.652	0.588	0.62	0.116	0.119	0.118
17	0.104	0.109	0.105	0.136	0.126	0.127	0.764	0.794	0.834	0.658	0.593	0.626	0.116	0.12	0.118
17.25	0.104	0.109	0.105	0.135	0.126	0.127	0.77	0.8	0.84	0.663	0.598	0.632	0.117	0.12	0.118
17.5	0.104	0.109	0.105	0.135	0.126	0.127	0.774	0.805	0.846	0.668	0.602	0.638	0.117	0.121	0.119
17.75	0.104	0.11	0.105	0.135	0.126	0.127	0.78	0.819	0.855	0.674	0.606	0.643	0.118	0.121	0.119
18	0.104	0.109	0.105	0.135	0.126	0.127	0.782	0.821	0.86	0.678	0.61	0.65	0.118	0.122	0.12
18.25	0.104	0.11	0.105	0.135	0.126	0.127	0.787	0.825	0.866	0.682	0.613	0.654	0.119	0.123	0.121
18.5	0.104	0.11	0.105	0.135	0.126	0.127	0.792	0.831	0.871	0.686	0.617	0.66	0.12	0.123	0.122
