genome_ID	genome_name	curated_taxonomy	Glc	Gal	Rib	GlcNAc	Chb	GlcNAc6S	Fuc	Neu5Ac	ManNAc	LNB	LNT	LNnT	2'FL	3FL	LDFT	LNFPI	lcFHMO	SHMO	Nglyc	Ncore	GalNAc	GNB	Tan	Muc	Mal	MOS	ST	RST	PUL	IMO	Mlz	BglOS	BGL12	Mel	RFO	Lac	GOS	PG	AGII	GalAf	GA	Fru	Scr	scFOS	lcFOS	DFA	Man	bMnOS	GmOS	bMAN	Xyl	XOS	AXOS	XL	AX	Ara	aAOS	bAOS	AR	HRGP	XglOS	XGL	GlcA	GluA	GalA	Gco	Glt	Ino	Mtl	Stl	Asc	L-Xul	continent	country	non_westernized	microbiota_age_group
1035817.4	Bifidobacterium longum subsp. longum KACC 91563	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	0	0	0	0	0	0	0	0	1	1	0	0	Asia	South_Korea	no	child
1036735.3	Bifidobacterium breve CECT 7263	Bifidobacterium breve	1	1	1	1	0	1	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Spain	no	NA
1042403.4	Bifidobacterium animalis subsp. lactis CNCM I-2494	Bifidobacterium animalis subsp. lactis	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Europe	France	no	NA
1074482.3	Bifidobacterium breve DPC 6330	Bifidobacterium breve	1	1	1	1	0	0	1	1	0	1	1	1	0	0	0	0	0	0	1	0	0	1	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Europe	Ireland	no	adult
1150460.7	Bifidobacterium catenulatum subsp. kashiwanohense JCM 15439 = DSM 21854	Bifidobacterium catenulatum subsp. kashiwanohense	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	1	0	0	0	0	1	1	0	0	0	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	1	1	0	1	1	1	1	1	1	1	0	0	0	1	0	0	0	0	1	0	0	0	1	0	0	Asia	Japan	no	child
1150461.5	Bifidobacterium scardovii JCM 12489 = DSM 13734	Bifidobacterium scardovii	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	1	0	0	1	0	0	1	1	0	0	0	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	0	0	0	1	1	1	1	0	0	0	0	1	1	1	0	0	1	0	0	0	0	1	0	0	0	0	1	0	Europe	Sweden	no	adult
1161409.3	Bifidobacterium dentium MSTE12	Bifidobacterium dentium	1	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	0	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	1	1	1	1	1	1	0	0	1	1	1	0	0	1	1	0	0	0	1	0	0	1	0	0	0	North_America	US	no	adult
1161743.3	Bifidobacterium longum subsp. longum 44B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	North_America	US	no	NA
1161744.3	Bifidobacterium longum subsp. longum 1-6B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	1	1	0	0	0	1	0	0	0	1	1	1	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	North_America	US	no	NA
1161745.3	Bifidobacterium longum subsp. longum 2-2B	Bifidobacterium longum subsp. longum	1	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0	1	1	0	1	1	0	0	0	1	1	0	0	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	1	0	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	North_America	US	no	NA
