genome_ID	Glc	Gal	Rib	GlcNAc	Chb	GlcNAc6S	Fuc	Neu5Ac	LNB	LNT	LNnT	2'FL	3FL	LDFT	LNFPI	lcFHMO	SHMO	Nglyc	Ncore	GNB	Tan	Muc	Mal	MOS	ST	RST	PUL	IMO	Mlz	BglOS	BGL12	Mel	RFO	Lac	GOS	PG	AGII	GalAf	GA	Fru	Scr	scFOS	lcFOS	DFA	bMnOS	GmOS	bMAN	Xyl	XOS	AXOS	XL	AX	Ara	aAOS	bAOS	AR	HRGP	XglOS	XGL	GlcA	GluA	Gco	Glt	Ino	Mtl	Stl	Asc	L-Xul	country	status
Bifidobacterium adolescentis LFYP80	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	0	0	0	1	1	0	1	0	0	0	0	1	0	0	0	1	0	0	US	ref
Bifidobacterium adolescentis M56B_1C3	1	1	0	0	0	0	0	0	0	0	1	1	1	1	1	1	0	0	0	0	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	1	0	0	0	Malawi	ext
Bifidobacterium bifidum Bg41221_3D10	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Bangladesh	ref
Bifidobacterium bifidum M138B_2A5	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	Malawi	ref
Bifidobacterium bifidum M257B_A12	1	1	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	Malawi	ref
Bifidobacterium breve Bg131.S11_D6	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	Bangladesh	ext
Bifidobacterium breve Bg155.S08_4F7	1	1	0	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	0	1	1	1	1	1	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	Bangladesh	ref
Bifidobacterium breve Bg41721_1C11	1	1	0	1	0	0	1	0	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	1	1	0	0	Bangladesh	ref
Bifidobacterium breve JG_Bg463	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	0	0	1	0	0	1	1	1	0	1	1	1	0	0	1	1	1	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	Bangladesh	ref
Bifidobacterium breve LFYP81	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1	0	0	US	ref
Bifidobacterium breve M257B_A4	1	1	1	1	0	1	1	1	1	1	1	0	0	0	0	0	0	1	0	1	0	0	1	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	1	0	0	Malawi	ext
Bifidobacterium catenulatum subsp. kashiwanohense Bg42221_1E1	1	1	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	0	1	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	0	1	0	0	Bangladesh	ref
Bifidobacterium catenulatum subsp. kashiwanohense_A Bg42221_1D3	1	1	0	0	0	0	0	0	0	0	0	1	1	1	1	1	0	0	0	0	0	0	1	1	0	0	0	1	1	1	0	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	1	0	0	0	1	1	0	0	1	0	0	1	1	0	0	Bangladesh	ref
