genome_ID	Glc	Gal	Fru	Xyl	Ara	Rib	GlcNAc	Neu5Ac	GlcA	Gco	Ino	Mtl	Stl	Mal	MOS	IMO	Mlz	BglOS	Mel	RFO	Lac	Scr	scFOS	lcFOS	bMnOS	XOS	aAOS	LNT	LNnT	2'FL	SHMO	ST	PUL	GA	bMAN	AX	AR	XGL	country	dataset
B. adolescentis LFYP80	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	1	1	0	0	0	0	0	US	ref
B. adolescentis M56B_1C3	1	1	1	0	0	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	0	0	0	0	1	0	1	1	0	1	1	0	0	0	0	0	Malawi	ext
B. bifidum Bg41221_3D10	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Bangladesh	ref
B. bifidum M138B_2A5	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Malawi	ext
B. bifidum M257B_A12	1	1	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Malawi	ext
B. breve Bg131.S11_D6	1	1	1	0	0	0	1	0	0	0	0	0	0	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	Bangladesh	ext
B. breve Bg155.S08_4F7	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	Bangladesh	ref
B. breve Bg41721_1C11	1	1	1	0	0	0	1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	Bangladesh	ref
B. breve JG_Bg463	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	1	1	1	1	1	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	Bangladesh	ref
B. breve LFYP81	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	0	1	1	0	0	1	1	0	0	0	0	0	US	ref
B. breve M257B_A4	1	1	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	1	1	1	1	1	0	0	0	0	0	1	1	0	0	1	1	0	0	0	0	0	Malawi	ext
Bc. kashiwanohense Bg42221_1E1	1	1	1	0	0	0	0	0	0	1	0	0	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	1	0	1	0	0	0	0	1	0	1	Bangladesh	ref
Bc. kashiwanohense_A Bg42221_1D3	1	1	1	0	0	0	0	0	0	1	0	1	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	0	0	1	0	0	0	0	0	1	0	1	Bangladesh	ref
B. dentium LFYP24	1	1	1	1	1	1	0	1	0	1	0	1	0	1	1	1	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	1	1	0	1	0	0	1	US	ref
B. hominis Bg064.11_2H10	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	0	1	1	1	1	1	1	1	0	1	1	0	0	0	0	0	0	0	0	0	0	Bangladesh	ext
B. hominis Bg155.08_4B11	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	0	1	1	0	1	0	0	0	0	0	0	0	0	Bangladesh	ext
B. hominis M264_MC1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	0	1	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	0	0	Malawi	ext
Bl. infantis ATCC 15697 = JCM 1222	1	1	1	0	0	0	1	1	1	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Germany	ref
Bl. infantis Bg064.S07_13.C6	1	1	1	0	0	0	1	1	0	1	0	1	1	1	1	1	1	0	1	1	1	1	1	1	0	1	0	1	1	1	1	0	0	0	0	0	0	0	Bangladesh	ref
Bl. infantis Bg40721_2D9	1	1	1	0	0	0	1	1	0	0	0	1	1	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Bangladesh	ref
Bl. infantis JG_Bg463	1	1	1	0	0	1	1	1	1	0	1	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Bangladesh	ref
Bl. infantis Malawi264A_MC2	1	1	1	0	0	0	1	1	0	1	1	0	0	1	1	1	0	0	1	1	1	1	0	0	0	0	0	1	1	1	1	0	0	0	0	0	0	0	Malawi	ref
Bl. longum Bg115.S08_3A11	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	0	0	0	0	0	0	0	0	0	Bangladesh	ref
Bl. suis Bg131.S11_17.F6	1	1	0	0	0	0	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	0	0	1	1	0	1	0	0	0	0	0	0	0	Bangladesh	ref
Bl. suis Bg41121_2E1	1	1	1	1	1	1	0	1	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	1	1	1	0	1	0	0	0	0	0	0	1	0	Bangladesh	ref
Bl. suis M257B_A6	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	0	0	1	1	1	0	1	0	0	0	0	0	0	1	0	Malawi	ext
Bl. nov. LFYP82	1	1	1	0	0	0	0	0	0	0	0	0	0	1	1	1	0	0	1	1	1	1	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	US	ref
