sample	strain	2'FL	3FL	LDFT	3'SL	6'SL	LNT	LNnT	LNFP I	LNFP II	LNFP III	LSTb	LSTc	DFLNT	LNH	DSLNT	FLNH	DFLNH	FDSLNH	DSLNH	total	total_sial	total_fuc
med_1_a	medium_batch1	1940.02025	652.7345286	486.7133262	183.3261557	353.9396963	1502.345908	130.5200328	601.0598157	1009.108508	20.72536336	92.33523208	126.3600115	756.5675397	107.9741387	156.0453047	364.3547844	52.85415107	287.2238249	163.9413193	8988.14989	1970.381993	7467.497109
med_2_a	medium_batch1	2301.462108	779.0154148	572.36948	214.088893	424.8212451	1781.882405	162.5081131	714.7122422	1204.610293	23.76602271	110.2208947	149.8282181	885.225469	130.5408123	193.5162203	435.582923	55.30582604	350.9513138	205.2748605	10695.68275	2398.44404	8835.901868
med_3_a	medium_batch1	2131.960944	719.626569	522.1770455	203.9363624	385.9690414	1634.485893	137.307798	645.1436801	1087.059825	20.86119237	100.5689213	135.2687782	819.1870583	117.6118233	170.3322392	392.7840146	55.86415589	307.458123	181.1429025	9768.746367	2143.609633	8099.350867
Bg_4F7_1	B. breve Bg155.S08_4F7	2407.845558	802.8248987	581.9503395	243.777278	456.4395813	15.41024652	159.7963574	752.6947094	1266.321888	25.10177665	120.1078283	158.6251412	962.3422399	136.0381728	201.8398243	460.9482881	65.62239696	369.5134271	211.0603377	9398.26029	2543.777007	9305.080498
Bg_4F7_2	B. breve Bg155.S08_4F7	2213.00645	749.5711546	538.0643859	220.5175906	414.1336053	21.5466798	142.0786855	692.2124615	1167.552311	23.63411198	112.1051584	148.3979375	854.3270914	126.3191927	185.152354	429.1745352	63.63762002	337.6345817	197.5107557	8636.576663	2335.749675	8524.843801
Bg_4F7_3	B. breve Bg155.S08_4F7	2177.576891	729.5155018	546.709822	207.0520738	413.6574076	16.71029326	138.2680129	668.2495878	1123.54112	23.87560763	105.9316059	142.2818336	843.491166	121.1407449	178.010238	411.9038822	58.28675562	330.9846532	190.77117	8427.958368	2268.455043	8362.622731
1E1_1	B. catenulatum ssp. kashiwanohense Bg42221_1E1	1742.733505	706.1329493	629.4531608	249.49949	423.6747539	214.1812081	12.68786185	47.00285165	101.8955755	23.26572789	113.1501534	132.0123821	42.02393028	42.37941642	157.1370078	144.2105812	52.90767908	182.1332827	186.813968	5203.295485	1970.505296	4396.144013
1E1_2	B. catenulatum ssp. kashiwanohense Bg42221_1E1	1723.517705	716.5160327	611.7460965	249.3877133	418.4290706	246.3207575	14.59720819	50.40217064	112.7151049	22.01566083	116.094359	136.8991669	56.78783434	43.88067181	163.0818167	149.9259166	54.76557172	185.052501	187.4890125	5259.624371	1992.05697	4406.744097
1E1_3	B. catenulatum ssp. kashiwanohense Bg42221_1E1	1706.644835	706.4416686	589.1308204	253.9300325	411.6770956	280.0665918	14.97269555	51.75952204	123.6260817	23.57474532	111.9803902	134.8468987	70.30724748	47.01886727	161.7995059	155.6128115	50.46629522	196.1352266	184.840684	5274.832016	1997.98525	4383.603617
ATCC_1	B. longum ssp. infantis ATCC 15697	1944.144884	388.8953924	530.235035	181.1150298	396.601131	76.380945	11.75353487	31.27367196	97.61637457	22.78283388	89.94947456	119.7598209	8.141045762	39.27315545	149.7075932	108.2590239	41.84001522	150.0919346	178.5961466	4566.417042	1744.216805	3903.496307
ATCC_2	B. longum ssp. infantis ATCC 15697	2010.276581	405.458178	539.8988037	193.722489	411.022448	120.595348	15.08272582	38.91536947	116.7207026	22.37407299	95.62699812	127.3576666	11.77477973	43.89039692	156.9288678	128.0363215	49.88575613	156.1166368	182.784466	4826.468608	1819.389543	4081.016541
