	216816.186	216816.1989	1682.76	216816.378	759350.3	Bsuis_BSM11-5	2005B	2074B	209B	AGR2137	DSM20211	JCM19995	UCD391	UCD398	UCD399	UMA026	391904.5	1682.151	1682.24	565042.3	206672.9	216816.144	216816.1981	216816.262	1679.217	1695.38
216816.186	1.0	0.7754471486907367	0.7725732267215214	0.7719973675007048	0.7695438682361345	0.7953508772655079	0.8299235136589839	0.7749448737781077	0.8498578334630016	0.8307114445095771	0.7888341186460156	0.7654855696210904	0.7259013457660498	0.7500010334874746	0.7553813692799569	0.8440934537249782	0.6914109749755477	0.6855304312453855	0.7027805773805144	0.699379576799281	0.7520903317660151	0.6803811832522114	0.6833915255680667	0.6563579736039031	0.7422618658830903	0.7374420936968012
216816.1989	0.716876867278062	1.0	0.8262375173871451	0.8127197050742553	0.7651490878392071	0.8166498307358079	0.7301671842345335	0.704333652718971	0.7069649519506866	0.7131337083884229	0.7339982825056454	0.7230119773437566	0.6801396171501676	0.702714803409601	0.8059028736295795	0.7175540005154012	0.6670882659042194	0.6628170883806077	0.6777855181426591	0.6385829065724364	0.6536155703174764	0.6330446372653452	0.6180922659990411	0.5946961847308175	0.6913331533762223	0.7374141539581516
1682.76	0.7279225255597694	0.8464845859350592	1.0	0.8477010381878419	0.7878477553894778	0.8558400461086627	0.7330268546204657	0.7242469706976165	0.728374931620994	0.7266509399840544	0.7310866308730186	0.7223063559336945	0.6757226082206521	0.683590250708033	0.8075205762644397	0.740924996392873	0.6965207745097924	0.6777621501526724	0.6979753557956657	0.6504308806042925	0.6764033679030999	0.6264979352375054	0.6290043508403139	0.6130457954585	0.685874177936739	0.7706211335802211
216816.378	0.7678657100039074	0.8763117155467041	0.8931214584710652	1.0	0.8477264146743978	0.8936436716989282	0.7661193663208327	0.7568324614666814	0.7520591770216288	0.7639587966756409	0.7704174243635759	0.756138375376925	0.7094029705565713	0.739195090948359	0.8533594755940536	0.7696911893931775	0.7277612178985183	0.7195001920689535	0.740173158817119	0.6700914841736831	0.7000323961797238	0.6603025621833541	0.6622459208016447	0.6330856495640117	0.7073730572596294	0.8211986421631745
759350.3	0.7501555791782998	0.8034383200193072	0.8123824075665964	0.8266662308028209	1.0	0.828974291297494	0.7482656251135062	0.7296723998905498	0.7404761731800061	0.7460673377355582	0.7358770024513306	0.7379400913215473	0.6776161314823649	0.7089091377240966	0.7914407640854648	0.7583272191321628	0.7091177873614013	0.7000469764367162	0.7152319885319379	0.6800166112554574	0.7029813894209387	0.657991765401935	0.659206534083342	0.6315671161714366	0.7223902450442684	0.7569639338810689
Bsuis_BSM11-5	0.7388560726120156	0.8286579263314604	0.8488294674158382	0.8408498295154396	0.7946205637996446	1.0	0.7321569418431542	0.7268232243192624	0.7238146280555156	0.7294130528742256	0.7395806560053787	0.7140335206262306	0.6846713730010086	0.6968790279978869	0.8167430245401719	0.7373381357153148	0.6776814099793498	0.674267876866926	0.6984084906113432	0.6565797435528022	0.6747573356384767	0.6283932190366421	0.6247361091101186	0.6020765499687846	0.6923728569370408	0.7674536810257888
2005B	0.8108354994520338	0.7741458883478829	0.7640708516444865	0.7550317406836623	0.7503747375215547	0.7713543624231823	1.0	0.7463096919266313	0.8054097623533638	0.8191938592105962	0.7829757869082502	0.7574526849532901	0.7215824890842619	0.7289977712392145	0.7484804733065655	0.8038240458840096	0.6629454430011762	0.6569119357701713	0.6781259109963417	0.6860500333888395	0.7030700297965491	0.6485633068209324	0.644625167197604	0.6222216005316266	0.7177461175084425	0.7257922804678736
2074B	0.79014556941414	0.7741599592968987	0.781345596143525	0.7782848278175076	0.765818445728564	0.7975820057104455	0.7741252787659144	1.0	0.7836958365176687	0.7882013450124956	0.7892020052113842	0.8372451139572643	0.7260914745527375	0.7727570895252531	0.7624590864894378	0.7909800168242869	0.6989704534564013	0.7145953014647449	0.7117138568599147	0.7080542149744612	0.7204347416025535	0.683154862527644	0.6914934155628459	0.6732835991962576	0.738448739849072	0.7701607019677817
209B	0.888081615867588	0.7972540545146212	0.807174774826471	0.7935289481497712	0.7966406661284846	0.8107812029280927	0.8592410590274382	0.8046177581806492	1.0	0.8485865331905716	0.8258868157143932	0.8151979470834056	0.7612684576216441	0.8001718878581704	0.7863578249621686	0.8614516046996592	0.6928432660084153	0.6923198644372542	0.7084414153230592	0.7574903155494174	0.7903428932369475	0.7128746787970632	0.7190624678036305	0.685169607757472	0.8041686935435982	0.771189612652407
AGR2137	0.8821860862755393	0.8232628325604073	0.8253602815743817	0.815907225980531	0.8113577612881032	0.8385677797123562	0.8822340959232762	0.8225224268920976	0.8599144547359315	1.0	0.848174113814578	0.8207015839219653	0.7801611802797509	0.7843825056367291	0.7986911424842659	0.8694771837452546	0.7121108080287988	0.7164805668838259	0.7335979883517143	0.7397097486452691	0.7704707191801186	0.7038381731315988	0.7009597965448029	0.6792167115857851	0.7602495092224771	0.7808491717454854
DSM20211	0.796376097557914	0.8072888096687608	0.7840872146663236	0.7867374626825079	0.7606785036600955	0.8024632159885187	0.8061034366612063	0.7821244244162572	0.7956212747885429	0.8066674616573883	1.0	0.8151893437770009	0.8894427324249519	0.7796411244516133	0.7859290826434697	0.7791168489915125	0.6829125112710855	0.6785965484850196	0.6895795545123046	0.7077735448008653	0.7394376068268782	0.6732002351498871	0.6724198889941903	0.6533526641603538	0.7365245934563895	0.7507214540798715
JCM19995	0.7888044463931174	0.8081510084810009	0.792260349547489	0.7850079528079267	0.7792311630415366	0.7906526943395323	0.7970995541128538	0.8505936187797376	0.8030793306479252	0.7919496729562651	0.8362785645117591	1.0	0.7703399152327254	0.8112684579073817	0.8060284078914418	0.8030054007300687	0.7103220694907041	0.6989184864964655	0.7174766052407338	0.7321873768724996	0.7335924726523405	0.692486156302376	0.6948728533615036	0.6768856616129372	0.7451951963501697	0.7705817899928805
UCD391	0.8197980558562233	0.8281901719122294	0.8045215199669526	0.8070832962945533	0.7843776526302763	0.8257177244070745	0.8275592054005155	0.8055455332974275	0.8203418722972584	0.8287671053801224	0.9923316652809805	0.8367348005919233	1.0	0.8157024382846775	0.8299388380803977	0.7989391221896281	0.6986485638539853	0.6961460495744463	0.7131250620944254	0.7307681581529762	0.7605386222968227	0.6881408798322536	0.6897209106136585	0.6709156683626071	0.7576936082395163	0.7705351711540238
UCD398	0.7803298915083513	0.789082225118721	0.7568603794597542	0.7689259633367335	0.7514092810781383	0.7770327993960994	0.7740447837748928	0.7891335997633452	0.7902754426712827	0.7675127462979182	0.8000494688110333	0.8110693300829204	0.7487605866984416	1.0	0.775812651586275	0.798400094131607	0.6837082715663715	0.683717800734326	0.6923914151311586	0.7013654054743826	0.7128223655372254	0.7018327490158027	0.6780148008693916	0.6580557514328969	0.759700485821841	0.7550485946134514
UCD399	0.7200794729350035	0.8352752925418859	0.8167230316758936	0.8187540152149044	0.778619722236409	0.8353179167001068	0.7294210756110326	0.7129654625277969	0.7190004289295922	0.7152863671429949	0.7429870779680334	0.7440438498907708	0.6976207655682818	0.7113722406137571	1.0	0.7269669225012163	0.6801241246207506	0.657376648182118	0.6759139329925192	0.6639584326137019	0.664389666214441	0.6526150305069932	0.6426686255859382	0.6265551577727456	0.6936213907226023	0.7462403380441348
UMA026	0.8540134483790557	0.7806926985199093	0.7919459356437216	0.7843156022262384	0.7814826486819954	0.795630279918213	0.824185515406954	0.7760248871917732	0.8307161880432474	0.8222607955675855	0.7743045512832302	0.7834391337130667	0.707091077492021	0.7715238431200775	0.7665592780273481	1.0	0.71104458996989	0.704877963149034	0.7291674677625101	0.6796626703826368	0.7302508279847996	0.6786382429502172	0.6738287421485641	0.6501916778541442	0.7385616052456034	0.7540095195263977
391904.5	0.5894520091444774	0.6170510048899513	0.6342992740617944	0.6242104839540968	0.619494921539085	0.6202362511596513	0.5795097198903679	0.5807653910619652	0.5669180597779965	0.562575633272003	0.5688098623668607	0.5832241343035103	0.5275481617143495	0.5637112796478896	0.609748202099163	0.6021679302218199	1.0	0.730851808914877	0.7473100325196593	0.5637257532261959	0.53856537891828	0.5188897847602398	0.5295088020536949	0.5116402870993113	0.5526901792888037	0.6354059732810684
