	216816.186	216816.1989	1682.76	216816.378	759350.3	Bsuis_BSM11-5	2005B	2074B	209B	AGR2137	DSM20211	JCM19995	UCD391	UCD398	UCD399	UMA026	391904.5	1682.151	1682.24	565042.3	206672.9	216816.144	216816.1981	216816.262	1679.217	1695.38
216816.186	1.0	0.979051902725815	0.978465393258427	0.9784724049276916	0.9770099087003221	0.9782992255717257	0.9884330611222446	0.981850192513369	0.9887568086147822	0.9888422439759036	0.9835076275644398	0.9844048916576382	0.9836777990970655	0.9844835426997246	0.9789656870229005	0.9889862198127156	0.9560778173190986	0.9556901256732496	0.9569659883040936	0.9622308087367176	0.963982573932092	0.9583394924471298	0.9580362222222223	0.957387144638404	0.9626993836757356	0.9763223512906847
216816.1989	0.9797105825761625	1.0	0.9876347463936714	0.989053475580844	0.9806849674185465	0.987035108490566	0.9812578349973725	0.9798176826608507	0.9797839347826087	0.9812205818965517	0.9805037232375979	0.9820097295864263	0.9807017066369212	0.9811936393264532	0.9876459486447933	0.9793395128479656	0.9580015279361459	0.9580040963855422	0.9598917220033767	0.9607291597139452	0.9627235239206534	0.9583069050480769	0.9561647946045372	0.9567245408163265	0.9627122559293987	0.9834806210855949
1682.76	0.9788651583467526	0.9871037436135625	1.0	0.9874261920222636	0.9806844776119404	0.9873736443014707	0.9798301546666666	0.979472088505127	0.9787461406333869	0.9797526978998384	0.9795502241195304	0.9813269030860856	0.9800878673527731	0.981301654349062	0.9865988845780795	0.9790751949420444	0.9588798940914159	0.9574008767908311	0.9588052669632926	0.9616846511627907	0.9630291508892714	0.9590281346510192	0.9583516019716577	0.9582597292191437	0.9623712047511311	0.983094052953157
216816.378	0.9790699946062568	0.9891573516848601	0.9878789799720541	1.0	0.9820333219178083	0.9877001024685608	0.9814201028695182	0.9800191735084839	0.9798170380584666	0.9813014859002169	0.9812611900915453	0.9818150274423709	0.9814802313475999	0.982050947075209	0.9876217789626758	0.9811513800539083	0.9594875550536419	0.9572185820468839	0.9591220856507231	0.9609694287469287	0.9623608941176471	0.9604722588674548	0.957647294117647	0.9578664230271672	0.9616361641443538	0.984726475949367
759350.3	0.9786034324324325	0.9819145362392298	0.9823628686058176	0.9835356684755796	1.0	0.9824361602753195	0.9792341530944625	0.9797000445186421	0.9795781888035126	0.9783060718171926	0.9789392388306675	0.9798248072687225	0.9789869750889681	0.9800703646723646	0.9831009533572527	0.9795205998928762	0.9595041226575808	0.9581667741935485	0.9610190411731528	0.9652428452380953	0.9663525345622119	0.9623283394607843	0.9607124144254278	0.960647998729352	0.9651073378076062	0.980209924690694
Bsuis_BSM11-5	0.97842829002079	0.9867583854409705	0.9879927376080037	0.9873076113918237	0.9816313317191283	1.0	0.9806146129541865	0.9802324364406779	0.9792532765957447	0.9803663252375924	0.9803945648775404	0.9815004948897256	0.9806427030033372	0.9813621373626373	0.9864990395480228	0.978756235662148	0.9581462317210349	0.9565062372881356	0.9587986641221373	0.961592374854482	0.9628518573046434	0.9603988625304135	0.9587700672371637	0.9589490449082858	0.9636089828634606	0.9841508140703518
2005B	0.9894473484848486	0.9805777976817701	0.9799645367412143	0.9811393257820926	0.977696869234943	0.979996747624076	1.0	0.9818491930207198	0.988318635210553	0.9883947234678625	0.9814462298491939	0.9826501022604951	0.9815248633575014	0.985106119153675	0.9810113008130081	0.9885428636826044	0.9536314598540147	0.9564390467404674	0.9581839296362551	0.9623737050147493	0.9641261392405065	0.9585912826899129	0.9586440262993112	0.9576732902391726	0.9631860496613996	0.9783571973094171
2074B	0.9832824302575109	0.9816033825944172	0.981098317959848	0.9794859771366359	0.9785019116022099	0.9798482740308019	0.9833969879518071	1.0	0.9838972279371955	0.9853746282327586	0.9873882048517519	0.9921662023385868	0.987885923566879	0.9907406509846827	0.9806380110497238	0.9831756638115632	0.9588191390728477	0.9543722104644325	0.9587396863905324	0.9642322870756401	0.9658961695906433	0.9585753046153846	0.9582707177615573	0.9585768139390167	0.9654008909194746	0.9780438702583837
209B	0.989780928853755	0.9804834118291348	0.9798035192203572	0.9800737843784378	0.9791973948661934	0.980013453663793	0.9883860112073357	0.983740644637053	1.0	0.9874250747808148	0.9836898834745764	0.9848754146602461	0.9840416590909091	0.986012638436482	0.9801200552181115	0.9885954037582529	0.9580172761427678	0.9576718233082707	0.9590957125382265	0.9641009221076747	0.9658009380142621	0.9603724817961166	0.9599470408163265	0.959133352201258	0.9646377903835766	0.9789924801812006
AGR2137	0.9896708220551379	0.9808888531618435	0.9799344959999999	0.9818544438444924	0.9783650976138829	0.980311381302521	0.9890615855494229	0.9845416139410188	0.9874978887744594	1.0	0.983872625	0.9854895596133192	0.9839684567901235	0.9853265770308123	0.9810994124107635	0.988638424796748	0.9562408974358974	0.9566821931956256	0.957603759666865	0.9607131279620853	0.9643573749999999	0.9579315704531348	0.9577583074051027	0.9568233717948718	0.9629626585928489	0.9774653378378377
