	Bg40721_2D9	1897B	UCD398	Bg155.S08_5B11	UCD399	JCM1217	2074B	JDM301	ATCC15697	APC1478	239-2	2005B	JCM19995	NCC5000	Bg41121_2E1	AGR2137	Bg131.S11_17.F6	APC1461	UMA026	BgEED06	BSM11-5	LFYP82	UCD391	BT1	M257B_A6	DSM20211	NCC2705	209B
Bg40721_2D9	1.0	0.9494815389830508	0.9596378212290502	0.9594266474654377	0.9573093534994069	0.951352701986755	0.9558839547349615	0.9581440023001726	0.9812160370009736	0.9499624363161333	0.9486438919667591	0.9578366256914567	0.959247536585366	0.9583173109721433	0.9593598448275863	0.9566301595092026	0.9604879756637168	0.956473949579832	0.9594409428403065	0.9562649574588769	0.9566413763563678	0.9488521300597214	0.9567326627218935	0.9786375225867809	0.9604942666666666	0.955414669117647	0.9516715655577299	0.9588484686918782
1897B	0.9490886111111111	1.0	0.9627744260282382	0.9606604434993924	0.9608225997581622	0.9693888199513382	0.9596742821934688	0.9619580480295566	0.9487471818787475	0.970018144329897	0.9910317144268774	0.9588848449131515	0.9614404856787048	0.9606890687499999	0.9600716468378209	0.95897706918239	0.9588513756281405	0.9596498589822194	0.9598843392747388	0.9608678700811993	0.9616405918618989	0.9923253925716972	0.9613027619047618	0.9519872562205783	0.9620479357231151	0.9601397982345524	0.9683189634864546	0.9617999754299754
UCD398	0.9593044892002336	0.9602888794084186	1.0	0.9820446541200407	0.9810476291322314	0.9633244882790166	0.9900481585677748	0.9796631213254944	0.9588243315820197	0.9642349015063733	0.9602935878787878	0.9855336557462299	0.9912050573566085	0.9825997640272681	0.9815343054082715	0.9861943307086616	0.9818432197977649	0.9854361300309598	0.986020745967742	0.9818051070496082	0.981688529259451	0.9610901181334908	0.9882189673622258	0.9612928546712801	0.9815749288350027	0.9876813148614609	0.9659866779089376	0.9854244699286442
Bg155.S08_5B11	0.9580040963855422	0.9583069050480769	0.9811936393264532	1.0	0.9876459486447933	0.9607291597139452	0.9798176826608507	0.9806849674185465	0.9580015279361459	0.9630825865102638	0.9567245408163265	0.9812578349973725	0.9820097295864263	0.9977796001683502	0.9876347463936714	0.9812205818965517	0.9834806210855949	0.9797105825761625	0.9793395128479656	0.989053475580844	0.987035108490566	0.9561647946045372	0.9807017066369212	0.9598917220033767	0.9866183967017866	0.9805037232375979	0.9627235239206534	0.9797839347826087
UCD399	0.9580838727995458	0.9610911461318051	0.9809851974723537	0.9881037166138525	1.0	0.9627888238604391	0.9799739197041732	0.9815818904507999	0.9602425	0.96368136214442	0.9597083700178465	0.9804284408879711	0.9816966565503289	0.9887037889039243	0.9869391728280961	0.9810327095413812	0.9829539747474748	0.9802912271540472	0.9795145962732917	0.9879006918819188	0.9871339891451832	0.9584521756835369	0.9817799357257632	0.9600308950276243	0.986784158013544	0.9814656497461929	0.9641943950478333	0.9800244897959184
JCM1217	0.9511907534699273	0.968721482381531	0.9638519004250152	0.9615393206197855	0.9631242145820984	1.0	0.9639125621301776	0.9647932147093713	0.949852285361334	0.9865401023541454	0.9683662793572313	0.9637684787735851	0.9642006884480747	0.962005203106332	0.9638579246411483	0.9621841937424789	0.9622872828784119	0.964131017857143	0.9620466829566282	0.9614642787583689	0.961987309495897	0.9686306942752739	0.9644601834282099	0.9535824595469256	0.9632985940246046	0.9634735675997618	0.9865195230607967	0.9646931726907632
2074B	0.9543722104644325	0.9585753046153846	0.9907406509846827	0.9816033825944172	0.9806380110497238	0.9642322870756401	1.0	0.9785019116022099	0.9588191390728477	0.9642582079905992	0.9585768139390167	0.9833969879518071	0.9921662023385868	0.982819983982915	0.981098317959848	0.9853746282327586	0.9780438702583837	0.9832824302575109	0.9831756638115632	0.9794859771366359	0.9798482740308019	0.9582707177615573	0.987885923566879	0.9587396863905324	0.9820957399347117	0.9873882048517519	0.9658961695906433	0.9838972279371955
JDM301	0.9581667741935485	0.9623283394607843	0.9800703646723646	0.9819145362392298	0.9831009533572527	0.9652428452380953	0.9797000445186421	1.0	0.9595041226575808	0.9663502474108171	0.960647998729352	0.9792341530944625	0.9798248072687225	0.9826833718013046	0.9823628686058176	0.9783060718171926	0.980209924690694	0.9786034324324325	0.9795205998928762	0.9835356684755796	0.9824361602753195	0.9607124144254278	0.9789869750889681	0.9610190411731528	0.982302984031936	0.9789392388306675	0.9663525345622119	0.9795781888035126
ATCC15697	0.9805027135187896	0.9506680433310765	0.9589705790784558	0.9579404514285716	0.9599030662824208	0.9500161970074812	0.9591691732522796	0.9599297551252847	1.0	0.9499327413127414	0.9507440846994537	0.9560772296476304	0.9606384414796847	0.9589097159420291	0.9588014969393432	0.9568433563362608	0.9590562903225807	0.9569687985654514	0.9596118768328447	0.958477638731597	0.9583645025582718	0.9500971551724139	0.9584360409781891	0.9778920771796094	0.9605517901938426	0.9570444203347801	0.9509641819371727	0.9600272211838007
APC1478	0.9506971259842522	0.970199654754694	0.9660554391468005	0.9644397458628841	0.9663965852239674	0.9872801237113401	0.9647939241256669	0.9671940535818289	0.9511116774193549	1.0	0.969215991352687	0.9644484319526627	0.9654216813122437	0.9638795693215338	0.9651116501457726	0.964014449704142	0.9612559789993823	0.9645798466981133	0.9637529776974081	0.9640884835820895	0.963536781542056	0.9699079438682122	0.9655423062261754	0.9546346277278562	0.9644082387022016	0.9642314013118665	0.9873753208556152	0.9654942184776293
