	ShaoY_2019_ERR3405065_bin.8	MGYG000219774	ShaoY_2019_ERR3405918_bin.15	VatanenT_2016_SRR4305363_bin.2	BackhedF_2015_ERR525762_bin.5	ShaoY_2019_ERR3405119_bin.12	Bg42221_1E1	MurphyR_2019_SRR7352005_bin.8	ParnanenK_2018_SRR5723804_bin.1	MurphyR_2019_SRR7351807_bin.6	ShaoY_2019_ERR3404734_bin.10	PV20-2	ShaoY_2019_ERR3405915_bin.14	MurphyR_2019_SRR7352002_bin.12	Baumann-DudenhoefferAM_2018_SRR7217889_bin.9	MGYG000152456	MGYG000008610	BackhedF_2015_ERR526045_bin.2	ShaoY_2019_ERR3406125_bin.1	ShaoY_2019_ERR3406266_bin.7	ShaoY_2019_ERR3406102_bin.6	JG_Bg468	ShaoY_2019_ERR3406198_bin.10	Bg42221_1D3	YassourM_2018_SRR7280800_bin.4	MurphyR_2019_SRR7351942_bin.8	MGYG000128273	KIJ_genome_18534	DianaHT_2018_SRR6795021_bin.13	CasaburiG_2019_SRR6277129_bin.6	CokerMO_2019_SRR8692222_bin.7	MGYG000111443	MurphyR_2019_SRR7351904_bin.13	MurphyR_2019_SRR7351642_bin.8	ShaoY_2019_ERR3405213_bin.4	VatanenT_2016_SRR4408034_bin.6	FerrettiP_2018_SRR5273974_bin.15	BackhedF_2015_ERR525997_bin.2	ChuDM_2017_SRR8942415_bin.5	MurphyR_2019_SRR7351990_bin.1	MurphyR_2019_SRR7352076_bin.1	MGYG000091537	WampachL_2018_SRR5575423_bin.7	SPMP78.bin.95	TM115-191	JCM15439	MGYG000183087	DianaHT_2018_SRR6795047_bin.4	MurphyR_2019_SRR7351743_bin.7	ShaoY_2019_ERR3406246_bin.4	MurphyR_2019_SRR7351718_bin.6	KIJ_genome_26637	ShaoY_2019_ERR3405896_bin.18	SPMP38.bin.25	ShaoY_2019_ERR3404970_bin.5	DianaHT_2018_SRR6795059_bin.13	ChuDM_2017_SRR8942364_bin.1	ShaoY_2019_ERR3406028_bin.3	SS_Bg39	ShaoY_2019_ERR3405650_bin.3	ShaoY_2019_ERR3405888_bin.7	MGYG000279952	MurphyR_2019_SRR7351945_bin.4	MGYG000000756	ChuDM_2017_SRR8942351_bin.4	ShaoY_2019_ERR3406144_bin.2	ShaoY_2019_ERR3405871_bin.8	Bg41121_2E9	MurphyR_2019_SRR7351817_bin.7	ShaoY_2019_ERR3406290_bin.8	MGYG000110618	ShaoY_2019_ERR3405965_bin.2	MurphyR_2019_SRR7411410_bin.1	MurphyR_2019_SRR7352101_bin.11	ShaoY_2019_ERR3406253_bin.8	Bg41721_1F7	MurphyR_2019_SRR7351968_bin.3	ShaoY_2019_ERR3404927_bin.4	MGYG000264346	ParnanenK_2018_SRR5723876_bin.5	MurphyR_2019_SRR7351639_bin.4	ERR7738226_bin.16	ShaoY_2019_ERR3406025_bin.10	1899B	ShaoY_2019_ERR3405190_bin.3	Bcat_MC1	ShaoY_2019_ERR3405651_bin.7	MurphyR_2019_SRR7351965_bin.4	Bifidobacterium_catenulatum_BIOML_A1	VatanenT_2016_SRR4305474_bin.9	DSM16992	CokerMO_2019_SRR8692185_bin.21	VatanenT_2016_SRR4408139_bin.2	ShaoY_2019_ERR3405802_bin.7	ShaoY_2019_ERR3405657_bin.2
ShaoY_2019_ERR3405065_bin.8	1.0	0.6850967397056269	0.8908087068652494	0.7226292409881736	0.7090860861521309	0.9183555215039213	0.8456388249672687	0.7257944271717679	0.7349268780052325	0.7131336824373908	0.7249820353691154	0.7802013385164828	0.8756600683396552	0.889715344196044	0.7305597110219126	0.719887755280659	0.7104667033813902	0.7312392475905402	0.8988361253130065	0.7154052376380673	0.9076256660154067	0.7266032282924197	0.6948755132992129	0.8012265769714303	0.7140475110065624	0.8805416005195716	0.7262342857168504	0.7173895382786899	0.7483564775230039	0.7164016518932544	0.7200847939554459	0.7138554095195263	0.72724371619429	0.9198779706722071	0.7120991171859467	0.7388734863592235	0.760537866210291	0.7011322766853876	0.7269663360097379	0.7067355359474395	0.8912660699850852	0.681880386303523	0.8600599015524762	0.7149155583802254	0.7111139238120117	0.9143640296249218	0.691456735199321	0.7003975333809996	0.7239631793514241	0.7392271685362899	0.7296988450122509	0.7106610490446766	0.7131363754488913	0.7303505537953733	0.7588125435089671	0.7579507798288052	0.717917368532789	0.9159722063259738	0.745794974750773	0.7230794227440082	0.9096813314607927	0.720596914975792	0.7084132821122546	0.7229981835637429	0.7181494163570825	0.6935913956487217	0.7087099622125603	0.8001924605552362	0.889677642035037	0.8600455388244735	0.7073495425695548	0.7049859761426112	0.7317666290093892	0.8668947647407594	0.8667601141657342	0.7600809519257052	0.7034397387060708	0.7209236670378534	0.8280817364897224	0.7271032307610137	0.7283052115607394	0.7524960850345311	0.7205794104010388	0.7659243380465522	0.713896253527284	0.7454013462364492	0.7217176565952524	0.8953850310751086	0.7270924587150116	0.6975685247997185	0.715163764273522	0.7331306393343953	0.7199084017021627	0.7178926825940344	0.8917243307754212
MGYG000219774	0.7687733639012814	1.0	0.774062662025755	0.8355890800897408	0.8684410395110813	0.7780399615341442	0.7625957941211772	0.8427074014701188	0.8372893331111034	0.8742604822615357	0.8352571930324126	0.7366643844369752	0.7712637316447749	0.7678914092760246	0.8463256020980315	0.8301797583881659	0.8349612644556736	0.8790142905804816	0.7719469427759655	0.8385090058986486	0.7686416781142595	0.7640351051955631	0.8246688782751981	0.7680823779634769	0.8705873720619127	0.7546300188198912	0.8447696689244382	0.7605068007691227	0.7746632658366737	0.8353344551731376	0.8553793643998409	0.8834877199359161	0.854517332716532	0.7756147077960416	0.8410197825095035	0.8465583603710332	0.8409546685041126	0.8019251393026678	0.848104089110946	0.8801882863791706	0.7724489037279711	0.8176122694223172	0.7625229053091724	0.7583104179007147	0.8613965787935347	0.7824827775885368	0.8438517558185924	0.7326239146248485	0.8353398003526846	0.8502479920347106	0.8472095004249418	0.7378330350561171	0.8585179566447627	0.8409211396505905	0.7503806010800178	0.7383787292953256	0.8340039913913454	0.7821465172024885	0.7691630760827998	0.7384914639912261	0.7627882205848695	0.7408506318731113	0.8314742636893693	0.733646787619981	0.8667509909233992	0.8249599475978034	0.8720232816584051	0.772860482553091	0.778688671960986	0.7636006878760152	0.8213305706853832	0.8705839705840192	0.8572040143270249	0.7582326698345764	0.7390157775122466	0.7637119647956756	0.8499112457232489	0.7399366061705724	0.7316229082733174	0.840472630494055	0.7540595423846013	0.7609596832543786	0.746170543298627	0.8505264272965686	0.8679619170535038	0.759282268727444	0.8410445647055851	0.780833060810164	0.8655803966026039	0.8359812218983259	0.885759907168809	0.8217868546485326	0.8186550653593977	0.7380031089507947	0.7669064384631346
ShaoY_2019_ERR3405918_bin.15	0.8552934642302991	0.6611636467184331	1.0	0.6873664133071266	0.6827046946837253	0.8964455410958524	0.784963210347707	0.6965154048785785	0.7070578240381865	0.6901117948792498	0.6956359079320192	0.7343756747477486	0.8424392123093657	0.8439579158359475	0.694313028227277	0.7083161417405317	0.6875579614996684	0.7166647355074338	0.8591727426922013	0.6887542825771954	0.858685320952251	0.7098194530016414	0.6711604955796406	0.7644966280249543	0.714162637242356	0.8362002140380026	0.6959142513993066	0.6860708976298904	0.729343686627157	0.6927263421948601	0.6905821141020089	0.6913949112315223	0.6970772225683106	0.8736816631513867	0.6931205552161182	0.7130236095974196	0.7207864421505218	0.6687759771202525	0.7027744986076413	0.6820039190418143	0.8527473269834538	0.6576349698589513	0.831291364041188	0.6775730844004948	0.6907099554180133	0.8335463309328526	0.6625925620297609	0.6665107487182732	0.7031729872581971	0.7197128316338419	0.7091926457465826	0.6832515476709151	0.6900121727166109	0.7214465993141036	0.7214423236848058	0.7239038034715545	0.6967813490209023	0.8988552857680976	0.7249748486106556	0.6906719023172628	0.8642697203781196	0.6882035815236376	0.6870136738900573	0.6897410978191297	0.6900510809432209	0.6700967190103457	0.688815424076154	0.7671274227318963	0.8259664953136965	0.8642192679524054	0.6920144499167749	0.7031631533108121	0.7193010885324629	0.813707838553948	0.8276074818381957	0.7262395797569475	0.6789925933273674	0.6952079174393085	0.7920894016983655	0.719402420946821	0.696272549134463	0.719640573498709	0.7009090415450072	0.7226856766846086	0.6901879010807508	0.7123604594933294	0.7031246726471319	0.8581790864433905	0.7200749774353664	0.6757208817886838	0.6893733936995182	0.6977745777067833	0.6920238563012301	0.6855578221141533	0.8645805586280703
VatanenT_2016_SRR4305363_bin.2	0.794647537126215	0.8265745695531068	0.7887642711598474	1.0	0.863026619001501	0.797717606208968	0.7927299216936506	0.8607832023433886	0.8475642019332856	0.8495319024857592	0.8811703256078276	0.7878101744201903	0.7843329777785712	0.8049080442157389	0.8701367224595067	0.8573273290696516	0.8150058986386269	0.877817597927567	0.789203631716675	0.8808752697034118	0.7923996574376155	0.7854021215263366	0.8469418571264927	0.7932441619842039	0.8547159603425029	0.7970833599875432	0.8661368553586367	0.7768018617779623	0.7902623617266374	0.8476589173580644	0.876694897813958	0.8501810254754739	0.8984214261167618	0.7994333934850665	0.8662915737488514	0.8884262213950739	0.8610539595262642	0.8370805433194136	0.8785946611245746	0.8550194464156162	0.8133709418035702	0.8065008502073078	0.7881404386762255	0.7738949412541215	0.8698446419087489	0.802104765177651	0.8331163804624394	0.743766510113475	0.8616123342294106	0.8773643523870023	0.8803397060449765	0.7596018381734899	0.8583171300532043	0.861493815975368	0.7955351843008439	0.7717536784049327	0.8676855269376123	0.8004321205295931	0.7925137126611712	0.7823836252403218	0.7849647445386144	0.7625553725713056	0.8546063681494341	0.7587265883057691	0.8488822836037682	0.835774363063563	0.8445005794501249	0.7872969259141898	0.7976129729386626	0.7841490017440531	0.8251116873379362	0.8441202300741806	0.8785187896062963	0.7865282928858798	0.759015693502869	0.7932401948459932	0.8626338723186485	0.7745916699023637	0.7560333973530262	0.8558282467183089	0.7661019941316108	0.7862342287660167	0.7776523170318665	0.8635795388896079	0.8509114747985066	0.7853118691320448	0.8797788518804484	0.7980825829243462	0.8715505113393207	0.8341260171370453	0.8628366922596671	0.8620373139102246	0.8644379284199335	0.7758477650383052	0.7879569585339837
BackhedF_2015_ERR525762_bin.5	0.7959401709401709	0.8795167574403852	0.801583950390633	0.8850310058543949	1.0	0.7986939803765579	0.7945153295391959	0.8766502458029904	0.8644743283764763	0.9173862268731003	0.8867852844583155	0.774406911041756	0.7926901658405239	0.8116894110927524	0.8764396303775779	0.8689456989576322	0.8712272810721499	0.9353752320339432	0.8028792607551557	0.8812746057972788	0.7954322460885707	0.7874161108051323	0.8827045468453583	0.7917931379148563	0.9208958040103625	0.7921796911653713	0.9036722558798931	0.784959610794933	0.8010066703384126	0.8701772637333497	0.8962160618485201	0.9077025069865166	0.8920853476939395	0.8070946290516696	0.8964909328274483	0.8953511616996104	0.8692506578544764	0.8562873549150399	0.8923357403667667	0.9131474001999061	0.8131458703057748	0.8507491381596394	0.794117557065051	0.7840192358688779	0.9227107684148257	0.8127710462436	0.8814255553515696	0.76827407543398	0.8771148236542031	0.88569446994268	0.8777262713420231	0.7606021663300899	0.9009903514676785	0.867786039206087	0.7903570772902515	0.7653907349611407	0.8677034249229953	0.808394019133876	0.7982549007608674	0.7758598005018053	0.7956617302082696	0.7704368357709647	0.8625961283479183	0.7685693450013259	0.8935973930604002	0.8632264447300246	0.9136461456867184	0.7888455418885013	0.8042469861085613	0.7891622299736858	0.8615277522795423	0.9034315525365645	0.8898409930032841	0.7905605532097179	0.7712838871550088	0.8001004630479571	0.8848035615935377	0.766144462803174	0.7668063969973278	0.8810884686779675	0.7753279073088142	0.7835663872060054	0.7688248373212574	0.8818875833792301	0.9042719743793729	0.7824725129021072	0.8853905309752566	0.8093695816249515	0.8934566428003182	0.8767119515329539	0.9302429471880546	0.8628062338086204	0.8707841217387757	0.7709926973053465	0.7959804581522959
ShaoY_2019_ERR3405119_bin.12	0.8050985830588747	0.6104474896324017	0.8107051224364927	0.6346176593218787	0.6227542109956078	1.0	0.7421746393592661	0.634544959400041	0.6419300925411059	0.641691558202968	0.6359745935386667	0.7003690405221504	0.7753434874820558	0.7984667782970691	0.6435589637628222	0.6458448850889317	0.6259070297680637	0.6704465386388295	0.8481939178066473	0.6249917966980089	0.7999588950712204	0.6675381487927686	0.6104561350285121	0.7070012382565065	0.6608493630111443	0.7943790778270347	0.6399361498199989	0.6355588285802648	0.6731171800918534	0.6389222806397751	0.6326983813853618	0.6355600074979163	0.6473342510552296	0.8428726765006738	0.6276439684411604	0.6492688549212149	0.6640469806543543	0.6219427226788782	0.6403409115469876	0.6276486841117661	0.7991977072409515	0.6006848725609667	0.8013425514214406	0.6304898756516959	0.6296217992876979	0.8023241968525257	0.6062713703385105	0.6192048829197232	0.6605648508846008	0.6515150860197264	0.6512631906148724	0.6321957694933051	0.6409464822472686	0.6757284826897556	0.6615920811315409	0.6687622582874964	0.635495167027088	0.8138595130991505	0.6581641815737529	0.6381996041194526	0.7992315028802923	0.6411425755499552	0.6351772522337542	0.6363864287715639	0.6313642395765013	0.6063291373034302	0.6261911489220566	0.716894322214699	0.7909503923241458	0.7920530733007769	0.6206926769958192	0.6476089388680112	0.6711173427824892	0.7680782109688856	0.775762789193412	0.6690762433553253	0.6220448955420015	0.6342742013127641	0.7372180765801328	0.6377645835060776	0.6419764633020619	0.6755296385792156	0.6413901482567541	0.666121875720859	0.6328685384997172	0.6564492493634827	0.6581771496679185	0.8455837941263965	0.6370273670013876	0.6144086529411834	0.627466344848346	0.651475788764679	0.6319403373354968	0.6347834937381789	0.8188895617452225
Bg42221_1E1	0.7773206588829913	0.6242172335393555	0.7504520156781898	0.6633603365074878	0.6454891952666165	0.7752104210915711	1.0	0.6681677050904239	0.6647594029652228	0.6530119830914963	0.6597371450897589	0.7369863127574411	0.7499939731242908	0.7822003499744378	0.6690106363965103	0.6610738645573987	0.6360847752806653	0.6635265951477416	0.7549085785301904	0.659975726238523	0.7574864187473243	0.6796819472211947	0.6342210159234213	0.8151494872999181	0.6493019215342347	0.7729555382831301	0.6568986944540274	0.6606324478675251	0.6968589586390068	0.6492649289867782	0.6637809708673298	0.6542327371575591	0.6855471364027449	0.7995286567548807	0.6603992701245693	0.672461334474976	0.6867350543873577	0.6357963165398252	0.6712110695002681	0.6651305753795893	0.7965459767487292	0.6217711532946227	0.7632784541271629	0.6581497907219366	0.6618536175801886	0.8079658671011559	0.6342530207116701	0.6365997614188512	0.6608772637152988	0.6789217295886346	0.6776141053830391	0.6523565084022961	0.6631903370478285	0.6771352804991084	0.6756327180378155	0.7460665283948975	0.6631620730789853	0.7698976262422638	0.7100981341624097	0.6633948351753405	0.7394045446799313	0.6591411078644493	0.6484860072571896	0.6731326037350004	0.6518298841592924	0.6343685704666464	0.6635473774777733	0.7831754568995257	0.7797438785646892	0.7341960771273832	0.6389785069142812	0.6547223688531063	0.6673592724521903	0.7756788548104859	0.7244179908474618	0.7022095773289718	0.6446329632693099	0.6658841426665392	0.7329877924593394	0.6706732227990473	0.6652386434957541	0.7045521615701466	0.6744277585425767	0.7045376139391244	0.6628553258877172	0.709843342796221	0.6603759939149337	0.7793548333464955	0.676948239528823	0.6376010540797792	0.6623893860484062	0.6572470063053589	0.6473300940608258	0.6588443361915964	0.7879952948804808
MurphyR_2019_SRR7352005_bin.8	0.797448202540301	0.832237761224095	0.7953223711142846	0.8627021801643383	0.8566860722302836	0.7958327106125124	0.793664892391343	1.0	0.8478583485493812	0.8862887621842931	0.8794114251068039	0.7795818215171328	0.7933544900128909	0.8050798024021445	0.8809254489463064	0.8589733528805191	0.8085752030986255	0.887806784766191	0.8109624523087489	0.8750278037557189	0.7939203120618565	0.7904554017761414	0.8584940036358565	0.7841703784159881	0.8785941821297202	0.7966769451007658	0.8494803384335626	0.7892122927339352	0.7958911922200468	0.846379813548639	0.8844438424115616	0.8586584519168722	0.8850371558144964	0.8057430937970008	0.9018313740328666	0.8772895924231829	0.8494488483371979	0.8183541276268613	0.8664994859116808	0.8809884291390357	0.8154145521233572	0.820322008728255	0.7949229967175323	0.782939765443768	0.8727710135162492	0.8160213612818769	0.8597206178656812	0.7407785251538391	0.8558013504752755	0.8798127988747539	0.868681799574034	0.7637463017880877	0.8763718810434118	0.8481197663334881	0.8019802772028197	0.7710200142055323	0.8534076033087594	0.8087421505936383	0.7888938928706921	0.7816316768376346	0.7872144210645752	0.773839627437171	0.8756441099274278	0.753957380403863	0.8746169329745795	0.8503560630181808	0.8736477377864662	0.7818840974513516	0.7998829368163712	0.7781642673379222	0.8201095755384932	0.8691011676827638	0.8812568447223348	0.7857293881074402	0.7789235285502709	0.7916710194643785	0.8599770372217937	0.7727334753220112	0.7595351262028092	0.849084962779206	0.7760909194058468	0.775494107103316	0.7781437737831453	0.8561367449936995	0.8862097870219816	0.7849816232794786	0.894466690225924	0.7910827044894381	0.8889289318509329	0.8328305747842304	0.8864891991468683	0.8592872541585671	0.8345180440751384	0.7786965999193254	0.8077274697107759
ParnanenK_2018_SRR5723804_bin.1	0.8129805456943704	0.828666315455487	0.8124237961538385	0.8534147305152627	0.8491453196121511	0.8096265787042303	0.7979403260277417	0.8529218375528563	1.0	0.8589203648605233	0.8703327326823953	0.7868676951566781	0.7938764534854716	0.8204053695400131	0.851096437401596	0.8513259219792346	0.8315119242182059	0.8694906240583649	0.8147874873035164	0.8622808172843793	0.8059149151006839	0.786282010604183	0.8279194928191282	0.8046821838151512	0.8490405549136639	0.8023988122676469	0.8603461625189823	0.775564083069426	0.8244877006243976	0.8331093364303773	0.8671833062940635	0.8492750282864686	0.8733000680471661	0.8194071116272851	0.8473718029306179	0.8919097706551087	0.8928077537849989	0.8138076879329027	0.8686530053499839	0.8442647813011975	0.8261060657762666	0.7990982253857836	0.8031171987715591	0.7777287212919782	0.8545925850539687	0.8176480624517334	0.8189471447129747	0.752288859222187	0.8597889140989338	0.8829878093801322	0.85886498923418	0.7752896993352929	0.850815568233747	0.8702199859116424	0.7977327921488337	0.782015592978171	0.8563291846512733	0.816442769539614	0.8208513678278586	0.7925773712242303	0.8030608253861826	0.7746616100238863	0.8434920169299753	0.7764176659223384	0.836052725578351	0.8267156965455587	0.8382393144996338	0.8003509118519805	0.820586462804541	0.798012164678133	0.854530225114393	0.8439734356634998	0.862749265150472	0.8045385065143688	0.7764545830065672	0.8076729665172023	0.8376880526337845	0.7766586247288589	0.7796249623345965	0.8691184599389771	0.7828671803130169	0.7989974517234292	0.7861722571105297	0.9035486297775197	0.8535439403100636	0.7999393362507807	0.8494895464786091	0.8106432951590727	0.8626295340664867	0.8295872470431411	0.8623157388505417	0.8356740760252473	0.8348489293047815	0.7806411799099223	0.811687948866845
MurphyR_2019_SRR7351807_bin.6	0.7665841751003861	0.841890629664224	0.7716694431337808	0.8291625340638812	0.8725370489845834	0.7851385184257913	0.761234580978151	0.8565686718215871	0.8309300041406272	1.0	0.8366406994771255	0.7520192779901588	0.7589538657088658	0.77347783801481	0.8471102273493245	0.8285919941453457	0.8164873999749637	0.8828881356585042	0.7850908530655085	0.8327403248947992	0.7577829348380822	0.7613549480495719	0.8355419888491945	0.7489085113963543	0.8964332829396527	0.7576644936398039	0.8465064661190768	0.7540804437211721	0.7808977457654864	0.8429888588238693	0.8473707016918796	0.8496547872391645	0.8670097930649309	0.7836440408670281	0.8661855193598398	0.8466436845804967	0.8447365887009023	0.7945175206309161	0.8338159250450173	0.870483586746141	0.7771759959171489	0.8037901183449047	0.7702211865304432	0.7513341486196304	0.8661373725312713	0.7968064208610579	0.836099047655731	0.7246868048801626	0.8381804350547429	0.8563481593467438	0.8635783685928607	0.7324658879719593	0.8710416084892488	0.825382526552976	0.7596240695625379	0.7321755625956918	0.8267571185086038	0.775289603173839	0.7540905545551715	0.7411583164016986	0.7592066365588499	0.7367798438116882	0.8464029504376547	0.727038777455729	0.8577506764629413	0.8233964698745294	0.8665384356132462	0.7678071045460235	0.7829613188379282	0.7644690849213762	0.8026004102109794	0.8608782944467448	0.8537395641749078	0.7545556529191422	0.7436523221215419	0.7681865015551426	0.8605200820421959	0.7432214080058547	0.7295265240878583	0.8504116553842599	0.7333811591830446	0.7687185240108234	0.7427616057930264	0.8526904447804023	0.87034203507015	0.7614011690049977	0.8335063409373225	0.7753858968309757	0.8533693150632168	0.8266170112374698	0.8922141763522037	0.8198610482527516	0.8142639794316748	0.7494843474660324	0.7717094050014925
