LABELS	
SEPARATOR TAB	
DATA	
1680.104	1-11
1680.7	150
1680.34	1892B
1680.4	22L
1680.39	487B
1680.142	6
1680.36	70B
1680.151	AF15-3
1680.37	AL12-4
1680.43	AL46-7
1680.160	AM13-11
1680.157	AM14-37
367928.6	ATCC 15703
1680.5	BBMN23
1680.1827	ca_0067
1437612.3	JCM 15918
1680.1826	Km 4
411481.5	L2-32
1680.178	P2P3
6666666.201645	STL_TW14.1_LFYP80
1680.143	TM06-4
1680.1909	ZJ2
518635.5	DSM 20098
1683.4	GT102
1167629.6	ATCC 27673
552531.3	BB-12
1042403.4	CNCM I-2494
555970.3	DSM 10140
1681.51	156B
1681.46	85B
1681.129	AM36-1AC
500634.6	ATCC 29521 = JCM 1255 = DSM 20456
1681.42	BF3
1681.1372	Bg41221_3D10
484020.3	BGN4
1681.806	BIOML-A8
1681.763	BSD2780061688st1_G1
1681.762	ICIS-202
1681.44	IPLA 20015
1681.47	LMG 11583
1207542.9	LMG 13195 = JCM 7004
1681.48	LMG 13200
1681.53	MJR8628B
398513.5	NCIMB 41171
1681.94	PRI 1
702459.3	PRL2010
883062.5	S17
1681.114	S6
1681.116	TM04-12
1681.137	TMC 3115
1385938.3	12L
1385942.3	689b
866777.3	ACS-071-V-Sch8b
216816.1985	Bg046.S10_2D4
216816.1988	Bg155.S08_4F7
1682.55	Bg155.S09_23A9
1685.589	Bg41221_3D4
1685.590	Bg41721_1A9
1685.400	Bg41721_1C11
1685.408	Bg42221_1C1
1685.409	Bg42221_1D1
1036735.3	CECT 7263
1074482.3	DPC 6330
518634.20	DSM 20213 = JCM 1192
1203540.3	HPH0326
1385939.3	JCM 7017
1385940.3	JCM 7019
1685.1289	JG_Bg463
1365960.3	MCC 0121
1365961.3	MCC 0305
1365962.3	MCC 0476
1365963.3	MCC 1094
1365964.3	MCC 1114
1365965.3	MCC 1128
1365966.3	MCC 1340
1365968.3	MCC 1604
1365969.3	MCC 1605
1385941.3	NCFB 2258
1682.56	PE1C332_2G11
6666666.201646	STL_TW14.1_LFYP81
326426.4	UCC2003
1686.6	1899B
566552.4	DSM 16992
630129.38	Bg42221_1E1
1150460.7	JCM 15439 = DSM 21854
630129.13	Bg41121_2E9
630129.10	Bg42221_1D3
1447716.4	PV20-2
871562.3	ATCC 27679
401473.3	Bd1
1161409.3	MSTE12
6666666.201629	STL_TW14.1_LFYP24
561180.4	B. gallicum DSM 20093
391904.5	ATCC 15697 = JCM 1222
1682.51	Bg064.S07_13.C6
1682.151	Bg40721_2D9
1682.153	Bg41721_1D11
1682.24	BT1
1682.29	IN-F29
1682.154	JG_Bg463
1682.137	LH_23
1682.138	LH_664
1682.136	LH_666
1682.50	Malawi264A_MC1
1682.49	Malawi264A_MC2
1678.111	R0033
1682.30	TPY12-1
216816.315	1
1350471.3	1-5B
1161744.3	1-6B
216816.107	105-A
469594.3	12_1_47BFAA
565040.3	157F
1350473.3	17-1B
216816.146	1886B
216816.145	1890B
1161745.3	2-2B
1679.29	296B
216816.126	35624
1161904.3	35B
216816.117	379
1161743.3	44B
1350472.3	7-1B
1457184.3	72B
216816.288	AF03-20
216816.286	AF04-13
216816.284	AF05-2
216816.283	AF08-2
216816.282	AF11-12
216816.280	AF11-41
216816.277	AF14-34
216816.275	AF26-10
216816.274	AF27-1BH
216816.311	AF30-12
216816.310	AF34-9AC
216816.309	AF35-13AC
216816.308	AF36-1
1679.26	AH1206
216816.306	AM10-15B
216816.305	AM11-2
216816.304	AM12-16
216816.303	AM16-2
216816.301	AM20-39
216816.299	AM21-20
216816.298	AM30-9LB
216816.297	AM31-13LB
216816.294	AM34-3
216816.296	AM39-10AC
216816.293	AM39-8AC
216816.295	AM42-13AT
216816.181	APC1462
216816.180	APC1464
216816.179	APC1465
216816.185	APC1466
216816.178	APC1468
216816.176	APC1472
216816.177	APC1473
216816.184	APC1476
216816.173	APC1478
216816.174	APC1480
216816.172	APC1482
216816.169	APC1503
216816.168	APC1504
548480.3	ATCC 55813
890402.3	BBMN68
216816.1984	Bg009.S10_1D10
216816.2012	Bg115.S08_3A11
216816.2011	Bg115.S08_3B11
216816.1991	Bg155.S09_3D10
216816.1983	Bg41721_1A7
216816.114	BG7
1679.8	BLOI2
1679.51	BORI
537937.5	CCUG 52486
1679.10	CCUG30698
1682.23	CECT 7210
1205679.3	CECT 7347
216816.115	CMW7750
205913.6	DJO10A
216816.171	DPC6316
216816.167	DPC6317
216816.183	DPC6320
216816.170	DPC6321
216816.182	DPC6323
1679.45	DS32_3
216816.228	DS9_3
1322347.4	E18
1457186.3	EK13
1457185.3	EK5
722911.3	F8
1300227.3	GT15
216816.324	ICIS-505
216816.147	Indica
565042.3	JCM 1217
1035817.4	KACC 91563
1679.14	LO-06
1679.20	LO-10
1679.22	LO-C29
1679.23	LO-K29a
1679.24	LO-K29b
1679.13	MC-42
1350472.4	MCC10007
206672.9	NCC2705
1679.9	NCIMB8809
216816.276	OF01-16
216816.272	OM05-2BH
1679.217	SC596
216816.271	TF01-22
216816.273	TF06-12AC
216816.267	TF07-34
216816.265	TF07-39
216816.269	TF08-4AC
216816.268	TM01-1
216816.264	TM02-7
216816.263	TM04-17
216816.292	TM04-48B
216816.291	TM05-14
216816.290	TM06-1
216816.222	UMB0788
1679.55	VKPM Ac-1636
1679.7	VMKB44
1679.31	W11
216816.144	1897B
216816.262	239-2
216816.1981	STL_TW14.1_LFYP82
216816.186	APC1461
1695.38	Bg131.S11_17.F6
216816.1989	Bg155.S08_5B11
1682.76	Bg41121_2E1
216816.378	BgEED06
759350.3	JDM301
28026.752	1001271st1_F3
28026.188	12
28026.102	1896B
28026.153	AF11-18
28026.142	AF26-1
28026.167	AM18-42
28026.157	AM43-10
28026.840	Bif4
28026.753	ca_0067
28026.27	CA-05
28026.28	CA-B29
28026.29	CA-C29
28026.30	CA-D29
28026.31	CA-K29a
28026.32	CA-K29b
28026.5	CECT 7765
547043.16	DSM 20438 = JCM 1200 = LMG 10505
1454376.3	IPLA36007
28026.1002	LH_663
28026.767	NBRC 113353
6666666.205261	STL_TW14.1_LFYP29
28026.137	TF05-2AC
28026.128	TM10-1
1694.11	AF13-3LB
1690.84	AFF13-10A
1447715.5	PV8-2
216816.113	981_BLON
1150461.5	JCM 12489 = DSM 13734
630129.8	Bg41721_1F7
1686.302	JG_Bg468
28026.754	SS_Bg39
1254439.12	B. thermophilum RBL67
