locus_tag	seed_id
BcK1E1_01291	fig|630129.38.peg.1303
BcK1E1_01331	fig|630129.38.peg.1346
BcK1E1_00333	fig|630129.38.peg.344
BcK1E1_00293	fig|630129.38.peg.304
BcK1E1_01481	fig|630129.38.peg.1505
BcK1E1_00483	fig|630129.38.peg.494
BcK1E1_01577	fig|630129.38.peg.1604
BcK1E1_01985	fig|630129.38.peg.2035
BcK1E1_01231	fig|630129.38.peg.1243
BcK1E1_01391	fig|630129.38.peg.1413
BcK1E1_00393	fig|630129.38.peg.401
BcK1E1_00233	fig|630129.38.peg.245
BcK1E1_00533	fig|630129.38.peg.543
BcK1E1_01531	fig|630129.38.peg.1556
BcK1E1_01723	fig|630129.38.peg.1754
BcK1E1_00721	fig|630129.38.peg.730
BcK1E1_01277	fig|630129.38.peg.1289
BcK1E1_01377	fig|630129.38.peg.1396
BcK1E1_00623	fig|630129.38.peg.633
BcK1E1_00593	fig|630129.38.peg.606
BcK1E1_01856	fig|630129.38.peg.1894
BcK1E1_01591	fig|630129.38.peg.1619
BcK1E1_01621	fig|630129.38.peg.1650
BcK1E1_01628	fig|630129.38.peg.1657
BcK1E1_01598	fig|630129.38.peg.1626
BcK1E1_00567	fig|630129.38.peg.579
BcK1E1_01595	fig|630129.38.peg.1623
BcK1E1_01625	fig|630129.38.peg.1653
BcK1E1_00317	fig|630129.38.peg.325
BcK1E1_00347	fig|630129.38.peg.358
BcK1E1_00728	fig|630129.38.peg.738
BcK1E1_00217	fig|630129.38.peg.228
BcK1E1_00725	fig|630129.38.peg.734
BcK1E1_00247	fig|630129.38.peg.259
BcK1E1_01538	fig|630129.38.peg.1563
BcK1E1_01559	fig|630129.38.peg.1585
BcK1E1_01535	fig|630129.38.peg.1560
BcK1E1_00367	fig|630129.38.peg.376
BcK1E1_01235	fig|630129.38.peg.1247
BcK1E1_01395	-
BcK1E1_01259	fig|630129.38.peg.1270
BcK1E1_01398	fig|630129.38.peg.1419
BcK1E1_01238	fig|630129.38.peg.1250
BcK1E1_00607	fig|630129.38.peg.617
BcK1E1_00547	fig|630129.38.peg.557
BcK1E1_00983	fig|630129.38.peg.999
BcK1E1_00517	fig|630129.38.peg.527
BcK1E1_01981	fig|630129.38.peg.2031
BcK1E1_01485	fig|630129.38.peg.1509
BcK1E1_01707	fig|630129.38.peg.1738
BcK1E1_01488	fig|630129.38.peg.1513
BcK1E1_01295	fig|630129.38.peg.1307
BcK1E1_01335	fig|630129.38.peg.1350
BcK1E1_00267	-
BcK1E1_01338	fig|630129.38.peg.1353
BcK1E1_01359	fig|630129.38.peg.1416
BcK1E1_01298	fig|630129.38.peg.1310
BcK1E1_00205	fig|630129.38.peg.215
BcK1E1_00208	fig|630129.38.peg.218
BcK1E1_01637	fig|630129.38.peg.1665
BcK1E1_01768	fig|630129.38.peg.1799
BcK1E1_01754	fig|630129.38.peg.1786
BcK1E1_00797	fig|630129.38.peg.810
BcK1E1_01956	fig|630129.38.peg.2005
BcK1E1_01352	fig|630129.38.peg.1371
BcK1E1_00737	fig|630129.38.peg.747
BcK1E1_01087	fig|630129.38.peg.1103
BcK1E1_00305	fig|630129.38.peg.315
BcK1E1_00668	fig|630129.38.peg.678
BcK1E1_00654	fig|630129.38.peg.664
BcK1E1_00308	fig|630129.38.peg.318
BcK1E1_00665	fig|630129.38.peg.675
BcK1E1_01697	fig|630129.38.peg.1727
BcK1E1_01527	fig|630129.38.peg.1552
BcK1E1_01227	fig|630129.38.peg.1239
BcK1E1_01718	fig|630129.38.peg.1749
BcK1E1_01745	fig|630129.38.peg.1778
BcK1E1_00771	fig|630129.38.peg.779
BcK1E1_01885	fig|630129.38.peg.1928
BcK1E1_01773	fig|630129.38.peg.1804
BcK1E1_01888	fig|630129.38.peg.1931
BcK1E1_01748	fig|630129.38.peg.1781
BcK1E1_01715	fig|630129.38.peg.1746
BcK1E1_00645	fig|630129.38.peg.654
BcK1E1_01671	fig|630129.38.peg.1701
BcK1E1_00618	fig|630129.38.peg.628
BcK1E1_00615	fig|630129.38.peg.625
