phenotype	description	type_group	detailed_group	origin
Glc	D-glucose utilization	monosaccharides_and_derivatives	monosaccharides	universal
Gal	D-galactose utilization	monosaccharides_and_derivatives	monosaccharides	universal
Rib	D-ribose utilization	monosaccharides_and_derivatives	monosaccharides	universal
GlcNAc	N-acetylglucosamine utilization	monosaccharides_and_derivatives	aminosugars	universal
Chb	Diacetylchitobiose utilization	di_and_oligosaccharides	disaccharides	universal
Fuc	L-fucose utilization	monosaccharides_and_derivatives	deoxymonosaccharides	universal
Neu5Ac	N-acetylneuraminic acid utilization	monosaccharides_and_derivatives	sialic_acids	animal
ManNAc	N-acetylmannosamine utilization	monosaccharides_and_derivatives	aminosugars	animal
LNB	Lacto-N-biose utilization	di_and_oligosaccharides	disaccharides	animal
LNT	LNT utilization	di_and_oligosaccharides	oligosaccharides	animal
LNnT	LNnT utilization	di_and_oligosaccharides	oligosaccharides	animal
FL	2'FL and 3FL utilization	di_and_oligosaccharides	oligosaccharides	animal
LDFT	LDFT utilization	di_and_oligosaccharides	oligosaccharides	animal
LNFPI	LNFP I utilization	di_and_oligosaccharides	oligosaccharides	animal
SL	Sialyllactose utilization	di_and_oligosaccharides	oligosaccharides	animal
lcHMO	Long-chain HMO utilization 	di_and_oligosaccharides	oligosaccharides	animal
Nglyc	N-glycan utilization	di_and_oligosaccharides	N-glycans	universal
Ncore	N-glycan core utilization	di_and_oligosaccharides	N-glycans	universal
GalNAc	N-acetylgalactosamine utilization	monosaccharides_and_derivatives	aminosugars	animal
GNB	Galacto-N-biose utilization	di_and_oligosaccharides	disaccharides	animal
Tan	T antigen degradation	di_and_oligosaccharides	O-glycans	animal
Muc	Mucin O-glycan degradation	di_and_oligosaccharides	O-glycans	animal
GlcNAc6S	N-acetylglucosamine-6-sulfate utilization	monosaccharides_and_derivatives	aminosugars	animal
Mal	Maltose utilization	di_and_oligosaccharides	disaccharides	universal
MOS	Maltooligosaccharide utilization	di_and_oligosaccharides	oligosaccharides	universal
ST	Starch degradation	polysaccharides	homopolysaccharides	plant
RST	Resistant starch degradation	polysaccharides	homopolysaccharides	plant
IMO	Panose and isomaltooligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
Mlz	Melezitose utilization	di_and_oligosaccharides	oligosaccharides	animal
Cld	Cellobiose and cellodextrin utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
Bgl	Beta-glucose oligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
BGL12	"1,2-beta-oligoglucan utilization"	di_and_oligosaccharides	oligosaccharides	bacterial
Mel	Melibiose utilization	di_and_oligosaccharides	disaccharides	plant
RFO	Raffinose family oligosaccharide utilization	di_and_oligosaccharides	oligosaccharides	plant
Lac	Lactose utilization	di_and_oligosaccharides	disaccharides	animal
GOS	Galactooligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	universal
AGI	Type I galactan and arabinogalactan degradation	polysaccharides	homopolysaccharides;heteropolysaccharides	plant
AGII	Type II arabinogalactan degradation	polysaccharides	heteropolysaccharides	plant
GalAf	Galactosylarabinose utilization	di_and_oligosaccharides	disaccharides	plant
GA	Gum arabic degradation	polysaccharides	heteropolysaccharides	plant
Fru	D-fructose utilization	monosaccharides_and_derivatives	monosaccharides	plant
Scr	Sucrose utilization	di_and_oligosaccharides	disaccharides	plant
scFOS	Short-chain fructooligosaccharide utilization	di_and_oligosaccharides	oligosaccharides	plant
lcFOS	Long-chain fructooligosaccharide utilization	di_and_oligosaccharides	oligosaccharides	plant
DFA	Difructose dianhydride utilization (production)	di_and_oligosaccharides	disaccharides	plant
Man	D-mannose utilization	monosaccharides_and_derivatives	monosaccharides	universal
bMnOS	Beta-mannose oligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
GmOS	Glucomannan oligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
bMAN	Beta-mannan family polysaccharide degradation	polysaccharides	homopolysaccharides;heteropolysaccharides	plant
Xyl	D-xylose utilization	monosaccharides_and_derivatives	monosaccharides	universal
XOS	Xylooligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
AXOS	Arabinoxylooligosaccharide utilization	di_and_oligosaccharides	oligosaccharides	plant
XL	Xylan degradation	polysaccharides	homopolysaccharides	plant
AX	Arabinoxylan degradation	polysaccharides	heteropolysaccharides	plant
Ara	L-arabinose utilization	monosaccharides_and_derivatives	monosaccharides	plant
aAOS	Alpha-arabinooligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
bAOS	Beta-arabinooligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
AR	Arabinan degradation	polysaccharides	homopolysaccharides	plant
HRGP	Hydroxyproline-rich glycoprotein oligoarabinofuranoside degradation	di_and_oligosaccharides	O-glycans	plant
XGlOS	Xyloglucan oligosaccharide utilization	di_and_oligosaccharides	disaccharides;oligosaccharides	plant
XGL	Xyloglucan degradation	polysaccharides	heteropolysaccharides	plant
GlcA	D-glucuronate utilization	monosaccharides_and_derivatives	uronic_acids	universal
GluA	Glucuronide utilization	di_and_oligosaccharides	oligosaccharides	universal
GalA	D-galacturonate utilization	monosaccharides_and_derivatives	uronic_acids	plant
Gco	D-gluconate utilization	monosaccharides_and_derivatives	sugar_acids	universal
Glt	D-galactonate utilization	monosaccharides_and_derivatives	sugar_acids	animal
Ino	Inositol utilization	monosaccharides_and_derivatives	sugar_alcohols	universal
Mtl	D-mannitol utilization	monosaccharides_and_derivatives	sugar_alcohols	plant
Stl	D-sorbitol utilization	monosaccharides_and_derivatives	sugar_alcohols	plant
Asc	L-ascorbate utilization	monosaccharides_and_derivatives	uronic_acids	universal
