phenotype	origin	odds_ratio	conf_int_low	conf_int_high	log2_odds_ratio	p_value	p_adj
AXOS	plant	4.518524450680521	3.7299482495874177	5.493988336814074	2.17585172944833	1.3288114702081276e-63	1.8071835994830535e-62
aAOS	plant	3.5696158003041623	2.9856929750944055	4.278488546179216	1.835768804555855	4.3702864153955725e-50	4.952991270781649e-49
Gco	universal	2.80841716943411	2.382166158980361	3.3135390549780044	1.4897572531537093	9.83646990553984e-37	6.080726850697356e-36
XOS	plant	2.4171073668097853	2.0580800032042013	2.842049194526545	1.273281558384316	1.0332773048516567e-28	4.684190448660843e-28
Scr	plant	2.2104713793131388	1.7355999549207088	2.831846676023674	1.1443540547216045	1.0910934240338985e-11	2.4731450944768364e-11
lcFOS	plant	2.1656196787877575	1.827349099552157	2.5677747240161377	1.1147799023628349	6.640074789376368e-20	2.257625428387965e-19
RST	plant	2.149123178422202	1.6889754390504959	2.739939829632337	1.103748174159836	1.4694221453059747e-10	2.8548773108801794e-10
scFOS	plant	2.125564969504346	1.6911743111976774	2.6843015703012667	1.0878463567184342	1.013910447381256e-11	2.377445186962945e-11
Mal	universal	2.0877778043488773	1.6493327031953282	2.656630231128421	1.0619681785641648	1.358787177603928e-10	2.717574355207856e-10
MOS	universal	2.067348470905265	1.634325161034628	2.628725156955476	1.0477815889926825	2.053522770464278e-10	3.878876344210303e-10
IMO	plant	2.0455842751515414	1.6152278585422182	2.60403091697961	1.0325129754262206	4.6373646148497065e-10	8.522724157021083e-10
Mel	plant	1.9756821684897006	1.5641804536546067	2.507558721031122	0.9823508766673498	2.253209019330713e-9	3.830455332862212e-9
RFO	plant	1.9756821684897006	1.5641804536546067	2.507558721031122	0.9823508766673498	2.253209019330713e-9	3.830455332862212e-9
HRGP	plant	1.963844133797282	1.682738213870126	2.2932231136895576	0.9736804305074457	1.7790141892987344e-18	5.2596941248832145e-18
bAOS	plant	1.8926484325545716	1.621329786027549	2.2105256806783165	0.9204064492271221	1.3597218135018407e-16	3.8525451382552157e-16
AR	plant	1.7446144635035308	1.4337457334406278	2.1236641248619708	0.8029082553204989	1.2607511956580512e-8	1.948433666016988e-8
bMAN	plant	1.7443577290048322	1.341840138912349	2.2702321977806728	0.8026959351480646	1.862890337902939e-5	2.6390946453624972e-5
Ara	plant	1.73847350443531	1.4905209634698913	2.028460732056444	0.7978210795411977	6.391633857600699e-13	1.552253936845884e-12
XL	plant	1.670433713298939	1.1274614997181929	2.481887102935432	0.7402227343087332	0.008522744882575846	0.010732345407688103
PUL	fungal	1.6500855656081836	1.4136746749336364	1.9264332629017247	0.7225408377304268	1.0450682688464787e-10	2.153474008532138e-10
Xyl	universal	1.600408775820472	1.3726474493875684	1.8667544842272248	0.6784404448171233	9.548384587085899e-10	1.7086582945311608e-9
ST	plant	1.5795215274249763	1.3542425907826046	1.8427681379941117	0.6594875998246486	3.0939959405144588e-9	5.131505462316663e-9
AX	plant	1.536502974111612	1.308634169251297	1.8043052517735885	0.6196505594671077	9.872403397049269e-8	1.4918298466652227e-7
AGII	plant	1.4405641390938393	1.2242833881604556	1.6951655733539457	0.5266338958970365	8.126420793646163e-6	1.1757374765275302e-5
Gal	universal	1.4130351997052828	0.6763729560156414	3.114465352857038	0.4987974046723716	0.39564306842617014	0.4559954008979588
Glc	universal	1.409531021028128	0.4375922094235952	5.269696864611663	0.49521522916123795	0.6076052251033467	0.6558278620163107
Rib	universal	1.3575601884767756	1.1649550751369708	1.5824886331598613	0.4410161624436455	7.070656217948341e-5	9.812339241234433e-5
BglOS	universal	1.3092577946714474	1.1236131904283013	1.5258801316003985	0.3887491939034511	4.343798295577512e-4	5.791731060770016e-4
Mlz	host (animal)	1.056968756752196	0.8803253570925644	1.2682526333341273	0.07993273230730698	0.5531629363776224	0.6166406503881692
bMnOS	plant	1.0453926869447834	0.8461212521231033	1.2900329172180949	0.06404497205785303	0.6745808241053491	0.7057153236794422
Stl	plant	0.9624062042577952	0.8262105277202126	1.121091398363679	-0.05528215185061505	0.6196836904288988	0.658413921080705
Tan	host (animal)	0.94961781741493545	0.8146553515984042	1.1068702287357681	-0.07458109076788542	0.5146223398357448	0.583238651813844
GmOS	plant	0.9435486641032764	0.7659568944960036	1.1606280844922647	-0.08383116725778521	0.6067857508475247	0.6558278620163107
XglOS	plant	0.8109610717942427	0.6705698720093239	0.9793355129214568	-0.30229543183485563	0.028576632772800592	0.03409142155351649
Chb	universal	0.7104517115785784	0.012036010196950468	13.66240484118355	-0.4931915000760222	0.9999999999999999	0.9999999999999999
Glt	host (animal)	0.7104517115785784	0.012036010196950468	13.66240484118355	-0.4931915000760222	0.9999999999999999	0.9999999999999999
Asc	universal	0.7097054417970535	0.1560203586167057	2.656623638073211	-0.49470772637465527	0.7709827625387257	0.7943458765550506
Fru	plant	0.6353748045043035	0.32726819063624374	1.2265516016535922	-0.6543202131101057	0.15652379944473738	0.18351066141796796
GalAf	plant	0.5868601828556204	0.4208731552273778	0.810182664761537	-0.7689112670676163	7.191485003405668e-4	9.404249619838182e-4
Mtl	universal	0.5745074353866533	0.48699309938872193	0.6770384308465236	-0.7996025302561199	1.1970132562211773e-11	2.625706497517421e-11
Nglyc	universal	0.5515177410881433	0.4680975010023003	0.6491608741807643	-0.8585208000621579	1.858629799269292e-13	4.680993568530069e-13
LNFPI	host (animal)	0.47931749321398437	0.40489380314142304	0.5666840714033958	-1.0609465012427626	5.078896335710981e-19	1.5698406855833942e-18
GA	plant	0.45522902032101986	0.2838795918969473	0.7105443868147052	-1.1353355641789602	2.735998204818156e-4	3.7209575585526924e-4
LNB	host (animal)	0.4552022442759684	0.38191934139046385	0.5422064029682592	-1.1354204243302393	1.8652378849772355e-19	6.03981791325962e-19
Muc	host (animal)	0.45133764236831636	0.3519472995495372	0.5753697095182031	-1.1477209879669057	1.34670542146561e-11	2.8617490206144213e-11
PG	plant	0.42598630383604313	0.35433507693365757	0.5109935601281322	-1.2311210487213775	6.790939261049589e-22	2.565465943063178e-21
Lac	host (animal)	0.4112895716376136	0.18950599950874475	0.8574457177034353	-1.2817736025225228	0.014352118170884876	0.017744437011275847
GNB	host (animal)	0.4109873030493331	0.3506234463622501	0.48144044307352757	-1.2828342705928422	1.3296940599693515e-29	6.458514005565421e-29
L-Xul	universal	0.4017341087112852	0.30836114762444267	0.5193978114263839	-1.315687138160262	9.595678154490279e-14	2.5096389019436116e-13
DFA	plant	0.3811934713211735	0.26156332950615935	0.5454524123363053	-1.3914046843835384	1.1115783514578615e-8	1.757844834863595e-8
LNT	host (animal)	0.3713534648782804	0.31612290523000813	0.43586863835821504	-1.4291350555850457	1.2100566766368364e-35	6.856987834275407e-35
XGL	plant	0.3602960264715371	0.2131112403239909	0.5859263356113229	-1.4727453538121378	7.3331976957681515e-6	1.0840379202439875e-5
