phenotype	origin	odds_ratio	conf_int_low	conf_int_high	log2_odds_ratio	p_value	p_adj
Glc	universal	Inf	0.18938660757892045	Inf	Inf	1	1
Lac	host (animal)	Inf	0.25777530036840346	Inf	Inf	0.6160039499035704	0.709970654126149
Chb	universal	56.23072049465208	11.464775691137945	539.1218034769139	5.813286627403678	4.165345556937399e-9	2.852196696273551e-8
Glt	host (animal)	5.90956371286217	0.09966257989365622	114.20620732828505	2.56305162405355	0.21707237152439252	0.2754485236517268
BGL12	bacterial	4.4525882999069815	1.7908056404055321	10.114966602794643	2.1546442218995527	8.251581544309842e-4	0.002078176092640997
Ncore	universal	4.372894449097593	2.8100572270772357	6.710177470205111	2.128588525734178	1.282077238049969e-10	1.453020869789965e-9
GluA	universal	4.171533964285572	2.1025685644957317	7.867545235887462	2.0605779917576403	3.721263342966732e-5	1.2049805110558943e-4
LNT	host (animal)	3.7155639471255073	2.0706916546282557	7.242739088025261	1.8935811991821516	3.7325742996298703e-7	1.8129646598202225e-6
Ino	universal	3.7154532700250322	1.9686297326826367	6.7022750076372075	1.89353822436475	4.147538725597983e-5	1.2819665151848312e-4
LNB	host (animal)	3.514460526728944	1.7699758995923784	7.942637577325174	1.8133032511344087	3.627716983975911e-5	1.2049805110558943e-4
Fuc	universal	3.453340338970096	2.3995542699998977	4.978937764871257	1.7879925239244077	6.4913728853986095e-12	2.2070667810355271e-10
LDFT	host (animal)	3.2945013009955804	2.2835011231379387	4.786225330383203	1.7200600964830735	2.0571923603805294e-11	4.662969350195867e-10
2'FL	host (animal)	3.260693255434037	2.261891035377081	4.731779775371741	1.7051787282133166	3.2022813094908815e-11	5.443878226134499e-10
3FL	host (animal)	3.2231175516494788	2.234279033788398	4.6816531052631545	1.688456806482813	4.688977813714359e-11	6.377009826651529e-10
Scr	plant	3.168360983774452	1.594153116386584	7.165719923670882	1.6637367166777255	2.3816638945327662e-4	6.748047701176171e-4
lcFHMO	host (animal)	3.0297460046883464	2.1082597393776976	4.365025523214907	1.5991968520691668	6.405373142955302e-10	6.222362481728007e-9
lcFOS	plant	2.6921628352811986	1.8558265575779374	3.889693780772486	1.428765673896192	1.1464705636781634e-7	5.996922948470394e-7
LNFPI	host (animal)	2.6150078404307804	1.8050812660402278	3.824559458003473	1.386815272030017	7.549019639177274e-8	4.277777795533789e-7
MOS	universal	2.380181425505776	1.2948598096018695	4.788505823385162	1.2510715448364964	0.002516058108491565	0.005519095205723432
Mal	universal	2.380181425505776	1.2948598096018695	4.788505823385162	1.2510715448364964	0.002516058108491565	0.005519095205723432
Mel	plant	2.341668545875344	1.2736718365357154	4.711484105261602	1.2275368823877606	0.0034282515312220514	0.006665826627016791
RFO	plant	2.341668545875344	1.2736718365357154	4.711484105261602	1.2275368823877606	0.0034282515312220514	0.006665826627016791
IMO	plant	2.3320756212586264	1.2683769674214809	4.692298533106852	1.221614570976635	0.003430940175670407	0.006665826627016791
GlcA	universal	2.231542902828712	1.1862330011214701	3.9704815229524164	1.1580415435842681	0.008049004061707605	0.014034160928105567
Neu5Ac	host (animal)	2.228702305664043	1.541159547873445	3.2107765690990564	1.1562039244377253	1.1411567791822519e-5	4.5646271167290075e-5
XglOS	plant	2.096936124348974	1.4360947595820552	3.0406920196887457	1.0682829155649247	8.34840178391455e-5	2.468223136113867e-4
LNnT	host (animal)	1.8641297697948143	1.3004284426470356	2.6795024384921713	0.8985022954657801	4.5964610268896266e-4	0.0012502373993139785
