phenotype	origin	odds_ratio	conf_int_low	conf_int_high	log2_odds_ratio	p_value	p_adj
bMAN	plant	15.355952872490782	3.0102947829111084	151.59656021879871	3.9407261325521343	9.878756766927205e-5	2.963627030078161e-4
aAOS	plant	6.484574581524182	2.8241275059646567	16.41361109328109	2.697011930027116	4.544512243713641e-7	2.499481734042503e-6
AXOS	plant	5.731960351445494	2.6385401562417905	13.232287314314094	2.5190286303657956	8.823704114503273e-7	4.159746225408686e-6
scFOS	plant	5.279819969135069	1.2372959378649357	47.70102801697507	2.4004887375261315	0.0174580674569077	0.039732153522617525
bAOS	plant	4.88390566148599	2.3228005273684214	10.479037807638612	2.28803533320394	8.715393078844744e-6	3.383623195316195e-5
HRGP	plant	4.32574115054699	2.0539622567607845	9.248929786434056	2.1129473379778396	3.8741428942296864e-5	1.3457549001008384e-4
PUL	fungal	4.095376469389019	1.9766223893908883	8.683614056844895	2.0339960783756994	5.3816925250844814e-5	1.6913890793122656e-4
ST	plant	4.095376469389019	1.9766223893908883	8.683614056844895	2.0339960783756994	5.3816925250844814e-5	1.6913890793122656e-4
AR	plant	3.7032449637800635	1.1000808439107304	12.798680427893636	1.888789984654492	0.025913947750129132	0.053447517234641334
Gco	universal	3.2819964194039484	1.5984730248113117	6.865231895182709	1.714573664899467	5.62468623288507e-4	0.0016140403972626722
AX	plant	3.089637320687861	1.1368015016796857	8.34976033010734	1.6274374962674971	0.019434918355187854	0.042756820381413284
GalAf	plant	2.9371891193444464	0.20758569941086194	41.551231808364044	1.5544361607108874	0.2740719892422679	0.4206686346509228
XOS	plant	2.8719660532711564	1.378995290880777	6.215745315909421	1.5220386965611044	0.002714524234624547	0.007166343979408804
AGII	plant	2.2057528165294786	0.8830904448246264	5.3671646113140055	1.1412711271270317	0.06824828647792747	0.12869676878694894
MOS	universal	2.178559970839246	0.45870217170285144	20.763196561591183	1.1233748279381952	0.5253852532842256	0.7076617697297732
Mal	universal	2.178559970839246	0.45870217170285144	20.763196561591183	1.1233748279381952	0.5253852532842256	0.7076617697297732
BglOS	universal	1.9479675873219129	0.9588664817242283	4.035503421086956	0.9619696722873112	0.04877840720308384	0.09468749633539804
Tan	host (animal)	1.8467534405835255	0.752944053270296	4.3791378598969235	0.8849912654585544	0.13166639011501946	0.2172495436897821
RST	plant	1.6963172113902538	0.3476946038938925	7.043890981939326	0.7624059791627166	0.4784466577150398	0.6864669436781006
Scr	plant	1.5987481231124339	0.31443867084613647	15.735528677340135	0.6769426654224879	0.7316094114519001	0.8838756581780859
Mtl	universal	1.4967742977532978	0.725553289647725	3.064145003259463	0.5818566902932696	0.2992447969572162	0.44886719543582426
