contrast	estimate	SE	df	z.ratio	p.value
Bifidobacterium longum subsp. nov. - Bifidobacterium adolescentis	-0.17619584855156248	0.04089390899935678	Inf	-4.308608613432721	0.004156405286029162
Bifidobacterium longum subsp. nov. - Bifidobacterium angulatum	-0.1532461116968352	0.13025703000427338	Inf	-1.176490141774364	1
Bifidobacterium longum subsp. nov. - Bifidobacterium animalis subsp. animalis	0.0893155254744538	0.24577593025496938	Inf	0.3634022476562182	1
Bifidobacterium longum subsp. nov. - Bifidobacterium animalis subsp. lactis	0.24838022010416605	0.09208056366346835	Inf	2.6974228895028727	1
Bifidobacterium longum subsp. nov. - Bifidobacterium bifidum	0.08714460053183803	0.04155538264643866	Inf	2.0970713053777263	1
Bifidobacterium longum subsp. nov. - Bifidobacterium breve	-0.3871971086343031	0.041352054383662296	Inf	-9.363431017039872	1.9528702211799025e-18
Bifidobacterium longum subsp. nov. - Bifidobacterium catenulatum subsp. catenulatum	-0.008403410796376356	0.05126698338502029	Inf	-0.16391467259280462	1
Bifidobacterium longum subsp. nov. - Bifidobacterium catenulatum subsp. kashiwanohense	-0.3563296599392138	0.057398669390856985	Inf	-6.207977706116885	1.3578702866527658e-7
Bifidobacterium longum subsp. nov. - Bifidobacterium catenulatum subsp. kashiwanohense_A	-0.3161495826337031	0.10670613876224981	Inf	-2.96280594819489	0.7712671769691828
Bifidobacterium longum subsp. nov. - Bifidobacterium dentium	-0.4554449457502931	0.043636365101501595	Inf	-10.437279656334631	4.238841717078176e-23
Bifidobacterium longum subsp. nov. - Bifidobacterium gallicum	0.5246335967322834	0.30412393754853534	Inf	1.7250651197048794	1
Bifidobacterium longum subsp. nov. - Bifidobacterium longum subsp. infantis	-0.4907787938044797	0.042536999836713586	Inf	-11.537691790404308	2.1550622139364764e-28
Bifidobacterium longum subsp. nov. - Bifidobacterium longum subsp. longum	-0.44555935352418463	0.04022787691752623	Inf	-11.075885372664699	4.1554889674458726e-26
Bifidobacterium longum subsp. nov. - Bifidobacterium longum subsp. suis	-0.4001061896283305	0.06313576350780195	Inf	-6.337235306877816	5.918292362295739e-8
Bifidobacterium longum subsp. nov. - Bifidobacterium pseudocatenulatum	-0.3492174115209526	0.04098549634267797	Inf	-8.520511953818025	4.0188941383745175e-15
