seed_id	locus_tag	annotation	logFC	AveExpr	t	P.Value	adj.P.Val	B
fig|630129.38.peg.1997	BcK1E1_01948	Putative xyloglucan oligosaccharide ABC transporter-2 substrate-binding component (TC 3.A.1.1)	9.14345358917581	7.9277356631247935	137.5625009742065	2.496774508906015e-20	4.811284478661891e-17	35.68186414814949
fig|630129.38.peg.1995	BcK1E1_01946	Putative xgl-cluster alpha-1,2-L-fucosidase (GH29)	9.116823660176513	5.764302310881426	93.3530405920378	2.4442753917542378e-18	5.887648349888021e-16	31.71941871705098
fig|630129.38.peg.1996	BcK1E1_01947	Putative xgl-cluster xyloglucan acetylesterase	8.950580092910027	4.806609550849857	81.65068806811477	1.1899446618927875e-17	2.084566694061274e-15	30.217906617111254
fig|630129.38.peg.1994	BcK1E1_01945	Putative xgl-cluster beta-1,4-glucosidase (GH3)	8.882232484335685	6.078013579514583	77.62983847399855	2.1607876645856866e-17	2.9741698783261555e-15	30.097479663205313
fig|630129.38.peg.1991	BcK1E1_01943	Putative extracellular xyloglucan endo-beta-1,4-glucanase (GH5_4)	8.683214509785234	6.9940812123120075	95.26960794156008	1.922351353654137e-18	5.887648349888021e-16	32.346236935389896
fig|630129.38.peg.1972	BcK1E1_01925	Cellobiose phosphorylase (EC 2.4.1.20)	8.349743401322065	6.9266477713800905	96.09472878053543	1.736061748574619e-18	5.887648349888021e-16	32.516302707587045
fig|630129.38.peg.1998	BcK1E1_01949	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 2 (TC 3.A.1.1)	8.33758381312445	6.268709509412957	84.87988421225009	7.524862842684716e-18	1.6111567442059387e-15	31.17172267411851
fig|630129.38.peg.1999	BcK1E1_01950	Putative xyloglucan oligosaccharide ABC transporter-2 permease component 1 (TC 3.A.1.1)	8.201933133764236	6.338007024471152	94.3709662980695	2.1502154301398265e-18	5.887648349888021e-16	32.292097310921775
fig|630129.38.peg.536	BcK1E1_00526	Xylose isomerase (EC 5.3.1.5)	7.977235405030003	7.729378845879789	119.72426682763167	1.2903461606372408e-19	1.2432485257739816e-16	34.6968003549363
fig|630129.38.peg.1990	BcK1E1_01942	Putative xyloglucan endo-beta-1,4-glucanase (GH5_4)	7.520853052731262	5.7754735190935245	73.59230416361723	4.06060772614561e-17	4.890494430176618e-15	29.655553581116017
fig|630129.38.peg.1993	BcK1E1_01944	Putative xgl-cluster alpha-1,6-xylosidase (GH31)	7.494121837276975	8.380790254774489	113.72479482742975	2.369802123322989e-19	1.5222028972144667e-16	34.32020918317336
fig|630129.38.peg.1973	BcK1E1_01926	Putative xyloglucan acetylesterase	7.254495883723937	3.320576396193312	60.15151903259178	4.3903937751411804e-16	4.452783581419502e-14	27.1303159161368
fig|630129.38.peg.1989	BcK1E1_01941	Putative xgl-cluster alpha-1,2-L-arabinofuranosidase (GH43_12)	7.0179670426428	6.475483006278192	80.49427405737642	1.4083633897979007e-17	2.2615968767837956e-15	30.714749947705037
fig|630129.38.peg.1988	BcK1E1_01940	Putative xgl-cluster beta-1,2-galactosidase (GH42)	6.6520667054916185	7.284939883916661	98.47121172481273	1.3006334066011031e-18	5.887648349888021e-16	32.881345333130355
