Organism	seed_id	Gene_ID	EC#	HMMER	dbCAN_sub	DIAMOND	Signalp	#ofTools	Families	Function	Subsystem
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1080	3.2.1.49:1	GH129(3-627)	GH129_e0	GH129	N	3	GH129	Alpha-N-acetylgalactosaminidase (GH129)	O-glycan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.115	3.2.1.55:5	GH51(268-750)	GH51_e47	GH51	N	3	GH51	Putative alpha-L-arabinofuranosidase (GH51)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1286	3.2.1.26:6	GH32(44-352)	GH32_e28	GH32	N	3	GH32	Beta-2,1/6-fructofuranosidase-2 (GH32)	Fructose and fructoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1337	3.2.1.177:12	GH31(260-471)	GH31_e31	GH31	N	3	GH31	Putative xgl-cluster alpha-xylosidase (GH31)	Xyloglucan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1339	3.2.1.52:1	GH20(177-492)	GH20_e24	GH20	N	3	GH20	Beta-1,3/4/6-N-acetylglucosaminidase-1 (GH20)	HMO utilization in bifidobacteria; N-glycan utilization in bifidobacteria; N-acetylglucosamine utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1476	3.2.1.55:37	GH51(9-515)	GH51_e0	GH51	N	3	GH51	Putative alpha-1,5-L-arabinofuranosidase (GH51)	Arabinose and arabinoside utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1488	3.2.1.68:15|3.2.1.-:1	GH13_11(230-596)	GH13_e48	CBM48+GH13_11	N	3	GH13_11	Putative glycogen debranching enzyme-2 (GH13_11)	Maltose and starch utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1534	3.2.1.55:37	GH51(8-471)	GH51_e0	GH51	N	3	GH51	Putative alpha-L-arabinofuranosidase in locus with alpha-xylosidase (GH51)	Xyloglucan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1535	3.2.1.88:2	GH36(86-627)	GH36_e35	GH36	N	3	GH36	Putative beta-L-arabinopyranosidase in locus with alpha-xylosidase (GH36)	Xyloglucan utilization in bifidobacteria
Bifidobacterium longum subsp. longum VMKB44	fig|1679.7	fig|1679.7.peg.1539	3.2.1.177:12	GH31(240-670)	GH31_e31	GH31	N	3	GH31	Putative alpha-xylosidase-2 (GH31)	Xyloglucan utilization in bifidobacteria
