target_id	length	eff_length	est_counts	tpm
BcK1E1_00001	1476	1327	34512	384.723
BcK1E1_00002	1125	976	20361	308.602
BcK1E1_00003	1203	1054	3250	45.6134
BcK1E1_00004	486	337	419	18.3922
BcK1E1_00005	2097	1948	58614	445.104
BcK1E1_00006	2706	2557	74419	430.529
BcK1E1_00007	540	391	20027	757.685
BcK1E1_00008	1347	1198	34284	423.335
BcK1E1_00009	468	319	435	20.172
BcK1E1_00010	966	817	1946	35.2347
BcK1E1_00011	1449	1300	2615	29.7562
BcK1E1_00012	324	175	480	40.5744
BcK1E1_00013	1446	1297	168	1.9161
BcK1E1_00014	1170	1021	104	1.5068
BcK1E1_00015	180	33.6633	2	0.878866
BcK1E1_00016	447	298	320	15.8849
BcK1E1_00017	717	568	2362	61.515
BcK1E1_00018	74	5.2474	0	0
BcK1E1_00019	74	5.2474	0	0
BcK1E1_00020	75	5.29865	0	0
BcK1E1_00021	777	628	591	13.9212
BcK1E1_00022	984	835	2171	38.4612
BcK1E1_00023	1332	1183	4366	54.5944
BcK1E1_00024	1335	1186	1779	22.1892
BcK1E1_00025	696	547	3598	97.3023
BcK1E1_00026	2757	2608	87419	495.847
BcK1E1_00027	1842	1693	6100	53.2994
BcK1E1_00028	1629	1480	4687	46.8471
BcK1E1_00029	1101	952	11130	172.945
BcK1E1_00030	381	232	7484	477.194
BcK1E1_00031	438	289	378	19.3483
BcK1E1_00032	2448	2299	105482	678.717
BcK1E1_00033	228	79.0036	5348	1001.37
BcK1E1_00034	795	646	3903	89.3749
BcK1E1_00035	1488	1339	3306	36.5234
BcK1E1_00036	474	325	9496	432.222
BcK1E1_00037	768	619	2932	70.0685
BcK1E1_00038	1092	943	3258	51.108
BcK1E1_00039	645	496	1936	57.7395
BcK1E1_00040	2097	1948	20887	158.612
BcK1E1_00041	945	796	6787	126.129
BcK1E1_00042	1467	1318	13853	155.481
BcK1E1_00043	1626	1477	16562	165.875
BcK1E1_00044	1617	1468	19922	200.75
BcK1E1_00045	516	367	8765	353.293
BcK1E1_00046	708	559	21161	559.982
BcK1E1_00047	2448	2299	8973	57.7362
BcK1E1_00048	1266	1117	783	10.3695
BcK1E1_00049	657	508	190	5.53273
BcK1E1_00050	1071	922	3125	50.1382
BcK1E1_00051	984	835	1971	34.918
BcK1E1_00052	228	79.0036	78	14.6049
BcK1E1_00053	86	5.93769	0	0
BcK1E1_00054	249	100	994	147.04
BcK1E1_00055	1257	1108	145	1.93588
BcK1E1_00056	717	568	359	9.34965
BcK1E1_00057	1368	1219	6790	82.3978
BcK1E1_00058	1956	1807	33004	270.183
BcK1E1_00059	2487	2338	13830	87.5038
BcK1E1_00060	1011	862	2940	50.4533
BcK1E1_00061	1506	1357	8166	89.0182
BcK1E1_00062	1455	1306	19304	218.652
BcK1E1_00063	1101	952	10300	160.048
BcK1E1_00064	74	5.2474	0	0
BcK1E1_00065	654	505	432	12.6544
BcK1E1_00066	1560	1411	9560	100.226
BcK1E1_00067	795	646	2757	63.1326
BcK1E1_00068	1101	952	2770	43.042
BcK1E1_00069	954	805	3743	68.7818
BcK1E1_00070	2640	2491	6517	38.7011
BcK1E1_00071	384	235	188	11.8342
BcK1E1_00072	1167	1018	216	3.13874
BcK1E1_00073	135	12.1958	14	16.9812
BcK1E1_00074	1284	1135	1314	17.1257
BcK1E1_00075	957	808	4698	86.0104
BcK1E1_00076	2331	2182	1974	13.3826
BcK1E1_00077	2700	2551	3115	18.0633
BcK1E1_00078	1104	955	5352	82.9015
BcK1E1_00079	1287	1138	43380	563.893
BcK1E1_00080	1515	1366	8230	89.1248
BcK1E1_00081	1095	946	8625	134.871
BcK1E1_00082	396	247	2225	133.255
BcK1E1_00083	1086	937	2027	32.001
BcK1E1_00084	1515	1366	4043	43.7827
BcK1E1_00085	126	10.3458	10	14.2984
BcK1E1_00086	1602	1453	2703	27.5188
BcK1E1_00087	1350	1201	1079	13.2901
BcK1E1_00088	1053	904	9708.34	158.864
BcK1E1_00089	1041	892	45999.7	762.85
BcK1E1_00090	1818	1669	9675	85.752
BcK1E1_00091	1464	1315	4459	50.1604
BcK1E1_00092	279	130	12	1.36549
BcK1E1_00093	1035	886	2934	48.9864
BcK1E1_00094	1470	1321	5161	57.7937
BcK1E1_00095	2943	2794	4283	22.6762
BcK1E1_00096	1458	1309	5883	66.4827
BcK1E1_00097	492	343	153	6.59852
BcK1E1_00098	1011	862	177	3.03749
BcK1E1_00099	3666	3517	1287	5.41322
BcK1E1_00100	1599	1450	1554	15.8538
BcK1E1_00101	549	400	114	4.21594
BcK1E1_00102	1539	1390	7564	80.4982
BcK1E1_00103	915	766	738	14.252
BcK1E1_00104	714	565	386	10.1062
BcK1E1_00105	225	76.0064	86	16.7378
BcK1E1_00106	1074	925	2174	34.767
BcK1E1_00107	492	343	728	31.3969
BcK1E1_00108	1752	1603	4841	44.6736
BcK1E1_00109	1845	1696	5713	49.8296
BcK1E1_00110	981	832	3484	61.9447
BcK1E1_00111	1167	1018	817	11.872
BcK1E1_00112	1797	1648	22506	202.018
BcK1E1_00113	657	508	15385	448.005
BcK1E1_00114	1272	1123	5478	72.1592
BcK1E1_00115	1365	1216	7599	92.4426
BcK1E1_00116	108	7.80511	0	0
BcK1E1_00117	1260	1111	7022	93.4967
BcK1E1_00118	822	673	4194	92.1855
BcK1E1_00119	558	409	3740	135.269
BcK1E1_00120	654	505	1447	42.3864
BcK1E1_00121	2193	2044	9861	71.3657
BcK1E1_00122	2880	2731	13113	71.028
BcK1E1_00123	1272	1123	6264	82.5128
BcK1E1_00124	237	88.0006	531	89.2603
BcK1E1_00125	74	5.2474	0	0
BcK1E1_00126	1656	1507	9154	89.856
BcK1E1_00127	1032	883	6445	107.972
BcK1E1_00128	810	661	3075	68.8166
BcK1E1_00129	294	145	737	75.1881
BcK1E1_00130	174	29.2345	68	34.4083
BcK1E1_00131	1263	1114	27657	367.256
BcK1E1_00132	1296	1147	9193	118.561
BcK1E1_00133	339	190	4410	343.348
BcK1E1_00134	1827	1678	265	2.33616
BcK1E1_00135	1449	1300	5850	66.5675
BcK1E1_00136	1527	1378	7307	78.4403
BcK1E1_00137	759	610	2110	51.1684
BcK1E1_00138	249	100	7118	1052.95
BcK1E1_00139	1854	1705	13674	118.637
BcK1E1_00140	1065	916	10945	176.754
BcK1E1_00141	642	493	19575	587.36
BcK1E1_00142	744	595	2465	61.2843
BcK1E1_00143	1098	949	3552	55.3677
BcK1E1_00144	2235	2086	64831	459.746
BcK1E1_00145	831	682	99	2.14734
BcK1E1_00146	990	841	59	1.03778
BcK1E1_00147	573	424	43	1.50021
BcK1E1_00148	525	376	49	1.92778
BcK1E1_00149	288	139	64	6.81106
BcK1E1_00150	375	226	76	4.97456
BcK1E1_00151	411	262	97	5.47671
BcK1E1_00152	1152	1003	1775	26.1786
BcK1E1_00153	597	448	1351	44.6094
BcK1E1_00154	2598	2449	19967	120.607
BcK1E1_00155	603	454	2366	77.0918
BcK1E1_00156	762	613	7317	176.572
BcK1E1_00157	567	418	6878	243.408
BcK1E1_00158	1095	946	7377	115.355
BcK1E1_00159	492	343	797	34.3727
BcK1E1_00160	801	652	2219	50.3453
BcK1E1_00161	1596	1447	2611	26.6924
BcK1E1_00162	1911	1762	35021	294.017
BcK1E1_00163	105	7.48819	0	0
BcK1E1_00164	1533	1384	10733	114.719
BcK1E1_00165	1659	1510	957	9.37528
BcK1E1_00166	1593	1444	931	9.53744
BcK1E1_00167	2133	1984	1933	14.4125
BcK1E1_00168	1077	928	6623	105.574
BcK1E1_00169	1020	871	717	12.1773
BcK1E1_00170	1272	1123	6248	82.3021
BcK1E1_00171	915	766	4135	79.8539
BcK1E1_00172	897	748	3883	76.7919
BcK1E1_00173	474	325	1919	87.3456
BcK1E1_00174	1065	916	1571	25.3706
BcK1E1_00175	2295	2146	19740	136.071
BcK1E1_00176	1143	994	16597	246.998
BcK1E1_00177	1179	1030	20896	300.106
BcK1E1_00178	1245	1096	9642	130.139
BcK1E1_00179	3057	2908	32440	165.02
BcK1E1_00180	654	505	3179	93.1212
BcK1E1_00181	1155	1006	3145	46.2458
BcK1E1_00182	1038	889	1660	27.622
BcK1E1_00183	261	112	3904	515.634
BcK1E1_00184	1650	1501	5136	50.6167
BcK1E1_00185	558	409	7909	286.054
BcK1E1_00186	1593	1444	43513	445.76
BcK1E1_00187	1518	1369	37841	408.892
BcK1E1_00188	348	199	340	25.2741
BcK1E1_00189	537	388	3332	127.035
BcK1E1_00190	1425	1276	8888	103.039
BcK1E1_00191	660	511	2052	59.4027
BcK1E1_00192	1038	889	24428	406.477
BcK1E1_00193	897	748	5122	101.295
BcK1E1_00194	1224	1075	1719	23.6547
BcK1E1_00195	294	145	89	9.0797
BcK1E1_00196	1560	1411	41412	434.159
BcK1E1_00197	74	5.2474	0	0
BcK1E1_00198	75	5.29865	0	0
BcK1E1_00199	726	577	1074	27.5345
BcK1E1_00200	2877	2728	5049	27.3785
BcK1E1_00201	1419	1270	3841	44.7394
BcK1E1_00202	822	673	16670	366.412
BcK1E1_00203	1404	1255	5127	60.4323
BcK1E1_00204	690	541	2482	67.8663
BcK1E1_00205	1647	1498	1476	14.5755
BcK1E1_00206	1194	1045	4200	59.4542
BcK1E1_00207	1326	1177	23998	301.612
BcK1E1_00208	1416	1267	1137	13.275
BcK1E1_00209	3396	3247	8535	38.884
BcK1E1_00210	1467	1318	4433	49.7544
BcK1E1_00211	966	817	582	10.5378
BcK1E1_00212	519	370	151	6.03705
BcK1E1_00213	891	742	6546	130.503
BcK1E1_00214	999	850	11767	204.784
BcK1E1_00215	1428	1279	2951	34.1309
BcK1E1_00216	1155	1006	8772	128.988
BcK1E1_00217	1164	1015	710	10.3477
BcK1E1_00218	954	805	84	1.54359
BcK1E1_00219	864	715	197	4.07577
BcK1E1_00220	1182	1033	167	2.39147
BcK1E1_00221	1110	961	2193	33.7571
BcK1E1_00222	822	673	2614	57.4566
BcK1E1_00223	1218	1069	1413	19.553
BcK1E1_00224	1206	1057	1687	23.6096
BcK1E1_00225	675	526	3588	100.906
BcK1E1_00226	1191	1042	8523	120.997
BcK1E1_00227	894	745	375	7.44602
BcK1E1_00228	1329	1180	463	5.80428
BcK1E1_00229	552	403	305	11.1955
BcK1E1_00230	735	586	3039	76.7154
BcK1E1_00231	213	64.0516	4	0.923803
BcK1E1_00232	324	175	1056	89.2638
BcK1E1_00233	195	46.6066	144	45.7051
BcK1E1_00234	276	127	721	83.981
BcK1E1_00235	1602	1453	3295	33.5459
BcK1E1_00236	1089	940	1181	18.5854
BcK1E1_00237	258	109	3	0.40714
BcK1E1_00238	303	154	21	2.0172
BcK1E1_00239	333	184	124	9.96904
BcK1E1_00240	1347	1198	1405	17.3488
BcK1E1_00241	195	46.6066	7712	2447.76
BcK1E1_00242	2739	2590	2264	12.9308
BcK1E1_00243	603	454	1910	62.2339
BcK1E1_00244	930	781	1988	37.6543
BcK1E1_00245	588	439	24946	840.593
BcK1E1_00246	234	85.0011	44089	7672.83
BcK1E1_00247	450	301	131812	6477.95
BcK1E1_00248	1035	886	2402	40.1041
BcK1E1_00249	1650	1501	27121	267.285
BcK1E1_00250	528	379	459	17.9153
BcK1E1_00251	534	385	324	12.449
BcK1E1_00252	1671	1522	16237	157.812
BcK1E1_00253	810	661	2974	66.5563
BcK1E1_00254	2181	2032	10680	77.7494
BcK1E1_00255	540	391	552	20.8839
BcK1E1_00256	105	7.48819	0	0
BcK1E1_00257	1317	1168	2711	34.3349
BcK1E1_00258	549	400	7122	263.385
BcK1E1_00259	1872	1723	22694	194.839
BcK1E1_00260	816	667	5137	113.929
BcK1E1_00261	1140	991	485	7.23965
BcK1E1_00262	855	706	15369.7	322.04
BcK1E1_00263	573	424	2288.33	79.8368
BcK1E1_00264	1140	991	485	7.23965
BcK1E1_00265	855	706	15369.7	322.04
BcK1E1_00266	573	424	2288.33	79.8368
BcK1E1_00267	1140	991	485	7.23965
BcK1E1_00268	855	706	15369.7	322.04
BcK1E1_00269	573	424	2288.33	79.8368
BcK1E1_00270	1140	991	485	7.23965
BcK1E1_00271	195	46.6066	27972	8878.22
BcK1E1_00272	627	478	7670	237.365
BcK1E1_00273	702	553	10657	285.075
BcK1E1_00274	495	346	2928	125.183
BcK1E1_00275	327	178	1032	85.7648
BcK1E1_00276	1011	862	5700	97.8176
BcK1E1_00277	435	286	455	23.5339
BcK1E1_00278	675	526	4300	120.929
BcK1E1_00279	765	616	5430	130.397
BcK1E1_00280	1323	1174	9216	116.124
BcK1E1_00281	1269	1120	7835	103.483
BcK1E1_00282	76	5.35093	0	0
BcK1E1_00283	82	5.68809	0	0
BcK1E1_00284	1008	859	1109	19.098
BcK1E1_00285	1698	1549	187373	1789.39
BcK1E1_00286	366	217	44724	3048.81
BcK1E1_00287	651	502	3386	99.7775
BcK1E1_00288	750	601	2372	58.3834
BcK1E1_00289	726	577	1562	40.0456
BcK1E1_00290	1506	1357	2513	27.3944
BcK1E1_00291	945	796	2645	49.1544
BcK1E1_00292	1206	1057	2730	38.2065
BcK1E1_00293	2829	2680	79182	437.06
BcK1E1_00294	309	160	51822	4791.19
BcK1E1_00295	252	103	43319	6221.43
BcK1E1_00296	1692	1543	48798	467.827
BcK1E1_00297	1134	985	7905	118.718
BcK1E1_00298	1224	1075	15024	206.741
BcK1E1_00299	76	5.35093	0	0
BcK1E1_00300	228	79.0036	3581	670.513
BcK1E1_00301	810	661	45113	1009.6
BcK1E1_00302	432	283	122202	6387.65
BcK1E1_00303	693	544	195506	5316.31
BcK1E1_00304	780	631	2283	53.5212
BcK1E1_00305	2100	1951	6920	52.4685
BcK1E1_00306	936	787	2290	43.0438
BcK1E1_00307	594	445	1473	48.9657
BcK1E1_00308	1896	1747	5089	43.0912
BcK1E1_00309	1683	1534	4558	43.954
BcK1E1_00310	9321	9172	35519	57.2857
BcK1E1_00311	264	115	0	0
BcK1E1_00312	459	310	265	12.6454
BcK1E1_00313	74	5.2474	0	0
BcK1E1_00314	675	526	2807	78.9416
BcK1E1_00315	270	121	16238	1985.16
BcK1E1_00316	2664	2515	265318	1560.55
BcK1E1_00317	561	412	3879	139.275
BcK1E1_00318	2214	2065	5350	38.3251
BcK1E1_00319	1407	1258	3625	42.6262
BcK1E1_00320	864	715	13028	269.539
BcK1E1_00321	1539	1390	7260	77.2629
BcK1E1_00322	1017	868	5684	96.8688
BcK1E1_00323	795	646	4033	92.3518
BcK1E1_00324	690	541	3762	102.866
BcK1E1_00325	1479	1330	14422	160.407
BcK1E1_00326	1341	1192	22145	274.82
BcK1E1_00327	1134	985	3770	56.618
BcK1E1_00328	1185	1036	4413	63.012
BcK1E1_00329	708	559	3106	82.1938
BcK1E1_00330	1353	1204	2424	29.7821
BcK1E1_00331	705	556	890	23.6791
BcK1E1_00332	1131	982	4609	69.4296
BcK1E1_00333	954	805	5795	106.49
BcK1E1_00334	996	847	6319	110.361
BcK1E1_00335	780	631	6091	142.794
BcK1E1_00336	780	631	1234	28.9291
BcK1E1_00337	1389	1240	36479	435.182
BcK1E1_00338	522	373	290743	11530.5
BcK1E1_00339	381	232	106440	6786.82
BcK1E1_00340	1410	1261	20379	239.066
BcK1E1_00341	3621	3472	59426	253.19
BcK1E1_00342	282	133	2279	253.479
BcK1E1_00343	543	394	48	1.80216
BcK1E1_00344	183	36.0583	307	125.945
BcK1E1_00345	531	382	649	25.1322
BcK1E1_00346	678	529	1154	32.27
BcK1E1_00347	1203	1054	16963	238.074
BcK1E1_00348	294	145	16150	1647.61
BcK1E1_00349	83	5.74851	0	0
BcK1E1_00350	73	5.19716	0	0
BcK1E1_00351	75	5.29865	0	0
BcK1E1_00352	171	27.2129	19427	10560.4
BcK1E1_00353	1200	1051	7809	109.911
BcK1E1_00354	1497	1348	8915	97.832
BcK1E1_00355	321	172	5464	469.928
BcK1E1_00356	1155	1006	4017	59.0681
BcK1E1_00357	1725	1576	71832	674.235
BcK1E1_00358	993	844	19027	333.486
BcK1E1_00359	930	781	17099	323.869
BcK1E1_00360	852	703	15783	332.111
BcK1E1_00361	822	673	15260	335.42
BcK1E1_00362	1632	1483	24017	239.567
BcK1E1_00363	111	8.14747	13	23.6032
BcK1E1_00364	2043	1894	19980	156.05
BcK1E1_00365	1140	991	10464	156.197
BcK1E1_00366	1590	1441	12935	132.786
BcK1E1_00367	1452	1303	6107	69.3319
BcK1E1_00368	90	6.21	0	0
BcK1E1_00369	1305	1156	2086	26.6935
BcK1E1_00370	1365	1216	4460	54.2564
BcK1E1_00371	990	841	3978	69.971
