seed_id	annotation
fig|630129.38.peg.2149	LSU ribosomal protein L34p
fig|630129.38.peg.2148	Ribonuclease P protein component (EC 3.1.26.5)
fig|630129.38.peg.2147	Membrane protein insertion efficiency factor YidD
fig|630129.38.peg.2146	Inner membrane protein translocase and chaperone YidC, short form OxaI-like
fig|630129.38.peg.2145	RNA-binding protein Jag
fig|630129.38.peg.2144	16S rRNA (guanine(527)-N(7))-methyltransferase (EC 2.1.1.170)
fig|630129.38.peg.2143	Chromosome (plasmid) partitioning protein ParA
fig|630129.38.peg.2142	Chromosome (plasmid) partitioning protein ParB
fig|630129.38.peg.2141	Uncharacterized protein BT3327
fig|630129.38.peg.2140	Thioredoxin reductase (EC 1.8.1.9)
fig|630129.38.peg.2139	hypothetical protein
fig|630129.38.peg.2138	hypothetical protein
fig|630129.38.peg.2137	ATPase
fig|630129.38.peg.2136	hypothetical protein
fig|630129.38.peg.2135	Pseudokinase domain in MviN
fig|630129.38.peg.2134	Peptidoglycan lipid II flippase MurJ
fig|630129.38.peg.2133	FIG01967133: Putative secreted protein
fig|630129.38.peg.2132	Diadenosine hexaphosphate (Ap6A) hydrolase; Bis(5'-nucleosyl)-tetraphosphatase (Ap4A) (Asymmetrical) (EC 3.6.1.17)
fig|630129.38.peg.2131	CCA tRNA nucleotidyltransferase (EC 2.7.7.72)
fig|630129.38.peg.2130	hypothetical protein
fig|630129.38.peg.2129	4-diphosphocytidyl-2-C-methyl-D-erythritol kinase (EC 2.7.1.148)
fig|630129.38.peg.2128	SSU rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase (EC 2.1.1.182)
fig|630129.38.peg.2127	Cell wall-binding protein
fig|630129.38.peg.2126	hypothetical protein
fig|630129.38.peg.2125	COG0515: Serine/threonine protein kinase
fig|630129.38.peg.2124	hypothetical protein
fig|630129.38.peg.2123	Beta-glucosidase-3 (GH3)
fig|630129.38.peg.2122	hypothetical protein
fig|630129.38.peg.2121	Mobile element protein
fig|630129.38.peg.2120	hypothetical protein
fig|630129.38.peg.2119	hypothetical protein
fig|630129.38.peg.2118	hypothetical protein
fig|630129.38.peg.2117	Deoxycytidine triphosphate deaminase (EC 3.5.4.30) (dUMP-forming)
fig|630129.38.peg.2116	possible phospholipase/carboxylesterase
fig|630129.38.peg.2115	probable NhaP-type Na(+)/H(+) exchanger
fig|630129.38.peg.2114	tRNA-specific adenosine-34 deaminase (EC 3.5.4.33)
fig|630129.38.peg.2113	Alpha-1,6/4/3-galactosidase (GH36)
fig|630129.38.peg.2112	Transcriptional regulator of raffinose family oligosaccharide utilization (ROK family)
fig|630129.38.peg.2111	Raffinose family oligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53) @ Panose/isomaltooligosaccharide ABC transporter substrate-binding component (TC 3.A.1.1.53)
fig|630129.38.peg.2110	Raffinose family oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53) @ Panose/isomaltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)
fig|630129.38.peg.2109	Raffinose family oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53) / Panose/isomaltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)
fig|630129.38.peg.2108	Transcriptional regulator of melezitose utilization-1 (LacI family)
fig|630129.38.peg.2107	Melezitose ABC transporter substrate-binding component (TC 3.A.1.1)
fig|630129.38.peg.2106	Melezitose ABC transporter permease component 1 (TC 3.A.1.1)
fig|630129.38.peg.2105	Melezitose ABC transporter permease component 2 (TC 3.A.1.1)
fig|630129.38.peg.2104	Alpha-1,2/3/4-glucosidase (GH13_30)
fig|630129.38.peg.2103	hypothetical protein
fig|630129.38.peg.2102	Alpha-1,3/4-galactosidase (GH36)
fig|630129.38.peg.2101	Alpha-1,6-glucosidase (GH13_31)
fig|630129.38.peg.2100	Threonine dehydratase (EC 4.3.1.19)
fig|630129.38.peg.2099	hypothetical protein
fig|630129.38.peg.2098	NAD-dependent protein deacetylase of SIR2 family
fig|630129.38.peg.2097	hypothetical protein
fig|630129.38.peg.2096	Alkyl hydroperoxide reductase protein C (EC 1.11.1.15)
fig|630129.38.peg.2095	Alkyl hydroperoxide reductase protein F
fig|630129.38.peg.2094	hypothetical protein
fig|630129.38.peg.2093	hypothetical protein
fig|630129.38.peg.2092	hypothetical protein
fig|630129.38.peg.2091	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)
fig|630129.38.peg.2090	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)
fig|630129.38.peg.2089	Putative N-acetylglucosamine kinase (EC 2.7.1.59)
fig|630129.38.peg.2088	Beta-1,3/4-N-acetylglucosaminidase (GH20)
fig|630129.38.peg.2087	Transcriptional regulator of LNB/GNB and HMO utilization (ROK family)
fig|630129.38.peg.2086	Type II chain HMO ABC transporter (low affinity) substrate-binding component (TC 3.A.1.1)
fig|630129.38.peg.2085	Type II chain HMO ABC transporter permease component 1 (TC 3.A.1.1)
fig|630129.38.peg.2084	Type II chain HMO ABC transporter permease component 2 (TC 3.A.1.1)
fig|630129.38.peg.2083	hypothetical protein
fig|630129.38.peg.2082	L-fuconate dehydratase-1 (EC 4.2.1.68)
fig|630129.38.peg.2081	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)
fig|630129.38.peg.2080	L-fuconolactone hydrolase-1 (EC 3.1.1.-)
fig|630129.38.peg.2079	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)
fig|630129.38.peg.2078	L-fucose mutarotase-1 (EC 5.1.3.29)
fig|630129.38.peg.2077	Alpha-1,3/4-L-fucosidase (GH29)
fig|630129.38.peg.2076	Alpha-1,2-L-fucosidase (GH95)
fig|630129.38.peg.2075	ABC transporter, substrate-binding protein (cluster 1, maltose/g3p/polyamine/iron)
fig|630129.38.peg.2074	N-acetylneuraminate lyase (EC 4.1.3.3)
fig|630129.38.peg.2073	HMO cluster I alpha-2,3/6-sialidase (GH33)
fig|630129.38.peg.2072	Type II chain HMO ABC transporter substrate-binding component (TC 3.A.1.1)
fig|630129.38.peg.2071	Type II chain HMO ABC transporter permease component 1 (TC 3.A.1.1)
fig|630129.38.peg.2070	Type II chain HMO ABC transporter permease component 2 (TC 3.A.1.1)
fig|630129.38.peg.2069	hypothetical protein
fig|630129.38.peg.2068	hypothetical protein
fig|630129.38.peg.2067	Transcriptional regulator, LacI family
fig|630129.38.peg.2066	Beta-1,4-galactosidase (GH2)
fig|630129.38.peg.2065	Lactose MFS permease (TC 2.A.2) @ Putative galactose MFS permease (TC 2.A.2)
fig|630129.38.peg.2064	ABC-type antimicrobial peptide transport system, permease component
fig|630129.38.peg.2063	ABC-type antimicrobial peptide transport system, permease component
fig|630129.38.peg.2062	ABC transporter, ATP-binding protein
fig|630129.38.peg.2061	hypothetical protein
fig|630129.38.peg.2060	hypothetical protein
fig|630129.38.peg.2059	hypothetical protein
fig|630129.38.peg.2058	Beta-glucosidase-3 (GH3)
fig|630129.38.peg.2057	hypothetical protein
fig|630129.38.peg.2056	hypothetical protein
fig|630129.38.peg.2055	Chloride channel protein
fig|630129.38.peg.2054	Two-component system sensor histidine kinase
fig|630129.38.peg.2053	Two-component transcriptional response regulator, LuxR family
fig|630129.38.peg.2052	Maltose/maltodextrin transport ATP-binding protein MalK (EC 3.6.3.19)
fig|630129.38.peg.2051	Chromosome segregation ATPases
fig|630129.38.peg.2050	23S rRNA (guanosine(2251)-2'-O)-methyltransferase (EC 2.1.1.185)
fig|630129.38.peg.2049	Uncharacterized MFS-type transporter
fig|630129.38.peg.2048	hypothetical protein
fig|630129.38.peg.2047	Uncharacterized protein BT3327
fig|630129.38.peg.2046	hypothetical protein
fig|630129.38.peg.2045	hypothetical protein
fig|630129.38.peg.2044	TTE0859 replicon stabilization toxin
fig|630129.38.peg.2043	hypothetical protein
fig|630129.38.peg.2042	hypothetical protein
fig|630129.38.peg.2041	cation-transporting ATPase PacL
fig|630129.38.peg.2040	hypothetical protein
fig|630129.38.peg.2039	hypothetical protein
fig|630129.38.peg.2038	hypothetical protein
fig|630129.38.peg.2037	hypothetical protein
fig|630129.38.peg.2036	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
fig|630129.38.peg.2035	Oxygen-insensitive NADPH nitroreductase (EC 1.-.-.-)
fig|630129.38.peg.2034	FIG00424248: hypothetical protein
fig|630129.38.peg.2033	Fructose-1,6-bisphosphatase, Mycobacterial type SUP1 (EC 3.1.3.11); Sugar phosphatase SUP1 (EC 3.1.3.23)
fig|630129.38.peg.2032	Maltose/maltodextrin ABC transporter, substrate binding periplasmic protein MalE
fig|630129.38.peg.2031	Alpha-1,4/6-glucosidase (GH13_30)
fig|630129.38.peg.2030	Putative maltose ABC transporter substrate-binding component (TC 3.A.1.1)
fig|630129.38.peg.2029	Maltodextrin utilization transcriptional regulator MalR5, LacI family
fig|630129.38.peg.2028	Maltodextrin utilization transcriptional regulator MalR1, LacI family
fig|630129.38.peg.2027	Maltose/maltodextrin ABC transporter, permease protein MalF
fig|630129.38.peg.2026	Maltose/maltodextrin ABC transporter, permease protein MalG
fig|630129.38.peg.2025	4-hydroxybenzoate polyprenyltransferase and related prenyltransferases
fig|630129.38.peg.2024	Alpha-aspartyl dipeptidase Peptidase E (EC 3.4.13.21)
fig|630129.38.peg.2023	TnpV
fig|630129.38.peg.2022	4-alpha-glucanotransferase (amylomaltase) (EC 2.4.1.25)
fig|630129.38.peg.2021	Trehalose synthase (EC 5.4.99.16)
fig|630129.38.peg.2020	hypothetical protein
fig|630129.38.peg.2019	ATPase
fig|630129.38.peg.2018	Uncharacterized UPF0721 integral membrane protein
