target_id	length	eff_length	est_counts	tpm
BcK1E1_00001	1476	1327	32486	454.076
BcK1E1_00002	1125	976	15550	295.518
BcK1E1_00003	1203	1054	2944	51.8084
BcK1E1_00004	486	337	429	23.6119
BcK1E1_00005	2097	1948	58736	559.266
BcK1E1_00006	2706	2557	73811	535.418
BcK1E1_00007	540	391	16197	768.353
BcK1E1_00008	1347	1198	20606	319.036
BcK1E1_00009	468	319	402	23.3743
BcK1E1_00010	966	817	1817	41.2511
BcK1E1_00011	1449	1300	2912	41.5481
BcK1E1_00012	324	175	485	51.4051
BcK1E1_00013	1446	1297	123	1.75901
BcK1E1_00014	1170	1021	100	1.81667
BcK1E1_00015	180	33.6633	2	1.10199
BcK1E1_00016	447	298	294	18.2993
BcK1E1_00017	717	568	2252	73.5399
BcK1E1_00018	74	5.2474	0	0
BcK1E1_00019	74	5.2474	0	0
BcK1E1_00020	75	5.29865	0	0
BcK1E1_00021	777	628	475	14.0293
BcK1E1_00022	984	835	1786	39.6732
BcK1E1_00023	1332	1183	4432	69.4893
BcK1E1_00024	1335	1186	1441	22.5363
BcK1E1_00025	696	547	2610	88.5026
BcK1E1_00026	2757	2608	70515	501.507
BcK1E1_00027	1842	1693	6398	70.0955
BcK1E1_00028	1629	1480	4403	55.181
BcK1E1_00029	1101	952	9353	182.229
BcK1E1_00030	381	232	4379	350.098
BcK1E1_00031	438	289	316	20.2811
BcK1E1_00032	2448	2299	44878	362.074
BcK1E1_00033	228	79.0036	2831	664.654
BcK1E1_00034	795	646	3875	111.261
BcK1E1_00035	1488	1339	3422	47.4026
BcK1E1_00036	474	325	7006	399.843
BcK1E1_00037	768	619	2604	78.0285
BcK1E1_00038	1092	943	2879	56.6282
BcK1E1_00039	645	496	1462	54.6724
BcK1E1_00040	2097	1948	19004	180.95
BcK1E1_00041	945	796	7104	165.536
BcK1E1_00042	1467	1318	16450	231.501
BcK1E1_00043	1626	1477	19597	246.1
BcK1E1_00044	1617	1468	20199	255.215
BcK1E1_00045	516	367	8490	429.086
BcK1E1_00046	708	559	20643	684.958
BcK1E1_00047	2448	2299	7352	59.3157
BcK1E1_00048	1266	1117	684	11.3581
BcK1E1_00049	657	508	169	6.17058
BcK1E1_00050	1071	922	2193	44.1175
BcK1E1_00051	984	835	1336	29.6772
BcK1E1_00052	228	79.0036	40	9.39109
BcK1E1_00053	86	5.93769	0	0
BcK1E1_00054	249	100	796	147.644
BcK1E1_00055	1257	1108	77	1.289
BcK1E1_00056	717	568	228	7.44542
BcK1E1_00057	1368	1219	5462	83.1095
BcK1E1_00058	1956	1807	16568	170.065
BcK1E1_00059	2487	2338	6984	55.4067
BcK1E1_00060	1011	862	2796	60.1634
BcK1E1_00061	1506	1357	7140	97.5936
BcK1E1_00062	1455	1306	15068	214.001
BcK1E1_00063	1101	952	7554	147.178
BcK1E1_00064	74	5.2474	0	0
BcK1E1_00065	654	505	234	8.59463
BcK1E1_00066	1560	1411	9108	119.729
BcK1E1_00067	795	646	2643	75.887
BcK1E1_00068	1101	952	2963	57.7295
BcK1E1_00069	954	805	3453	79.5616
