target_id	length	eff_length	est_counts	tpm
BcK1E1_00001	1476	1327	31016	357.85
BcK1E1_00002	1125	976	21705	340.483
BcK1E1_00003	1203	1054	3065	44.5221
BcK1E1_00004	486	337	433	19.6718
BcK1E1_00005	2097	1948	71477	561.776
BcK1E1_00006	2706	2557	83956	502.698
BcK1E1_00007	540	391	18881	739.323
BcK1E1_00008	1347	1198	20326	259.765
BcK1E1_00009	468	319	424	20.3498
BcK1E1_00010	966	817	2048	38.379
BcK1E1_00011	1449	1300	3268	38.4879
BcK1E1_00012	324	175	489	42.7816
BcK1E1_00013	1446	1297	119	1.40473
BcK1E1_00014	1170	1021	109	1.63451
BcK1E1_00015	180	33.6633	6	2.72886
BcK1E1_00016	447	298	293	15.0535
BcK1E1_00017	717	568	2899	78.1422
BcK1E1_00018	74	5.2474	0	0
BcK1E1_00019	74	5.2474	0	0
BcK1E1_00020	75	5.29865	0	0
BcK1E1_00021	777	628	527	12.848
BcK1E1_00022	984	835	2995	54.9157
BcK1E1_00023	1332	1183	4156	53.7869
BcK1E1_00024	1335	1186	1994	25.7411
BcK1E1_00025	696	547	3365	94.1854
BcK1E1_00026	2757	2608	82809	486.134
BcK1E1_00027	1842	1693	6631	59.9664
BcK1E1_00028	1629	1480	6029	62.3691
BcK1E1_00029	1101	952	12088	194.403
BcK1E1_00030	381	232	5964	393.582
BcK1E1_00031	438	289	361	19.1247
BcK1E1_00032	2448	2299	84316	561.509
BcK1E1_00033	228	79.0036	5212	1010.05
BcK1E1_00034	795	646	3569	84.5863
BcK1E1_00035	1488	1339	3579	40.923
BcK1E1_00036	474	325	10241	482.442
BcK1E1_00037	768	619	2687	66.4604
BcK1E1_00038	1092	943	3396	55.1368
BcK1E1_00039	645	496	1834	56.6114
BcK1E1_00040	2097	1948	16804	132.072
BcK1E1_00041	945	796	5991	115.232
BcK1E1_00042	1467	1318	14711	170.888
BcK1E1_00043	1626	1477	19560	202.756
BcK1E1_00044	1617	1468	22140	230.907
BcK1E1_00045	516	367	8970	374.207
BcK1E1_00046	708	559	24720	677.053
BcK1E1_00047	2448	2299	9313	62.0207
BcK1E1_00048	1266	1117	744	10.1978
BcK1E1_00049	657	508	204	6.14826
BcK1E1_00050	1071	922	2771	46.0142
BcK1E1_00051	984	835	1361	24.955
BcK1E1_00052	228	79.0036	40	7.75174
BcK1E1_00053	86	5.93769	0	0
BcK1E1_00054	249	100	1233	188.777
BcK1E1_00055	1257	1108	96	1.32653
BcK1E1_00056	717	568	319	8.59861
BcK1E1_00057	1368	1219	7314	91.8623
BcK1E1_00058	1956	1807	25518	216.209
BcK1E1_00059	2487	2338	9807	64.2211
BcK1E1_00060	1011	862	2863	50.8511
BcK1E1_00061	1506	1357	8473	95.5968
BcK1E1_00062	1455	1306	20231	237.17
BcK1E1_00063	1101	952	8586	138.083
BcK1E1_00064	74	5.2474	0	0
BcK1E1_00065	654	505	224	6.79114
BcK1E1_00066	1560	1411	10646	115.517
BcK1E1_00067	795	646	3251	77.0496
BcK1E1_00068	1101	952	3472	55.8379
BcK1E1_00069	954	805	3182	60.5188
BcK1E1_00070	2640	2491	6533	40.1536
BcK1E1_00071	384	235	154	10.0332
BcK1E1_00072	1167	1018	126	1.895
BcK1E1_00073	135	12.1958	7	8.78768
BcK1E1_00074	1284	1135	1168	15.7555
BcK1E1_00075	957	808	3624	68.6693
BcK1E1_00076	2331	2182	4602	32.2907
BcK1E1_00077	2700	2551	3807	22.8485
BcK1E1_00078	1104	955	4639	74.3716
BcK1E1_00079	1287	1138	40372	543.155
BcK1E1_00080	1515	1366	8268	92.6693
BcK1E1_00081	1095	946	7492	121.253
BcK1E1_00082	396	247	1875	116.223
BcK1E1_00083	1086	937	1616	26.4051
BcK1E1_00084	1515	1366	6955	77.9529
BcK1E1_00085	126	10.3458	26	38.4765
BcK1E1_00086	1602	1453	3306	34.8356
BcK1E1_00087	1350	1201	4905	62.5291
BcK1E1_00088	1053	904	23186	392.684
BcK1E1_00089	1041	892	69552	1193.8
BcK1E1_00090	1818	1669	8841	81.1019
BcK1E1_00091	1464	1315	3853	44.86
BcK1E1_00092	279	130	10	1.17772
BcK1E1_00093	1035	886	2450	42.3368
BcK1E1_00094	1470	1321	6242	72.3447
BcK1E1_00095	2943	2794	3510	19.2339
BcK1E1_00096	1458	1309	5924	69.2885
BcK1E1_00097	492	343	86	3.83875
BcK1E1_00098	1011	862	81	1.43868
BcK1E1_00099	3666	3517	851	3.70462
BcK1E1_00100	1599	1450	1145	12.0899
BcK1E1_00101	549	400	40	1.53104
BcK1E1_00102	1539	1390	9397	103.505
BcK1E1_00103	915	766	818	16.3497
BcK1E1_00104	714	565	396	10.7308
BcK1E1_00105	225	76.0064	99	19.9421
BcK1E1_00106	1074	925	2319	38.3835
BcK1E1_00107	492	343	742	33.1204
BcK1E1_00108	1752	1603	4704	44.9283
BcK1E1_00109	1845	1696	5608	50.6254
BcK1E1_00110	981	832	3459	63.6522
BcK1E1_00111	1167	1018	652	9.80586
BcK1E1_00112	1797	1648	9346	86.8269
BcK1E1_00113	657	508	8709	262.477
BcK1E1_00114	1272	1123	2977	40.5868
BcK1E1_00115	1365	1216	4137	52.088
BcK1E1_00116	108	7.80511	0	0
BcK1E1_00117	1260	1111	4188	57.7137
BcK1E1_00118	822	673	2696	61.3325
BcK1E1_00119	558	409	2849	106.649
BcK1E1_00120	654	505	2087	63.2728
BcK1E1_00121	2193	2044	10739	80.4394
BcK1E1_00122	2880	2731	8964	50.2535
BcK1E1_00123	1272	1123	6481	88.3585
BcK1E1_00124	237	88.0006	353	61.4151
BcK1E1_00125	74	5.2474	0	0
BcK1E1_00126	1656	1507	11171	113.492
BcK1E1_00127	1032	883	5638	97.7576
BcK1E1_00128	810	661	2815	65.2023
BcK1E1_00129	294	145	1077	113.719
BcK1E1_00130	174	29.2345	79	41.3731
BcK1E1_00131	1263	1114	24987	343.412
BcK1E1_00132	1296	1147	9610	128.276
BcK1E1_00133	339	190	4419	356.087
BcK1E1_00134	1827	1678	264	2.40878
BcK1E1_00135	1449	1300	6200	73.0187
BcK1E1_00136	1527	1378	8044	89.3735
BcK1E1_00137	759	610	2472	62.0447
BcK1E1_00138	249	100	8655	1325.11
BcK1E1_00139	1854	1705	14918	133.959
BcK1E1_00140	1065	916	10060	168.147
BcK1E1_00141	642	493	17244	535.522
BcK1E1_00142	744	595	2384	61.3444
BcK1E1_00143	1098	949	3385	54.6108
BcK1E1_00144	2235	2086	67135	492.743
BcK1E1_00145	831	682	62	1.39185
BcK1E1_00146	990	841	28	0.509739
BcK1E1_00147	573	424	31	1.11939
BcK1E1_00148	525	376	28	1.14013
BcK1E1_00149	288	139	53	5.83777
BcK1E1_00150	375	226	52	3.52274
BcK1E1_00151	411	262	74	4.32431
BcK1E1_00152	1152	1003	1671	25.5071
BcK1E1_00153	597	448	947	32.3637
BcK1E1_00154	2598	2449	17378	108.642
BcK1E1_00155	603	454	1982	66.8396
BcK1E1_00156	762	613	7505	187.446
BcK1E1_00157	567	418	7168	262.547
BcK1E1_00158	1095	946	8473	137.13
BcK1E1_00159	492	343	849	37.8965
BcK1E1_00160	801	652	2019	47.4105
BcK1E1_00161	1596	1447	2478	26.2192
BcK1E1_00162	1911	1762	38713	336.385
BcK1E1_00163	105	7.48819	0	0
BcK1E1_00164	1533	1384	7468	82.6141
BcK1E1_00165	1659	1510	529	5.3637
BcK1E1_00166	1593	1444	620	6.57371
BcK1E1_00167	2133	1984	1324	10.2172
BcK1E1_00168	1077	928	5526	91.1693
BcK1E1_00169	1020	871	604	10.6171
BcK1E1_00170	1272	1123	3771	51.4118
BcK1E1_00171	915	766	1907	38.116
BcK1E1_00172	897	748	1226	25.0943
BcK1E1_00173	474	325	912	42.9633
BcK1E1_00174	1065	916	906	15.1432
BcK1E1_00175	2295	2146	24835	177.182
BcK1E1_00176	1143	994	16892	260.184
BcK1E1_00177	1179	1030	18195	270.459
BcK1E1_00178	1245	1096	8826	123.293
BcK1E1_00179	3057	2908	36344	191.348
BcK1E1_00180	654	505	2373	71.9436
BcK1E1_00181	1155	1006	2531	38.5195
BcK1E1_00182	1038	889	1759	30.2935
BcK1E1_00183	261	112	8874	1213.07
BcK1E1_00184	1650	1501	9130	93.1271
BcK1E1_00185	558	409	7548	282.549
BcK1E1_00186	1593	1444	40961	434.299
BcK1E1_00187	1518	1369	38204	427.259
BcK1E1_00188	348	199	399	30.6977
BcK1E1_00189	537	388	3588	141.582
BcK1E1_00190	1425	1276	3285	39.4158
BcK1E1_00191	660	511	1870	56.0282
BcK1E1_00192	1038	889	18495	318.521
BcK1E1_00193	897	748	3484	71.312
BcK1E1_00194	1224	1075	1523	21.6909
BcK1E1_00195	294	145	86	9.08064
BcK1E1_00196	1560	1411	39623	429.938
BcK1E1_00197	74	5.2474	0	0
BcK1E1_00198	75	5.29865	0	0
BcK1E1_00199	726	577	771	20.4581
BcK1E1_00200	2877	2728	3789	21.265
BcK1E1_00201	1419	1270	3640	43.8817
BcK1E1_00202	822	673	12903	293.536
BcK1E1_00203	1404	1255	6534	79.7116
BcK1E1_00204	690	541	2848	80.5988
BcK1E1_00205	1647	1498	1723	17.61
BcK1E1_00206	1194	1045	4979	72.9477
BcK1E1_00207	1326	1177	23928	311.255
BcK1E1_00208	1416	1267	971	11.7335
BcK1E1_00209	3396	3247	790	3.72504
BcK1E1_00210	1467	1318	450	5.22737
BcK1E1_00211	966	817	61	1.14313
BcK1E1_00212	519	370	52	2.15173
BcK1E1_00213	891	742	6193	127.786
BcK1E1_00214	999	850	10693	192.605
BcK1E1_00215	1428	1279	2110	25.2579
BcK1E1_00216	1155	1006	7306	111.19
BcK1E1_00217	1164	1015	562	8.47727
BcK1E1_00218	954	805	58	1.10311
BcK1E1_00219	864	715	153	3.27621
BcK1E1_00220	1182	1033	177	2.62337
BcK1E1_00221	1110	961	1802	28.709
BcK1E1_00222	822	673	2875	65.4047
BcK1E1_00223	1218	1069	1288	18.4469
BcK1E1_00224	1206	1057	1460	21.1477
BcK1E1_00225	675	526	2477	72.0985
BcK1E1_00226	1191	1042	6526	95.8882
BcK1E1_00227	894	745	1483	30.4769
