locus_tag	annotation	logFC	AveExpr	t	P.Value	adj.P.Val	B
BcK1E1_02034	Type II chain HMO ABC transporter (low affinity) substrate-binding component (TC 3.A.1.1)	6.399678067599436	9.206443342827571	101.5313174303577	9.058251049683012e-19	4.808172692485808e-16	33.26584460902336
BcK1E1_01908	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	5.930676707839983	4.978749241181293	76.03610539430208	2.760735906550907e-17	5.911042324359553e-15	29.813849458194095
BcK1E1_01909	Beta-1,3/4/6-N-acetylglucosaminidase-2 (GH20)	5.678796531917721	5.399760562651395	40.11159633830395	5.1919582159094376e-14	4.349958035677168e-12	22.74579446737951
BcK1E1_02032	Type II chain HMO ABC transporter permease component 2 (TC 3.A.1.1)	5.627193683878131	7.549019075990937	87.60578948862774	5.1794078929466805e-18	1.2475898762135316e-15	31.679672578519813
BcK1E1_02018	Type II chain HMO ABC transporter permease component 2 (TC 3.A.1.1)	5.627193683878131	7.549019075990937	87.60578948862774	5.1794078929466805e-18	1.2475898762135316e-15	31.679672578519813
BcK1E1_02033	Type II chain HMO ABC transporter permease component 1 (TC 3.A.1.1)	5.513915035677356	8.086568545045273	100.70185804344982	9.980638697427729e-19	4.808172692485808e-16	33.17107934967432
BcK1E1_02019	Type II chain HMO ABC transporter permease component 1 (TC 3.A.1.1)	5.513915035677356	8.086568545045273	100.70185804344982	9.980638697427729e-19	4.808172692485808e-16	33.17107934967432
BcK1E1_01910	Putative N-acetylglucosamine kinase (EC 2.7.1.59)	5.47574939779792	5.715446819307299	50.60602704810924	3.368020359797006e-15	3.0905596349184907e-13	25.493941476225324
BcK1E1_02031	hypothetical protein	5.363140799157548	6.865896368810483	64.44799377824341	1.9450219620898074e-16	2.342535825591912e-14	28.305532364493615
BcK1E1_02027	2-keto-3-deoxy-L-fuconate aldolase-1 (EC 4.1.2.18)	5.173547942062766	7.175524644316656	73.25413282583216	4.287599314787719e-17	6.984916863552225e-15	29.745427405831506
BcK1E1_02028	L-fuconolactone hydrolase-1 (EC 3.1.1.-)	5.169973184547563	7.538953075097101	74.1478715833402	3.715482894323598e-17	6.984916863552225e-15	29.89780204279288
BcK1E1_02029	L-fuco-beta-pyranose dehydrogenase-1 (EC 1.1.1.122)	5.131397594285755	8.277496414455028	93.68624016845261	2.3434828891768192e-18	9.03178305488746e-16	32.464873526833046
BcK1E1_02026	L-fucose mutarotase-1 (EC 5.1.3.29)	5.082736406371221	5.846207349002788	69.9467457250336	7.398638802737034e-17	1.0967059209903281e-14	29.15686247262304
BcK1E1_02030	L-fuconate dehydratase-1 (EC 4.2.1.68)	5.038881995313717	8.803721470646115	100.9293462441438	9.717930092324427e-19	4.808172692485808e-16	33.26567177714702
BcK1E1_02039	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	4.973410163605222	7.339219729562346	88.6587744932381	4.497394271201003e-18	1.2475898762135316e-15	31.85899187362617
BcK1E1_02038	Glucosamine-6-phosphate deaminase (EC 3.5.99.6)	4.930170405565134	7.112864612182722	73.16497050391175	4.3497147048586766e-17	6.984916863552225e-15	29.764380518652565
BcK1E1_02025	Alpha-1,3/4-L-fucosidase (GH29)	4.575975208189458	8.959300171241846	64.6023231064481	1.8908820062197086e-16	2.342535825591912e-14	28.366132086210968
BcK1E1_02024	Alpha-1,2-L-fucosidase (GH95)	4.575923921961071	9.492559290887206	50.681543708380914	3.3093579501718358e-15	3.0905596349184907e-13	25.490105629718997
BcK1E1_02020	Type II chain HMO ABC transporter substrate-binding component (TC 3.A.1.1)	4.0974491657414625	9.599361108127693	52.17735099889449	2.3489398645588338e-15	2.382319536318354e-13	25.836724212738602
BcK1E1_01907	N-acetylglucosamine-6-phosphate deacetylase (EC 3.5.1.25)	4.085429641534392	6.043921656678166	65.3537513003128	1.6496182940417495e-16	2.2705817518703224e-14	28.458574092878266
BcK1E1_02015	Transcriptional regulator, LacI family	3.8217080670574255	-0.12078540096594102	20.92861360806016	1.0296821764815871e-10	5.087686036102611e-9	15.187764352855005
BcK1E1_02037	Putative N-acetylglucosamine kinase (EC 2.7.1.59)	3.7845104943510197	6.311851605725134	35.7295863970219	2.0200813263597926e-13	1.4971910445751232e-11	21.275495435336612
BcK1E1_02017	hypothetical protein	3.6074845872733414	5.0873209341504975	48.66699953166908	5.336784620790129e-15	4.674538165573899e-13	25.031228601843793
BcK1E1_02016	hypothetical protein	3.5681434221718034	4.818386920294859	37.731024804727674	1.0653997662041606e-13	8.554272289480907e-12	22.018487699050365
BcK1E1_02036	Beta-1,3/4-N-acetylglucosaminidase (GH20)	3.0714280099347846	8.983995508040941	57.373586306968086	7.669021774554235e-16	8.210113866425563e-14	26.96834777867394
BcK1E1_00572	Beta-1,3/4/6-galactosidase (GH42)	3.0431627249328805	10.157387508706625	58.95360029680053	5.566339970203628e-16	6.309610072107289e-14	27.29389452094576
BcK1E1_02059	Raffinose family oligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53) / Panose/isomaltooligosaccharide ABC transporter permease component 2 (TC 3.A.1.1.53)	2.5298958856644402	6.878523066516198	11.072506179282895	1.3444485994258435e-7	3.159454208650732e-6	7.234801867521453
BcK1E1_01458	Maltose O-acetyltransferase (EC 2.3.1.79)	2.4450866761339993	3.628670251884854	26.19721215873419	7.61226959220867e-12	4.4451040921776075e-10	17.700228332638677
BcK1E1_02060	Raffinose family oligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53) @ Panose/isomaltooligosaccharide ABC transporter permease component 1 (TC 3.A.1.1.53)	2.053335571058309	7.087356992959152	9.122182811477611	1.0639662935401706e-6	1.640210438121527e-5	4.965375977256883
BcK1E1_02035	Transcriptional regulator of LNB/GNB and HMO utilization (ROK family)	2.01074548539676	7.5512565136792675	25.215653883418188	1.1873371718175693e-11	6.729408029683695e-10	16.876537968268583
BcK1E1_00436	Putative difructose dianhydride ABC transporter-2 substrate-binding component (TC 3.A.1.1)	-2.0344575649195678	5.355001857484406	-16.5511877586375	1.5186071805958286e-9	5.6276077634772336e-8	11.936081388098895
