mcSEED_subsystem	name	alt_names	annotation	dupl_subsystem	dupl_homolog	phenotype	pathway	type	classification	additional_classification	function	regulon	evidence	PMID	example_id_mcSEED	example_locus_tag	additional_info
Glucose utilization	GlcK	NA	Glucokinase (EC 2.7.1.2)	d	NA	Glc	D-glucose utilization	downstream_catabolism	EC 2.7.1.2	NA	Phosphorylates D-glucose to D-glucose-6-phosphate	NA	predicted	NA	fig|206672.9.peg.1744	BL1691	45% seq. identity with characterized glucokinase from Streptomyces coelicolor (PMID: 1435260)
Glucose utilization	PpgK	NA	Polyphosphate glucokinase (EC 2.7.1.63)	d	NA	Glc	D-glucose utilization	downstream_catabolism	EC 2.7.1.63	NA	Catalyzes the phosphorylation of D-glucose to D-glucose-6-phosphate using polyphosphate or ATP as the phosphoryl donor	NA	predicted	NA	fig|206672.9.peg.49	BL0047	45% seq. identity with characterized polyphosphate glucokinase from Mycobacterium tuberculosis (PMID: 8381043)
Glucose utilization	GlcP	NA	Glucose MFS permease (TC 2.A.1.1.42)	NA	NA	Glc	D-glucose utilization	transporter	TC 2.A.1.1.42	MFS Superfamily; Sugar Porter (SP) Family	Transports D-glucose. Glucose uptake is inhibited by 2-deoxyglucose, mannose, and galactose	NA	characterized	16452407	fig|206672.9.peg.1685	BL1631	NA
Glucose utilization	GlcU	NA	Glucose DMT permease (TC 2.A.7.5)	NA	NA	Glc	D-glucose utilization	transporter	TC 2.A.7.5	DMT Superfamily; Glucose/Ribose Porter (GRP) Family	Transports D-glucose. Glucose uptake is inhibited by 2-deoxyglucose, N-acetylglucosamine, and galactose	NA	characterized	18791026;19801460	fig|552531.3.peg.1574	BIF_00684	NA
Glucose utilization	PtsG	NA	Glucose-specific PTS system IIABC components (TC 4.A.1.2.18)	NA	NA	Glc	D-glucose utilization	transporter	TC 4.A.1.2.18	PTS-GFL Superfamily; Glucose-Glucoside (Glc) Family	Transports D-glucose. Phosphorylates glucose at the C-6 position	GluT	characterized	17183207	fig|206672.9.peg.1686	BL1632	NA
Glucose utilization	GluT	NA	Glucose utilization antiterminator, BglG family	NA	NA	Glc	D-glucose utilization	regulator	BglG	NA	Predicted transcriptional antiterminator of ptsG	GluT	predicted	26903998	fig|206672.9.peg.1687	BL1633	NA
Galactose utilization	GalK	BiGalK	Galactokinase (EC 2.7.1.6)	d	NA	Gal	D-galactose utilization	downstream_catabolism	EC 2.7.1.6	NA	Phosphorylates D-galactose to D-galactose-1-phosphate	GalR OR GalR2	characterized	22633137	fig|326426.4.peg.536	Bbr_0492	NA
Galactose utilization	GalT	GalT1	Galactose-1-phosphate uridylyltransferase (EC 2.7.7.12)	d	NA	Gal	D-galactose utilization	downstream_catabolism	EC 2.7.7.12	NA	Catalyzes the reaction: UDP-glucose + D-galactose-1-phosphate <> D-glucose-1-phosphate + UDP-galactose	GalR OR GalR2	characterized	24014529	fig|702459.3.peg.419	BBPR_0406	NA
Galactose utilization	GalE	NA	UDP-glucose 4-epimerase (EC 5.1.3.2)	d	NA	Gal	D-galactose utilization	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of UDP-galactose to UDP-glucose	GalR OR GalR2	predicted	NA	fig|206672.9.peg.1726	BL1671	42% seq. identity with characterized UDP-glucose 4-epimerase from Streptococcus thermophilus (PMID: 1694527)
Galactose utilization	LnpD	NA	UDP-hexose 4-epimerase (EC 5.1.3.2)	d	NA	Gal;GalNAc;LNB;GNB	D-galactose utilization;N-acetylgalactosamine utilization;LNB utilization;GNB utilization	downstream_catabolism	EC 5.1.3.2	NA	Reversibly catalyzes the conversion of (i) UDP-N-acetylgalactosamine to UDP-N-acetylglucosamine; (ii) UDP-galactose to UDP-glucose	NagR	characterized	17720833	fig|565042.3.peg.1676	BLLJ_1620	Gene in Bifidobacterium longum subsp. infantis ATCC15697 is upregulated on LNnT (PMID: 36094076)
