Organism	seed_id	CE0	CE2	CE4	CE5	CE8	CE9	CE20	GH0	GH1	GH2	GH3	GH4	GH5	GH8	GH10	GH13	GH16	GH18	GH20	GH23	GH25	GH26	GH27	GH28	GH29	GH30	GH31	GH32	GH33	GH35	GH36	GH38	GH39	GH42	GH43	GH49	GH50	GH51	GH53	GH59	GH65	GH73	GH76	GH77	GH78	GH84	GH85	GH89	GH91	GH94	GH95	GH101	GH109	GH110	GH112	GH115	GH120	GH121	GH123	GH125	GH127	GH129	GH130	GH136	GH140	GH146	GH151	GH154	GH163	GH172	PL27
Bifidobacterium adolescentis 1-11	fig|1680.104	0	0	0	0	0	1	3	1	1	3	6	0	1	1	0	13	0	0	0	3	1	0	0	0	0	0	1	2	0	1	2	1	0	4	8	0	0	1	0	0	0	0	0	2	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis 150	fig|1680.7	0	0	0	0	0	1	3	1	1	3	5	0	2	1	0	17	0	0	0	3	3	0	0	0	0	1	2	1	0	0	4	1	1	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	2	0
Bifidobacterium adolescentis 1892B	fig|1680.34	0	0	0	0	0	1	4	1	1	3	6	0	2	1	0	16	0	0	0	2	2	0	0	0	0	1	2	2	0	0	3	1	1	4	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis 22L	fig|1680.4	0	1	0	0	0	1	3	1	2	4	5	0	2	1	0	15	0	0	0	2	2	1	0	0	0	1	1	2	0	0	3	1	1	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis 487B	fig|1680.39	0	0	0	0	0	1	4	1	1	3	5	0	2	2	0	14	0	0	0	5	3	0	0	0	0	1	1	2	0	1	3	1	1	3	9	0	0	1	0	0	0	1	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis 6	fig|1680.142	0	0	0	0	0	0	4	1	1	3	6	0	3	1	0	15	0	0	0	3	2	0	0	0	0	1	2	2	0	0	2	1	0	3	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis 70B	fig|1680.36	0	0	0	0	0	1	3	1	1	3	6	0	2	1	0	13	0	0	0	2	1	0	0	0	0	3	1	1	0	1	4	1	2	4	9	0	0	1	0	1	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis AF15-3	fig|1680.151	0	0	0	0	0	1	3	1	0	2	6	0	3	1	0	15	0	0	0	3	2	0	0	0	0	1	3	2	0	0	2	4	0	3	9	0	0	1	0	0	0	0	0	2	0	0	1	0	0	1	0	0	1	0	1	0	1	1	0	1	2	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis AL12-4	fig|1680.37	0	1	0	0	0	1	4	1	1	4	6	0	1	2	0	14	0	0	0	3	1	1	1	0	0	0	2	2	0	1	2	1	0	3	9	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	1	0
Bifidobacterium adolescentis AL46-7	fig|1680.43	0	1	0	0	0	1	3	1	1	4	7	0	2	1	0	14	0	0	0	2	2	1	0	0	0	1	1	2	0	0	2	0	0	4	7	0	0	1	0	0	0	0	0	2	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0
