target_id	length	eff_length	est_counts	tpm
BcK1E1_00001	1476	1327	36167	582.275
BcK1E1_00002	1125	976	21169	463.38
BcK1E1_00003	1203	1054	2340	47.4309
BcK1E1_00004	486	337	523	33.1557
BcK1E1_00005	2097	1948	44046	483.063
BcK1E1_00006	2706	2557	52436	438.112
BcK1E1_00007	540	391	17872	976.524
BcK1E1_00008	1347	1198	44214	788.478
BcK1E1_00009	468	319	375	25.1146
BcK1E1_00010	966	817	2526	66.0538
BcK1E1_00011	1449	1300	3133	51.4877
BcK1E1_00012	324	175	340	41.5076
BcK1E1_00013	1446	1297	200	3.2944
BcK1E1_00014	1170	1021	221	4.62437
BcK1E1_00015	180	33.6633	4	2.53857
BcK1E1_00016	447	298	238	17.0627
BcK1E1_00017	717	568	4521	170.048
BcK1E1_00018	74	5.2474	0	0
BcK1E1_00019	74	5.2474	0	0
BcK1E1_00020	75	5.29865	0	0
BcK1E1_00021	777	628	415	14.1181
BcK1E1_00022	984	835	1205	30.831
BcK1E1_00023	1332	1183	3861	69.7271
BcK1E1_00024	1335	1186	1209	21.7785
BcK1E1_00025	696	547	2488	97.1739
BcK1E1_00026	2757	2608	65685	538.078
BcK1E1_00027	1842	1693	4444	56.0794
BcK1E1_00028	1629	1480	2391	34.5147
BcK1E1_00029	1101	952	4502	101.031
BcK1E1_00030	381	232	6069	558.876
BcK1E1_00031	438	289	402	29.7177
BcK1E1_00032	2448	2299	103004	957.197
BcK1E1_00033	228	79.0036	17455	4720.19
BcK1E1_00034	795	646	6157	203.621
BcK1E1_00035	1488	1339	3534	56.3861
BcK1E1_00036	474	325	7905	519.643
BcK1E1_00037	768	619	5591	192.968
BcK1E1_00038	1092	943	3462	78.4335
BcK1E1_00039	645	496	1355	58.3639
BcK1E1_00040	2097	1948	41036	450.052
BcK1E1_00041	945	796	12939	347.275
BcK1E1_00042	1467	1318	28185	456.866
BcK1E1_00043	1626	1477	25388	367.227
BcK1E1_00044	1617	1468	24293	353.542
BcK1E1_00045	516	367	11135	648.202
BcK1E1_00046	708	559	33717	1288.62
BcK1E1_00047	2448	2299	17349	161.221
BcK1E1_00048	1266	1117	947	18.1127
BcK1E1_00049	657	508	194	8.15876
BcK1E1_00050	1071	922	7112	164.796
BcK1E1_00051	984	835	1655	42.3446
BcK1E1_00052	228	79.0036	36	9.73514
BcK1E1_00053	86	5.93769	0	0
BcK1E1_00054	249	100	298	63.6653
BcK1E1_00055	1257	1108	114	2.19812
BcK1E1_00056	717	568	201	7.56021
BcK1E1_00057	1368	1219	4613	80.8474
BcK1E1_00058	1956	1807	17060	201.701
BcK1E1_00059	2487	2338	8544	78.0734
BcK1E1_00060	1011	862	2749	68.1324
BcK1E1_00061	1506	1357	4279	67.3673
BcK1E1_00062	1455	1306	18413	301.209
BcK1E1_00063	1101	952	10918	245.015
BcK1E1_00064	74	5.2474	0	0
BcK1E1_00065	654	505	172	7.27652
BcK1E1_00066	1560	1411	11149	168.809
BcK1E1_00067	795	646	3163	104.605
BcK1E1_00068	1101	952	3872	86.893
BcK1E1_00069	954	805	3397	90.1542
BcK1E1_00070	2640	2491	7871	67.506
BcK1E1_00071	384	235	83	7.54565
BcK1E1_00072	1167	1018	117	2.45541
BcK1E1_00073	135	12.1958	5	8.75884
BcK1E1_00074	1284	1135	468	8.8092
BcK1E1_00075	957	808	3299	87.2283
BcK1E1_00076	2331	2182	1182	11.5731
BcK1E1_00077	2700	2551	1297	10.8622
BcK1E1_00078	1104	955	8044	179.951
BcK1E1_00079	1287	1138	23368	438.698
BcK1E1_00080	1515	1366	3087	48.2806
BcK1E1_00081	1095	946	4298	97.0648
BcK1E1_00082	396	247	1128	97.566
BcK1E1_00083	1086	937	2055	46.8553
BcK1E1_00084	1515	1366	4598	71.9125
BcK1E1_00085	126	10.3458	14	28.9102
BcK1E1_00086	1602	1453	1137	16.7179
BcK1E1_00087	1350	1201	632	11.2424
BcK1E1_00088	1053	904	14741.8	348.392
BcK1E1_00089	1041	892	32394.2	775.87
BcK1E1_00090	1818	1669	8153	104.363
BcK1E1_00091	1464	1315	2510	40.7788
BcK1E1_00092	279	130	3	0.49302
BcK1E1_00093	1035	886	2371	57.1721
BcK1E1_00094	1470	1321	3687	59.6289
BcK1E1_00095	2943	2794	6698	51.2159
BcK1E1_00096	1458	1309	7528	122.864
BcK1E1_00097	492	343	113	7.03835
BcK1E1_00098	1011	862	157	3.89116
BcK1E1_00099	3666	3517	1310	7.95766
BcK1E1_00100	1599	1450	779	11.4777
BcK1E1_00101	549	400	55	2.93758
BcK1E1_00102	1539	1390	3623	55.6852
BcK1E1_00103	915	766	422	11.7698
BcK1E1_00104	714	565	224	8.47005
BcK1E1_00105	225	76.0064	64	17.9894
BcK1E1_00106	1074	925	1715	39.6104
BcK1E1_00107	492	343	371	23.1082
BcK1E1_00108	1752	1603	1839	24.5095
BcK1E1_00109	1845	1696	2611	32.8903
BcK1E1_00110	981	832	7949	204.115
BcK1E1_00111	1167	1018	970	20.3568
BcK1E1_00112	1797	1648	9026	117.01
BcK1E1_00113	657	508	6495	273.15
BcK1E1_00114	1272	1123	2114	40.2172
BcK1E1_00115	1365	1216	3301	57.996
BcK1E1_00116	108	7.80511	0	0
BcK1E1_00117	1260	1111	3566	68.5731
BcK1E1_00118	822	673	2247	71.3304
BcK1E1_00119	558	409	2236	116.798
BcK1E1_00120	654	505	683	28.8945
BcK1E1_00121	2193	2044	4455	46.5643
BcK1E1_00122	2880	2731	5158	40.3502
BcK1E1_00123	1272	1123	10631	202.246
BcK1E1_00124	237	88.0006	440	106.82
BcK1E1_00125	74	5.2474	0	0
BcK1E1_00126	1656	1507	10410	147.579
BcK1E1_00127	1032	883	2929	70.8672
BcK1E1_00128	810	661	2985	96.4782
BcK1E1_00129	294	145	903	133.047
BcK1E1_00130	174	29.2345	89	65.0401
BcK1E1_00131	1263	1114	19266	369.482
BcK1E1_00132	1296	1147	4422	82.3648
BcK1E1_00133	339	190	3676	413.341
BcK1E1_00134	1827	1678	195	2.48273
BcK1E1_00135	1449	1300	9036	148.498
BcK1E1_00136	1527	1378	10444	161.921
BcK1E1_00137	759	610	3222	112.845
BcK1E1_00138	249	100	11638	2486.36
BcK1E1_00139	1854	1705	19106	239.404
BcK1E1_00140	1065	916	11693	272.72
BcK1E1_00141	642	493	31155	1350.1
BcK1E1_00142	744	595	2683	96.3363
BcK1E1_00143	1098	949	5007	112.719
BcK1E1_00144	2235	2086	86040	881.196
BcK1E1_00145	831	682	96	3.00728
BcK1E1_00146	990	841	55	1.39718
BcK1E1_00147	573	424	49	2.46897
BcK1E1_00148	525	376	32	1.81823
BcK1E1_00149	288	139	52	7.99236
BcK1E1_00150	375	226	52	4.91565
BcK1E1_00151	411	262	65	5.30028
BcK1E1_00152	1152	1003	2239	47.6913
BcK1E1_00153	597	448	1689	80.5449
BcK1E1_00154	2598	2449	15283	133.323
BcK1E1_00155	603	454	1311	61.6926
BcK1E1_00156	762	613	6124	213.433
BcK1E1_00157	567	418	4185	213.897
BcK1E1_00158	1095	946	8526	192.549
BcK1E1_00159	492	343	649	40.4238
BcK1E1_00160	801	652	2088	68.4178
BcK1E1_00161	1596	1447	12335	182.12
BcK1E1_00162	1911	1762	23478	284.67
BcK1E1_00163	105	7.48819	0	0
BcK1E1_00164	1533	1384	7777	120.05
BcK1E1_00165	1659	1510	513	7.25816
BcK1E1_00166	1593	1444	435	6.43589
BcK1E1_00167	2133	1984	732	7.88235
BcK1E1_00168	1077	928	4314	99.3158
BcK1E1_00169	1020	871	309	7.57926
BcK1E1_00170	1272	1123	5398	102.693
BcK1E1_00171	915	766	3660	102.08
BcK1E1_00172	897	748	3566	101.851
BcK1E1_00173	474	325	1397	91.8331
BcK1E1_00174	1065	916	1731	40.3727
BcK1E1_00175	2295	2146	23144	230.407
BcK1E1_00176	1143	994	18224	391.691
BcK1E1_00177	1179	1030	23551	488.493
BcK1E1_00178	1245	1096	11078	215.942
BcK1E1_00179	3057	2908	24939	183.219
BcK1E1_00180	654	505	1848	78.1802
BcK1E1_00181	1155	1006	1968	41.794
BcK1E1_00182	1038	889	21964	527.832
BcK1E1_00183	261	112	225881	43087.2
BcK1E1_00184	1650	1501	488664	6955.3
BcK1E1_00185	558	409	7874	411.3
BcK1E1_00186	1593	1444	35246	521.47
BcK1E1_00187	1518	1369	33243	518.78
BcK1E1_00188	348	199	411	44.124
BcK1E1_00189	537	388	1633	89.9168
BcK1E1_00190	1425	1276	4270	71.493
BcK1E1_00191	660	511	3548	148.337
BcK1E1_00192	1038	889	27563	662.386
BcK1E1_00193	897	748	17552	501.316
BcK1E1_00194	1224	1075	1403	27.8827
BcK1E1_00195	294	145	38	5.59889
BcK1E1_00196	1560	1411	32184	487.303
BcK1E1_00197	74	5.2474	0	0
BcK1E1_00198	75	5.29865	0	0
BcK1E1_00199	726	577	1799	66.6104
BcK1E1_00200	2877	2728	9531	74.6415
BcK1E1_00201	1419	1270	4748	79.8718
BcK1E1_00202	822	673	15174	481.694
BcK1E1_00203	1404	1255	6686	113.817
BcK1E1_00204	690	541	2910	114.916
BcK1E1_00205	1647	1498	823	11.7375
BcK1E1_00206	1194	1045	2883	58.9406
BcK1E1_00207	1326	1177	32657	592.77
BcK1E1_00208	1416	1267	871	14.6868
BcK1E1_00209	3396	3247	9032	59.4276
BcK1E1_00210	1467	1318	12979	210.384
BcK1E1_00211	966	817	1360	35.5634
BcK1E1_00212	519	370	275	15.8788
BcK1E1_00213	891	742	6438	185.367
BcK1E1_00214	999	850	8624	216.759
BcK1E1_00215	1428	1279	1592	26.5925
BcK1E1_00216	1155	1006	3090	65.6216
BcK1E1_00217	1164	1015	230	4.84115
BcK1E1_00218	954	805	62	1.64544
BcK1E1_00219	864	715	203	6.06564
BcK1E1_00220	1182	1033	173	3.57793
BcK1E1_00221	1110	961	2799	62.2251
BcK1E1_00222	822	673	2623	83.2664
BcK1E1_00223	1218	1069	2243	44.8268
BcK1E1_00224	1206	1057	2622	52.9961
BcK1E1_00225	675	526	3123	126.845
BcK1E1_00226	1191	1042	6686	137.083
BcK1E1_00227	894	745	383	10.9832
BcK1E1_00228	1329	1180	740	13.3979
BcK1E1_00229	552	403	593	31.4366
BcK1E1_00230	735	586	2398	87.4255
BcK1E1_00231	213	64.0516	2	0.667093
BcK1E1_00232	324	175	1115	136.12
BcK1E1_00233	195	46.6066	101	46.2978
BcK1E1_00234	276	127	263	44.2424
BcK1E1_00235	1602	1453	2029	29.8334
BcK1E1_00236	1089	940	640	14.5458
BcK1E1_00237	258	109	0	0
BcK1E1_00238	303	154	11	1.52601
BcK1E1_00239	333	184	32	3.71551
