	Bg42221_1E1	PV20-2	JG_Bg468	Bg42221_1D3	JCM15439	SS_Bg39	Bg41121_2E9	DSM20438	Bg41721_1F7	1899B	DSM16992
Bg42221_1E1	1.0	0.7369863127574411	0.6796819472211947	0.8151494872999181	0.8079658671011559	0.7100981341624097	0.7831754568995257	0.6782379909305912	0.7022095773289718	0.7045376139391244	0.6623893860484062
PV20-2	0.7495341584780626	1.0	0.6913020702849204	0.7628404818602281	0.7469499927877863	0.7276765115492425	0.7862742716296819	0.7028964418902242	0.713172791987104	0.6960144716652791	0.6553780760513173
JG_Bg468	0.7382535570798651	0.7395967089823908	1.0	0.7414780307165886	0.7439875202779574	0.7842866227070397	0.7583194737935383	0.745247946750277	0.7784058445970976	0.7328477683906132	0.7098819162664104
Bg42221_1D3	0.8246145560387909	0.7559935438558578	0.682516072827467	1.0	0.7513354628704179	0.7304205272967935	0.8654968563440395	0.708309415435317	0.725364002269105	0.6970934688943515	0.6552116818390556
JCM15439	0.8320099741831584	0.7589976014382813	0.7010680145847613	0.7647458491533154	1.0	0.7292235180559584	0.7913739060787238	0.7226559257652422	0.7361475145406922	0.7520577742750619	0.700082233956891
SS_Bg39	0.758711172912805	0.7653005453382672	0.7746773125650757	0.7801469430050878	0.7602926222949159	1.0	0.7790538293054666	0.7723475632184842	0.8468796839267605	0.7379203489298363	0.7061595738391083
Bg41121_2E9	0.7892777295242067	0.7800951637029258	0.7036829479727474	0.8672286409281278	0.7794557221401491	0.7367266477706991	1.0	0.7230263705532326	0.7406288808973875	0.7023380606885117	0.6589317079774224
DSM20438	0.7220965527146365	0.7344156674408259	0.7243445919200199	0.7434270906677035	0.745073492578931	0.7588437179258138	0.7523237912082138	1.0	0.7646958885490995	0.7448055143955078	0.7148396859926227
Bg41721_1F7	0.7853658949053607	0.7856111072747746	0.802710677119666	0.811445780585663	0.8010486821714166	0.88278425962071	0.8197444811949828	0.8125083675197896	1.0	0.7671966917938882	0.735240634602096
1899B	0.7943790804758921	0.7757336796261318	0.7626615657825312	0.7841107898478724	0.8240882161763231	0.7764782907268619	0.7856447263695407	0.7915809053849692	0.7714222778039527	1.0	0.821718827882344
DSM16992	0.7690972095709884	0.752969861967549	0.761158631169693	0.7555519281937827	0.7861781970619341	0.765769914823392	0.7549179495625061	0.7784562887522475	0.7611304543416363	0.8435986861825208	1.0
