	JCM15439	PV20-2	1899B	DSM16992	SS_Bg39	JG_Bg468	Bg42221_1E1	Bg41121_2E9	Bg41721_1F7	Bg42221_1D3
JCM15439	1.0	0.9525707600680657	0.9668889672977625	0.9653664474492933	0.9447669452619188	0.9350149236408063	0.9740323048907388	0.9555088119891009	0.9450193877551021	0.9564849436936937
PV20-2	0.9527530909090909	1.0	0.9478407846715328	0.9488391747259833	0.9476543597206053	0.9409109602446484	0.9547630995475114	0.9616357050243111	0.9488329548156955	0.962639021134594
1899B	0.967360694205393	0.9472869739235901	1.0	0.9820163252314814	0.9398543351548271	0.9341561135101789	0.9605269061757719	0.9511403117505995	0.9405994932844932	0.9507890810810811
DSM16992	0.9660556133828996	0.9481838377334192	0.9830699128413712	1.0	0.9390999620012668	0.937666698534098	0.9602619898926089	0.9511147976878614	0.9395547862156987	0.9506271840923668
SS_Bg39	0.9448034741225462	0.9472056401179941	0.9411038150642989	0.939882190293742	1.0	0.9710195782073815	0.9453927099463968	0.9455136796285548	0.9866297362755652	0.94356007518797
JG_Bg468	0.9362071498470949	0.9420507943349753	0.9362320149253732	0.9394794162924953	0.9709204962054875	1.0	0.9382640567200986	0.9408499699338545	0.9723468021201412	0.9407257564575646
Bg42221_1E1	0.9744126406250001	0.9551547448979593	0.9607358481613286	0.9604058790170134	0.9452381492361928	0.9367332741738066	1.0	0.9619837827715358	0.9433804156769595	0.9664638786008232
Bg41121_2E9	0.9555865146579804	0.9615519479110145	0.9517530870870873	0.9512058056265984	0.9457072664756447	0.9400687822435514	0.9611936519871107	1.0	0.9464817912150599	0.9804803091265947
Bg41721_1F7	0.9448385663924794	0.9478860347930415	0.9413521042944787	0.9398219233226837	0.985779018338727	0.9703362558962263	0.9426216067146282	0.9459149971247846	1.0	0.9440884338747101
Bg42221_1D3	0.9562532976324691	0.96165927852349	0.9508115645845966	0.9500247554697555	0.9438876548928778	0.9398045611866502	0.9654657965056526	0.9795489080177079	0.9445298949824971	1.0
